summary_type,partition,dataset,role,selector,rows,R_at_1,R_at_2,R_at_4,R_at_8,winning_scale,fraction,position_bin,annotated_hops,question_type,graph_type
winning_scale_by_question_type,test,2wikimultihopqa,root,,9,,,,,global,0.3,,,compositional,
winning_scale_by_question_type,test,2wikimultihopqa,root,,19,,,,,1,0.6333333333333333,,,compositional,
winning_scale_by_question_type,test,2wikimultihopqa,root,,2,,,,,2,0.06666666666666667,,,compositional,
winning_scale_by_question_type,test,2wikimultihopqa,root,,0,,,,,4,0.0,,,compositional,
winning_scale_by_question_type,test,2wikimultihopqa,root,,0,,,,,8,0.0,,,compositional,
winning_scale_by_question_type,test,2wikimultihopqa,root,,0,,,,,16,0.0,,,compositional,
winning_scale_by_question_type,test,2wikimultihopqa,root,,2,,,,,global,0.06666666666666667,,,inference,
winning_scale_by_question_type,test,2wikimultihopqa,root,,27,,,,,1,0.9,,,inference,
winning_scale_by_question_type,test,2wikimultihopqa,root,,1,,,,,2,0.03333333333333333,,,inference,
winning_scale_by_question_type,test,2wikimultihopqa,root,,0,,,,,4,0.0,,,inference,
winning_scale_by_question_type,test,2wikimultihopqa,root,,0,,,,,8,0.0,,,inference,
winning_scale_by_question_type,test,2wikimultihopqa,root,,0,,,,,16,0.0,,,inference,
winning_scale_by_graph_type,test,2wikimultihopqa,root,,12,,,,,global,0.6,,,,branching
winning_scale_by_graph_type,test,2wikimultihopqa,root,,6,,,,,1,0.3,,,,branching
winning_scale_by_graph_type,test,2wikimultihopqa,root,,2,,,,,2,0.1,,,,branching
winning_scale_by_graph_type,test,2wikimultihopqa,root,,0,,,,,4,0.0,,,,branching
winning_scale_by_graph_type,test,2wikimultihopqa,root,,0,,,,,8,0.0,,,,branching
winning_scale_by_graph_type,test,2wikimultihopqa,root,,0,,,,,16,0.0,,,,branching
winning_scale_by_graph_type,test,2wikimultihopqa,root,,11,,,,,global,0.18333333333333332,,,,chain
winning_scale_by_graph_type,test,2wikimultihopqa,root,,46,,,,,1,0.7666666666666667,,,,chain
winning_scale_by_graph_type,test,2wikimultihopqa,root,,3,,,,,2,0.05,,,,chain
winning_scale_by_graph_type,test,2wikimultihopqa,root,,0,,,,,4,0.0,,,,chain
winning_scale_by_graph_type,test,2wikimultihopqa,root,,0,,,,,8,0.0,,,,chain
winning_scale_by_graph_type,test,2wikimultihopqa,root,,0,,,,,16,0.0,,,,chain
winning_scale_by_graph_type,test,2wikimultihopqa,root,,13,,,,,global,0.325,,,,disconnected
winning_scale_by_graph_type,test,2wikimultihopqa,root,,26,,,,,1,0.65,,,,disconnected
winning_scale_by_graph_type,test,2wikimultihopqa,root,,1,,,,,2,0.025,,,,disconnected
winning_scale_by_graph_type,test,2wikimultihopqa,root,,0,,,,,4,0.0,,,,disconnected
winning_scale_by_graph_type,test,2wikimultihopqa,root,,0,,,,,8,0.0,,,,disconnected
winning_scale_by_graph_type,test,2wikimultihopqa,root,,0,,,,,16,0.0,,,,disconnected
winning_scale_by_graph_type,test,2wikimultihopqa,root,,19,,,,,global,0.31666666666666665,,,,independent
winning_scale_by_graph_type,test,2wikimultihopqa,root,,40,,,,,1,0.6666666666666666,,,,independent
winning_scale_by_graph_type,test,2wikimultihopqa,root,,0,,,,,2,0.0,,,,independent
winning_scale_by_graph_type,test,2wikimultihopqa,root,,1,,,,,4,0.016666666666666666,,,,independent
winning_scale_by_graph_type,test,2wikimultihopqa,root,,0,,,,,8,0.0,,,,independent
winning_scale_by_graph_type,test,2wikimultihopqa,root,,0,,,,,16,0.0,,,,independent
