accepted_native_transitions,any_evidence,bridge_locality_score,budget_parents,candidate_fraction,candidate_local_regions,candidate_parents,candidate_parents_total,candidate_tokens,chain_budget_feasible,chain_completion,condition,cross_parent_transitions,dataset,evidence_coverage,exact_all_evidence_feasible,exact_evidence_identity,examples_x_seeds,fraction,kv_materializations_during_closure,local_entropy,local_nodes_activated_per_parent,local_nodes_explored,local_vs_parent_similarity_ratio,materialized_kv_fraction,materialized_kv_tokens,native_qk_comparisons,native_qk_dot_products,parent_entropy,path_depth,proposed_native_transitions,repeated_parent_transitions,routing_seconds,semantic_gist_comparisons,unique_parents_selected
0.0,0.9375,0.0,4.125,0.0,0.0,18.1875,18.1875,0.0,,0.9375,one_shot_parent,0.0,qasper,0.8125,,0.7375,80,0.2,0.0,0.0,0.0,0.0,0.0,0.2307262449618377,1035.975,0.0,0.0,0.0,1.0,0.0,0.0,0.0058882212462776804,18.1875,4.125
0.0,0.95,0.0,4.125,0.0,0.0,18.1875,18.1875,0.0,,0.95,parent_closure,0.0,qasper,0.81875,,0.7375,80,0.2,0.0,0.0,0.0,0.0,0.0,0.2307067640026462,1037.2875,0.0,0.0,0.0,2.0,0.0,0.0,0.012107951247162418,66.5625,4.125
0.0,0.975,0.20065726497753836,6.0,0.0,0.0,18.1875,18.1875,0.0,,0.975,local_gist_closure,12.0625,qasper,0.84375,,0.7625,80,0.3,0.0,4.877348851660887,1.0,554.5,1.222733509960277,0.3362340002116957,1509.1625,0.0,0.0,2.8182226036276137,2.0,0.0,8.2125,0.06236737999934121,689.375,6.0
2.65,0.9625,,6.0,0.1,31.2625,3.925,18.1875,998.3875,1.0,0.9625,native_qk_max_threshold1_p10,,qasper,0.86,1.0,0.8,80,0.3,0.0,,,,,0.3368913254359137,1513.2625,1863443.2,1863443.2,,,8.8,,0.06421024249939364,689.375,6.0
2.6875,0.9625,,6.0,0.2,49.3875,6.225,18.1875,1576.6125,1.0,0.9625,native_qk_max_threshold1_p20,,qasper,0.83125,1.0,0.75,80,0.3,0.0,,,,,0.33647624802137716,1511.5625,2971942.4,2971942.4,,,9.9625,,0.07429446874812129,689.375,6.0
2.675,0.9625,,6.0,0.1,31.2625,3.925,18.1875,998.3875,1.0,0.9625,native_qk_max_topk_p10,,qasper,0.86,1.0,0.8,80,0.3,0.0,,,,,0.3368913254359137,1513.2625,1863443.2,1863443.2,,,10.0625,,0.06199001999630127,689.375,6.0
2.6875,0.9625,,6.0,0.2,49.3875,6.225,18.1875,1576.6125,1.0,0.9625,native_qk_max_topk_p20,,qasper,0.83125,1.0,0.75,80,0.3,0.0,,,,,0.33647624802137716,1511.5625,2971942.4,2971942.4,,,10.0625,,0.07103065750197857,689.375,6.0
2.675,0.9625,,6.0,0.1,31.2625,3.925,18.1875,998.3875,1.0,0.9625,native_qk_top4_topk_p10,,qasper,0.86,1.0,0.8,80,0.3,0.0,,,,,0.33682470552006516,1513.025,1863443.2,1863443.2,,,10.0625,,0.06876101625239243,689.375,6.0
2.6875,0.95,,6.0,0.2,49.3875,6.225,18.1875,1576.6125,1.0,0.95,native_qk_top4_topk_p20,,qasper,0.82125,1.0,0.7375,80,0.3,0.0,,,,,0.33665551169632635,1511.6,2971942.4,2971942.4,,,10.0625,,0.08270833499773289,689.375,6.0
0.0,0.9875,0.0,6.0,0.0,0.0,18.1875,18.1875,0.0,,0.9875,one_shot_parent,0.0,qasper,0.8574999999999999,,0.775,80,0.3,0.0,0.0,0.0,0.0,0.0,0.3370090783272818,1512.8625,0.0,0.0,0.0,1.0,0.0,0.0,0.00710262624634197,18.1875,6.0
0.0,0.95,0.0,6.0,0.0,0.0,18.1875,18.1875,0.0,,0.95,parent_closure,0.0,qasper,0.825,,0.75,80,0.3,0.0,0.0,0.0,0.0,0.0,0.33665169306282716,1510.9875,0.0,0.0,0.0,2.0,0.0,0.0,0.015732968757220078,85.625,6.0
0.0,1.0,0.2858571885153651,2.0,0.0,0.0,4.0,4.0,0.0,,0.0,local_gist_closure,1.0,synthetic_native_bridge,0.5,,0.0,320,0.5,0.0,1.2683014873415233,1.0,5.0,1.1667639234124247,0.5,512.0,0.0,0.0,1.2810024136677385,2.0,0.0,0.0,0.00925403281198669,12.0,2.0
1.0,1.0,,2.0,0.75,3.0,3.0,4.0,6.0,1.0,1.0,native_qk_max_topk_p75,,synthetic_native_bridge,1.0,1.0,1.0,320,0.5,0.0,,,,,0.5,512.0,48.0,48.0,,,1.0,,0.00944653687565733,12.0,2.0
0.0,1.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,,0.0,one_shot_parent,0.0,synthetic_native_bridge,0.5,,0.0,320,0.5,0.0,0.0,0.0,0.0,0.0,0.5,512.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004333660311021959,4.0,2.0
0.0,1.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,,0.0,parent_closure,0.0,synthetic_native_bridge,0.5,,0.0,320,0.5,0.0,0.0,0.0,0.0,0.0,0.5,512.0,0.0,0.0,0.0,2.0,0.0,0.0,0.006541180000203895,8.0,2.0
