layer,context_radius,examples,attention_contribution_ratio,attention_contribution_ratio_ci_low,attention_contribution_ratio_ci_high,post_attention_displacement,post_attention_displacement_ci_low,post_attention_displacement_ci_high,post_attention_rotation,post_attention_rotation_ci_low,post_attention_rotation_ci_high,ffn_contribution_ratio,ffn_contribution_ratio_ci_low,ffn_contribution_ratio_ci_high,attention_entropy,attention_entropy_ci_low,attention_entropy_ci_high,effective_attention_support,effective_attention_support_ci_low,effective_attention_support_ci_high,self_attention_fraction,self_attention_fraction_ci_low,self_attention_fraction_ci_high,local_attention_fraction,local_attention_fraction_ci_low,local_attention_fraction_ci_high,distant_attention_fraction,distant_attention_fraction_ci_low,distant_attention_fraction_ci_high,evidence_attention_fraction,evidence_attention_fraction_ci_low,evidence_attention_fraction_ci_high,intervention_displacement,intervention_displacement_ci_low,intervention_displacement_ci_high,intervention_rotation,intervention_rotation_ci_low,intervention_rotation_ci_high
20,16,42,0.2623409348584357,0.25912743948754813,0.26587497620355516,0.2623409249243282,0.25912753031367347,0.26587510995921637,0.02879944368309918,0.028088915250485853,0.0295833588710853,0.3862167327176957,0.3826666140840167,0.38990206732636407,1.1587003157252358,1.1479240485600062,1.1697588648114885,4.7655554839542935,4.691640865235102,4.845001856486003,0.045104743646723885,0.044599710387133416,0.04562080305601869,0.3401427283173516,0.337703505442256,0.34248061052390505,0.6598571893714723,0.6575195207482293,0.6622966215724037,0.10237240181526258,0.0736920030654541,0.133696540524917,0.8945986330509186,0.8884303513027373,0.9008536083357674,0.384156136285691,0.3796795904636383,0.3884665497711727
20,32,42,0.2623409348584357,0.25912743948754813,0.26587497620355516,0.2623409249243282,0.25912753031367347,0.26587510995921637,0.02879944368309918,0.028088915250485853,0.0295833588710853,0.3862167327176957,0.3826666140840167,0.38990206732636407,1.1587003157252358,1.1479240485600062,1.1697588648114885,4.7655554839542935,4.691640865235102,4.845001856486003,0.045104743646723885,0.044599710387133416,0.04562080305601869,0.3401427283173516,0.337703505442256,0.34248061052390505,0.6598571893714723,0.6575195207482293,0.6622966215724037,0.10237240181526258,0.0736920030654541,0.133696540524917,0.7818397311937242,0.7764226042089009,0.7873637747196924,0.31524564183893655,0.3114680215006783,0.3189591247411001
24,full,42,0.17800890654325485,0.1760746031290009,0.17994640270868936,0.17800873482511156,0.17607464357500985,0.17994628775687443,0.010574969174783854,0.010235777146936883,0.010918579175181332,0.2729922667855308,0.2684393439974104,0.27757761166209266,0.8239183000155857,0.8131449676695324,0.8354345389774868,3.258935843195234,3.212226600874038,3.3073237509954545,0.04291892353267897,0.04237969113247735,0.043427017295644396,0.2552625455317043,0.25321174200092045,0.2573492761169161,0.7447373100689479,0.7426507416225615,0.7467885287035079,0.100436721629064,0.06947961296620113,0.1342585380521736,0.0,0.0,0.0,0.0,0.0,0.0
24,1,42,0.17800890654325485,0.1760746031290009,0.17994640270868936,0.17800873482511156,0.17607464357500985,0.17994628775687443,0.010574969174783854,0.010235777146936883,0.010918579175181332,0.2729922667855308,0.2684393439974104,0.27757761166209266,0.8239183000155857,0.8131449676695324,0.8354345389774868,3.258935843195234,3.212226600874038,3.3073237509954545,0.04291892353267897,0.04237969113247735,0.043427017295644396,0.2552625455317043,0.25321174200092045,0.2573492761169161,0.7447373100689479,0.7426507416225615,0.7467885287035079,0.100436721629064,0.06947961296620113,0.1342585380521736,1.0227733793712797,1.022173163436708,1.023345254716419,0.9629300279276711,0.9607624113559723,0.9650916882923671
24,16,42,0.17800890654325485,0.1760746031290009,0.17994640270868936,0.17800873482511156,0.17607464357500985,0.17994628775687443,0.010574969174783854,0.010235777146936883,0.010918579175181332,0.2729922667855308,0.2684393439974104,0.27757761166209266,0.8239183000155857,0.8131449676695324,0.8354345389774868,3.258935843195234,3.212226600874038,3.3073237509954545,0.04291892353267897,0.04237969113247735,0.043427017295644396,0.2552625455317043,0.25321174200092045,0.2573492761169161,0.7447373100689479,0.7426507416225615,0.7467885287035079,0.100436721629064,0.06947961296620113,0.1342585380521736,1.1199525594711304,1.1125030176980155,1.1268857944579351,0.43932929776963736,0.4348937677485602,0.4435504511708305
24,32,42,0.17800890654325485,0.1760746031290009,0.17994640270868936,0.17800873482511156,0.17607464357500985,0.17994628775687443,0.010574969174783854,0.010235777146936883,0.010918579175181332,0.2729922667855308,0.2684393439974104,0.27757761166209266,0.8239183000155857,0.8131449676695324,0.8354345389774868,3.258935843195234,3.212226600874038,3.3073237509954545,0.04291892353267897,0.04237969113247735,0.043427017295644396,0.2552625455317043,0.25321174200092045,0.2573492761169161,0.7447373100689479,0.7426507416225615,0.7467885287035079,0.100436721629064,0.06947961296620113,0.1342585380521736,0.9964388949530465,0.9902623054527101,1.002318562496276,0.3724279268866494,0.36852837318465825,0.3761809560514632
27,full,42,0.12684390906776702,0.12508857445347876,0.12886886600227582,0.12684415529171625,0.1250890555481116,0.1288692949428445,0.007393987971313652,0.0071593651969340585,0.00766271187569059,0.44876047330243246,0.4448550542195638,0.45256841040792917,0.7302135342643374,0.7213576762449174,0.7388666045098078,2.8661902461733137,2.8269669328417097,2.906852114768255,0.11124707705208234,0.10977261442513693,0.11258585786535627,0.3060194665477389,0.303653332449141,0.30839318178948905,0.6939803957939148,0.6916068565277826,0.696346606527056,0.10161590458647836,0.07144538639113307,0.13481100106478802,0.0,0.0,0.0,0.0,0.0,0.0
27,1,42,0.12684390906776702,0.12508857445347876,0.12886886600227582,0.12684415529171625,0.1250890555481116,0.1288692949428445,0.007393987971313652,0.0071593651969340585,0.00766271187569059,0.44876047330243246,0.4448550542195638,0.45256841040792917,0.7302135342643374,0.7213576762449174,0.7388666045098078,2.8661902461733137,2.8269669328417097,2.906852114768255,0.11124707705208234,0.10977261442513693,0.11258585786535627,0.3060194665477389,0.303653332449141,0.30839318178948905,0.6939803957939148,0.6916068565277826,0.696346606527056,0.10161590458647836,0.07144538639113307,0.13481100106478802,1.045122192019508,1.0447492883318947,1.0454778557731992,0.9474325790291741,0.9454066384406317,0.9494447353340331
27,16,42,0.12684390906776702,0.12508857445347876,0.12886886600227582,0.12684415529171625,0.1250890555481116,0.1288692949428445,0.007393987971313652,0.0071593651969340585,0.00766271187569059,0.44876047330243246,0.4448550542195638,0.45256841040792917,0.7302135342643374,0.7213576762449174,0.7388666045098078,2.8661902461733137,2.8269669328417097,2.906852114768255,0.11124707705208234,0.10977261442513693,0.11258585786535627,0.3060194665477389,0.303653332449141,0.30839318178948905,0.6939803957939148,0.6916068565277826,0.696346606527056,0.10161590458647836,0.07144538639113307,0.13481100106478802,1.1213006433986483,1.1118748046102978,1.1310246899014427,0.49187772827489035,0.4865453569662003,0.4973793377478917
27,32,42,0.12684390906776702,0.12508857445347876,0.12886886600227582,0.12684415529171625,0.1250890555481116,0.1288692949428445,0.007393987971313652,0.0071593651969340585,0.00766271187569059,0.44876047330243246,0.4448550542195638,0.45256841040792917,0.7302135342643374,0.7213576762449174,0.7388666045098078,2.8661902461733137,2.8269669328417097,2.906852114768255,0.11124707705208234,0.10977261442513693,0.11258585786535627,0.3060194665477389,0.303653332449141,0.30839318178948905,0.6939803957939148,0.6916068565277826,0.696346606527056,0.10161590458647836,0.07144538639113307,0.13481100106478802,0.9873698566641126,0.9791181570007688,0.9960173921925681,0.4131421276501247,0.4082910993269512,0.4181775855166571
