dataset,example_id,partition,layer,annotated_hops,graph_type,parent_count,oracle_parent_count,minimum_native_recovery_depth,depth_contraction,complete_recovery,node_recall,mean_out_degree,effective_branching_factor,unique_neighbor_count,duplicate_neighbor_rate,connected_component_count,giant_component_fraction,graph_density,reciprocal_edge_rate,mean_evidence_native_distance,unreachable_evidence_fraction,shortcut_rate,shortcut_pairs,shortcut_eligible_pairs
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,4,2,chain,16,3,,,0,0.5,6.0,2.7256719795502904,8.0,0.9166666666666666,1.0,1.0,0.4,0.4375,,1.0,0.0,0,0
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,8,2,chain,16,3,,,0,0.5,6.0,2.7370892179053907,8.0,0.9166666666666666,1.0,1.0,0.4,0.4375,,1.0,0.0,0,0
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,12,2,chain,16,3,,,0,0.5,6.0,2.7370892179053907,8.0,0.9166666666666666,1.0,1.0,0.4,0.4375,,1.0,0.0,0,0
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,16,2,chain,16,3,,,0,0.5,6.0,2.7370892179053907,8.0,0.9166666666666666,1.0,1.0,0.4,0.4375,,1.0,0.0,0,0
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,20,2,chain,16,3,,,0,0.5,6.0,2.7370892179053907,8.0,0.9166666666666666,1.0,1.0,0.4,0.4375,,1.0,0.0,0,0
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,24,2,chain,16,3,,,0,0.5,6.0,2.7370892179053907,8.0,0.9166666666666666,1.0,1.0,0.4,0.4166666666666667,,1.0,0.0,0,0
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,27,2,chain,16,3,,,0,0.5,6.0,2.7370892179053907,8.0,0.9166666666666666,1.0,1.0,0.4,0.4583333333333333,,1.0,0.0,0,0
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,0,2,chain,14,2,,,0,0.5,6.0,3.442602985564838,13.0,0.8452380952380952,1.0,1.0,0.46153846153846156,0.4523809523809524,,1.0,0.0,0,0
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,4,2,chain,14,2,1,1,1,1.0,6.0,2.547620526923884,7.0,0.9166666666666666,1.0,1.0,0.46153846153846156,0.5,1.0,0.0,0.0,0,0
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,8,2,chain,14,2,1,1,1,1.0,6.0,2.547620526923884,7.0,0.9166666666666666,1.0,1.0,0.46153846153846156,0.5,1.0,0.0,0.0,0,0
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,12,2,chain,14,2,1,1,1,1.0,6.0,2.5737170717355413,9.0,0.8928571428571429,1.0,1.0,0.46153846153846156,0.5,1.0,0.0,0.0,0,0
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,16,2,chain,14,2,1,1,1,1.0,6.0,2.724040945499562,8.0,0.9047619047619048,1.0,1.0,0.46153846153846156,0.5,1.0,0.0,0.0,0,0
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,20,2,chain,14,2,1,1,1,1.0,6.0,2.547620526923884,7.0,0.9166666666666666,1.0,1.0,0.46153846153846156,0.5,1.0,0.0,0.0,0,0
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,24,2,chain,14,2,1,1,1,1.0,6.0,2.547620526923884,7.0,0.9166666666666666,1.0,1.0,0.46153846153846156,0.5,1.0,0.0,0.0,0,0
2wikimultihopqa,0051fad20bde11eba7f7acde48001122,validation,27,2,chain,14,2,1,1,1,1.0,6.0,2.547620526923884,7.0,0.9166666666666666,1.0,1.0,0.46153846153846156,0.5,1.0,0.0,0.0,0,0
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,0,2,chain,11,2,1,1,1,1.0,6.0,3.072917553250588,11.0,0.8333333333333334,1.0,1.0,0.6,0.6666666666666666,1.0,0.0,0.0,0,0
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,4,2,chain,11,2,1,1,1,1.0,6.0,2.5208575857946007,7.0,0.8939393939393939,1.0,1.0,0.6,0.6363636363636364,1.0,0.0,0.0,0,0
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,8,2,chain,11,2,1,1,1,1.0,6.0,3.0147525145607617,10.0,0.8484848484848485,1.0,1.0,0.6,0.6363636363636364,1.0,0.0,0.0,0,0
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,12,2,chain,11,2,1,1,1,1.0,6.0,3.0147525145607617,10.0,0.8484848484848485,1.0,1.0,0.6,0.6363636363636364,1.0,0.0,0.0,0,0
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,16,2,chain,11,2,1,1,1,1.0,6.0,2.5208575857946007,7.0,0.8939393939393939,1.0,1.0,0.6,0.6363636363636364,1.0,0.0,0.0,0,0
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,20,2,chain,11,2,1,1,1,1.0,6.0,2.8596221929741557,9.0,0.8636363636363636,1.0,1.0,0.6,0.6363636363636364,1.0,0.0,0.0,0,0
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,24,2,chain,11,2,1,1,1,1.0,6.0,2.6955719875232087,8.0,0.8787878787878788,1.0,1.0,0.6,0.6363636363636364,1.0,0.0,0.0,0,0
2wikimultihopqa,005238da0bde11eba7f7acde48001122,test,27,2,chain,11,2,1,1,1,1.0,6.0,2.5208575857946007,7.0,0.8939393939393939,1.0,1.0,0.6,0.6363636363636364,1.0,0.0,0.0,0,0
2wikimultihopqa,0056b9ff08e711ebbda5ac1f6bf848b6,test,0,1,independent,13,4,0,1,1,1.0,6.0,3.1848848467059194,12.0,0.8461538461538461,1.0,1.0,0.5,0.5897435897435898,,0.0,0.0,0,0
