active_kv_bytes,all_evidence_recall,any_evidence_recall,best_evidence_rank,candidate_chunks,chunks_materialized,cpu_to_gpu_selected_kv_bytes,dataset,detail_kv_bytes,example_id,extra_routing_cache_fraction,gist_count,materialized_fraction,materialized_target_coverage,materialized_tokens,mean_selected_normalized_position,median_selected_normalized_position,mrr,packed_index_build_seconds,recall_at_1,recall_at_16,recall_at_3,recall_at_8,routing_chunk_size,routing_gist_bytes,routing_representation,score_position_correlation,seed,selected_chunks,selected_fraction,source_tokens,target_coverage,top_k,topk_primitive_seconds,warm_routing_topk_seconds
524288,0.0,1.0,3,36,4,524288,hotpotqa,4718592,5a710a915542994082a3e504,0.015625,1,0.1111111111111111,0.5,128,0.5069444444444444,0.5833333333333333,0.3333333333333333,0.0020708999945782125,0.0,1.0,1.0,1.0,32,73728,hidden_state,-0.2015007274074042,20260811,8,0.2222222222222222,1152,0.5,8,3.540000063367188e-05,0.001931259996490553
524288,0.0,1.0,3,36,4,524288,hotpotqa,4718592,5a710a915542994082a3e504,0.015625,1,0.1111111111111111,0.5,128,0.4496527777777778,0.5,0.3333333333333333,0.0020708999945782125,0.0,1.0,1.0,1.0,32,73728,hidden_state,-0.2015007274074042,20260811,16,0.4444444444444444,1152,0.5,16,3.934399923309684e-05,0.0019216799992136657
393216,0.0,0.0,5,38,3,393216,hotpotqa,4902912,5adc93a4554299438c868e01,0.015873015873015872,1,0.07894736842105263,0.0,96,0.3609022556390977,0.49456975772765244,0.2,0.0014534000074490905,0.0,1.0,0.0,1.0,32,77824,hidden_state,-0.33295589042441404,20260811,3,0.07894736842105263,1197,0.0,3,4.363600048236549e-05,0.0022109800018370153
524288,0.0,1.0,5,38,4,524288,hotpotqa,4902912,5adc93a4554299438c868e01,0.015873015873015872,1,0.10526315789473684,0.0,128,0.3742690058479532,0.38763575605680867,0.2,0.0014534000074490905,0.0,1.0,0.0,1.0,32,77824,hidden_state,-0.33295589042441404,20260811,8,0.21052631578947367,1197,0.5,8,4.088800051249564e-05,0.0016737199970521034
524288,1.0,1.0,5,38,4,524288,hotpotqa,4902912,5adc93a4554299438c868e01,0.015873015873015872,1,0.10526315789473684,0.0,128,0.42606516290726815,0.38763575605680867,0.2,0.0014534000074490905,0.0,1.0,0.0,1.0,32,77824,hidden_state,-0.33295589042441404,20260811,16,0.42105263157894735,1197,1.0,16,4.7888000262901185e-05,0.0016708999988622963
393216,0.0,1.0,2,126,3,393216,hotpotqa,16510976,5ab7f97a5542991d322237ef,0.015628876209377324,1,0.023809523809523808,0.5,96,0.5728934094104027,0.7581245348548747,0.5,0.0021714000031352043,0.0,1.0,1.0,1.0,32,258048,hidden_state,0.3179464807435952,20260811,3,0.023809523809523808,4031,0.5,3,5.9263999573886395e-05,0.0018255399947520346
524288,0.0,1.0,2,126,4,524288,hotpotqa,16510976,5ab7f97a5542991d322237ef,0.015628876209377324,1,0.031746031746031744,0.5,128,0.6569089555941454,0.8176631108905978,0.5,0.0021714000031352043,0.0,1.0,1.0,1.0,32,258048,hidden_state,0.3179464807435952,20260811,8,0.06349206349206349,4031,0.5,8,5.820799968205392e-05,0.0017267199989873915
524288,0.0,1.0,2,126,4,524288,hotpotqa,16510976,5ab7f97a5542991d322237ef,0.015628876209377324,1,0.031746031746031744,0.5,128,0.6549243363929546,0.8375093029025056,0.5,0.0021714000031352043,0.0,1.0,1.0,1.0,32,258048,hidden_state,0.3179464807435952,20260811,16,0.12698412698412698,4031,0.5,16,5.7308000978082416e-05,0.0016197999997530133
393216,0.0,0.0,6,39,3,393216,hotpotqa,5054464,5a8888e35542997e5c09a5f6,0.015802269043760128,1,0.07692307692307693,0.0,96,0.4278768233387358,0.27228525121555913,0.16666666666666666,0.00149639998562634,0.0,1.0,0.0,1.0,32,79872,hidden_state,0.10747874818174558,20260811,3,0.07692307692307693,1234,0.0,3,4.0364000014960765e-05,0.002005339995957911
524288,0.0,1.0,6,39,4,524288,hotpotqa,5054464,5a8888e35542997e5c09a5f6,0.015802269043760128,1,0.10256410256410256,0.0,128,0.4246353322528363,0.3371150729335494,0.16666666666666666,0.00149639998562634,0.0,1.0,0.0,1.0,32,79872,hidden_state,0.10747874818174558,20260811,8,0.20512820512820512,1234,0.5,8,4.2984000174328685e-05,0.0015716599998995661
524288,0.0,1.0,6,39,4,524288,hotpotqa,5054464,5a8888e35542997e5c09a5f6,0.015802269043760128,1,0.10256410256410256,0.0,128,0.5348460291734197,0.5964343598055105,0.16666666666666666,0.00149639998562634,0.0,1.0,0.0,1.0,32,79872,hidden_state,0.10747874818174558,20260811,16,0.41025641025641024,1234,0.5,16,4.8708000686019657e-05,0.0016974600031971932
393216,0.0,0.0,10,55,3,393216,hotpotqa,7122944,5a8c8502554299585d9e36d0,0.015813686026451983,1,0.05454545454545454,0.0,96,0.7207207207207208,0.7084531339850488,0.1,0.0016059000045061111,0.0,1.0,0.0,0.0,32,112640,hidden_state,0.17616195911986907,20260811,3,0.05454545454545454,1739,0.0,3,7.619200041517616e-05,0.0024917000031564386
524288,0.0,0.0,10,55,4,524288,hotpotqa,7122944,5a8c8502554299585d9e36d0,0.015813686026451983,1,0.07272727272727272,0.0,128,0.6555491661874641,0.699252443933295,0.1,0.0016059000045061111,0.0,1.0,0.0,0.0,32,112640,hidden_state,0.17616195911986907,20260811,8,0.14545454545454545,1739,0.0,8,3.567199921235442e-05,0.002000899997074157
524288,0.0,1.0,10,55,4,524288,hotpotqa,7122944,5a8c8502554299585d9e36d0,0.015813686026451983,1,0.07272727272727272,0.0,128,0.5669925244393329,0.6256469235192639,0.1,0.0016059000045061111,0.0,1.0,0.0,0.0,32,112640,hidden_state,0.17616195911986907,20260811,16,0.2909090909090909,1739,0.5,16,3.4568000119179486e-05,0.0024145000032149257
