catalog_size,policy,stratum,examples,top1_accuracy,outcome_accuracy,false_act_rate,mean_confidence,mean_stages
8192,fixed_index,description,90,1.0,0.0,0.0,0.2857142857142857,1.0
8192,fixed_index,exact_name,90,1.0,0.0,0.0,0.2857142857142857,1.0
8192,fixed_index,explicit_uri,90,1.0,0.0,0.0,0.2857142857142857,1.0
8192,fixed_index,nonexistent,5,,1.0,0.0,0.2857142857142857,1.0
8192,fixed_index,semantic_paraphrase,90,0.0,0.0,0.0,0.2857142857142857,1.0
8192,fixed_index,typo,90,1.0,0.0,0.0,0.2857142857142857,1.0
8192,fixed_semantic,alias,90,0.0,0.0,0.0,0.0,1.0
8192,fixed_semantic,ambiguous,5,,1.0,0.0,0.19999999999999998,1.0
8192,fixed_semantic,description,90,1.0,0.0,0.0,0.19999999999999998,1.0
8192,fixed_semantic,exact_name,90,0.0,0.0,0.0,0.0,1.0
8192,fixed_semantic,explicit_uri,90,0.0,0.0,0.0,0.0,1.0
8192,fixed_semantic,nonexistent,5,,1.0,0.0,0.0,1.0
8192,fixed_semantic,semantic_paraphrase,90,1.0,0.0,0.0,0.19999999999999998,1.0
8192,fixed_semantic,typo,90,0.0,0.0,0.0,0.0,1.0
8192,fixed_token,alias,90,1.0,0.25555555555555554,0.0,0.690275749808627,1.0
8192,fixed_token,ambiguous,5,,1.0,0.0,0.07840180515135853,1.0
8192,fixed_token,description,90,0.2777777777777778,0.0,0.0,0.36587166212582534,1.0
8192,fixed_token,exact_name,90,1.0,0.9777777777777777,0.0,0.9015876087277016,1.0
8192,fixed_token,explicit_uri,90,1.0,1.0,0.0,1.0,1.0
8192,fixed_token,nonexistent,5,,1.0,0.0,0.6746925071777099,1.0
8192,fixed_token,semantic_paraphrase,90,0.0,0.0,0.0,0.0889644242283817,1.0
8192,fixed_token,typo,90,1.0,0.9888888888888889,0.0,0.8871907891305725,1.0
8192,user_hint,alias,90,1.0,1.0,0.0,0.9304929971988795,1.0
8192,user_hint,ambiguous,5,,1.0,0.0,0.9304929971988795,5.0
8192,user_hint,description,90,1.0,1.0,0.0,0.9867142857142857,1.0
8192,user_hint,exact_name,90,1.0,1.0,0.0,0.9336226268285092,1.0444444444444445
8192,user_hint,explicit_uri,90,1.0,1.0,0.0,0.9867142857142857,1.0
8192,user_hint,nonexistent,5,,1.0,0.0,0.9304929971988795,5.0
8192,user_hint,semantic_paraphrase,90,1.0,1.0,0.0,0.9867142857142857,1.0
8192,user_hint,typo,90,1.0,1.0,0.0,0.9304929971988795,1.0
