dataset,split,budget_chunks,condition,identities,evidence_recall,evidence_precision,any_evidence,chain_completion,exact_identity,mrr,teacher_top4_overlap,spearman,kl,index_bytes_per_chunk,routing_setup_plus_score_ms,materialized_native_kv_tokens,active_memory_fraction,transfer_bytes
2wikimultihopqa,validation,4,rank16_zero_shot,20,0.14458333333333334,0.1875,0.65,0.05,0.0,0.4041666666666667,0.375,0.4448367700912058,0.1855372503399849,2048.0,0.0,127.65,0.11853608864179128,522854.4
2wikimultihopqa,validation,4,rank8_centroid8_mixed,20,0.36666666666666664,0.4625,0.85,0.55,0.0,0.7416666666666667,0.4,0.46640329360961913,0.1225716033950448,256.0,0.0,126.8,0.11877708486486686,519372.8
2wikimultihopqa,validation,4,rank8_centroid8_retrained,20,0.7125,0.9,1.0,0.85,0.05,1.0,0.1875,0.3560887625440955,0.34990198984742166,256.0,0.0,127.9,0.1192737564752556,523878.4
2wikimultihopqa,validation,4,rank8_centroid8_zero_shot,20,0.14875,0.1875,0.55,0.15,0.0,0.35,0.3375,0.3589653653325513,0.2935709685087204,256.0,0.0,124.55,0.11662457037320244,510156.8
2wikimultihopqa,validation,4,rank8_mixed,20,0.4320833333333334,0.55,0.95,0.6,0.0,0.8416666666666666,0.4,0.48207771852612497,0.13156102765351535,1024.0,0.0,127.9,0.1192737564752556,523878.4
2wikimultihopqa,validation,4,rank8_retrained,20,0.7758333333333334,0.975,1.0,0.95,0.15,1.0,0.1625,0.3972457157447934,0.428008933365345,1024.0,0.0,127.9,0.1192737564752556,523878.4
2wikimultihopqa,validation,4,rank8_zero_shot,20,0.18708333333333332,0.2375,0.75,0.05,0.0,0.3875,0.375,0.4221056438982487,0.24102461189031602,1024.0,0.0,127.6,0.11849382321491046,522649.6
2wikimultihopqa,validation,6,approximate,20,0.33333333333333337,0.275,0.9,0.25,0.0,0.5791666666666667,0.0875,0.1465938724577427,0.17174144312739373,0.0,15.15606000320986,188.3,0.17592382064326045,771276.8
2wikimultihopqa,validation,6,best_lexical,20,0.3904166666666667,0.325,1.0,0.35,0.0,0.7058333333333333,0.1125,0.11399769794079476,0.18878392428159713,0.0,15.15606000320986,189.5,0.17723292298366586,776192.0
2wikimultihopqa,validation,6,bm25,20,0.36041666666666666,0.3,0.95,0.45,0.0,0.7016666666666667,0.15,0.15812887251377106,0.1818302970379591,0.0,15.15606000320986,190.95,0.1779869531448723,782131.2
2wikimultihopqa,validation,6,exact,20,0.3904166666666667,0.325,1.0,0.35,0.0,0.7058333333333333,0.1125,0.11399769794079476,0.18878392428159713,0.0,15.15606000320986,189.5,0.17723292298366586,776192.0
2wikimultihopqa,validation,6,inherited_hybrid,20,0.23374999999999999,0.19166666666666665,0.75,0.2,0.0,0.3675,0.5,0.7398358419537544,0.11086590681225061,0.0,15.15606000320986,186.1,0.17467452170556214,762265.6
2wikimultihopqa,validation,6,lexical_lowrank_mixed,20,0.6016666666666667,0.5083333333333333,1.0,0.75,0.0,0.8166666666666667,0.2625,0.33956706840544937,0.15127237923443318,2048.0,0.0,192.0,0.1791149943859079,786432.0
2wikimultihopqa,validation,6,lexical_lowrank_retrained,20,0.9283333333333333,0.7833333333333333,1.0,1.0,0.1,1.0,0.2,0.37544029820710423,0.14217361472547055,2048.0,0.0,191.9,0.17897875460389157,786022.4
