candidate_count,depth,example_id,graph_density_at_4,layer_id,recall_at_1,recall_at_2,recall_at_4,recall_at_6,recall_at_8,reciprocal_rank,seed,shortcut,source_hop,target_hop,target_rank,target_reachable,target_within_direct_window,target_within_effective_receptive_field,window
15,8,chain-518919-d8,0.26666666666666666,3,1,1,1,1,1,1.0,17,0,5,6,1,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,3,0,0,0,1,1,0.2,17,0,6,7,5,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,4,0,1,1,1,1,0.5,17,0,0,1,2,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,4,1,1,1,1,1,1.0,17,0,1,2,1,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,4,1,1,1,1,1,1.0,17,0,2,3,1,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,4,0,1,1,1,1,0.5,17,0,3,4,2,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,4,0,0,0,1,1,0.16666666666666666,17,0,4,5,6,1,0,1,w16
15,8,chain-518919-d8,0.26666666666666666,4,0,0,1,1,1,0.3333333333333333,17,0,5,6,3,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,4,0,0,1,1,1,0.3333333333333333,17,0,6,7,3,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,5,0,1,1,1,1,0.5,17,0,0,1,2,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,5,0,1,1,1,1,0.5,17,1,1,2,2,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,5,0,0,1,1,1,0.3333333333333333,17,1,2,3,3,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,5,0,1,1,1,1,0.5,17,0,3,4,2,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,5,0,0,1,1,1,0.3333333333333333,17,0,4,5,3,1,0,1,w16
15,8,chain-518919-d8,0.26666666666666666,5,0,0,1,1,1,0.3333333333333333,17,0,5,6,3,1,1,1,w16
15,8,chain-518919-d8,0.26666666666666666,5,0,0,0,1,1,0.2,17,0,6,7,5,1,1,1,w16
7,4,chain-623648-d4,0.5714285714285714,0,0,0,0,1,1,0.16666666666666666,17,1,0,1,6,1,0,0,w16
7,4,chain-623648-d4,0.5714285714285714,0,0,0,0,0,1,0.14285714285714285,17,1,1,2,7,1,1,1,w16
7,4,chain-623648-d4,0.5714285714285714,0,0,0,1,1,1,0.25,17,0,2,3,4,1,0,0,w16
7,4,chain-623648-d4,0.5714285714285714,1,0,0,0,0,1,0.14285714285714285,17,1,0,1,7,1,0,0,w16
7,4,chain-623648-d4,0.5714285714285714,1,1,1,1,1,1,1.0,17,0,1,2,1,1,1,1,w16
7,4,chain-623648-d4,0.5714285714285714,1,1,1,1,1,1,1.0,17,0,2,3,1,1,0,1,w16
7,4,chain-623648-d4,0.5714285714285714,2,0,0,0,1,1,0.16666666666666666,17,1,0,1,6,1,0,1,w16
7,4,chain-623648-d4,0.5714285714285714,2,1,1,1,1,1,1.0,17,0,1,2,1,1,1,1,w16
7,4,chain-623648-d4,0.5714285714285714,2,1,1,1,1,1,1.0,17,0,2,3,1,1,0,1,w16
7,4,chain-623648-d4,0.5714285714285714,3,0,0,0,1,1,0.16666666666666666,17,1,0,1,6,1,0,1,w16
7,4,chain-623648-d4,0.5714285714285714,3,1,1,1,1,1,1.0,17,0,1,2,1,1,1,1,w16
7,4,chain-623648-d4,0.5714285714285714,3,0,0,0,1,1,0.16666666666666666,17,0,2,3,6,1,0,1,w16
7,4,chain-623648-d4,0.5714285714285714,4,0,0,0,1,1,0.16666666666666666,17,1,0,1,6,1,0,1,w16
7,4,chain-623648-d4,0.5714285714285714,4,0,0,0,1,1,0.2,17,0,1,2,5,1,1,1,w16
7,4,chain-623648-d4,0.5714285714285714,4,0,0,1,1,1,0.25,17,0,2,3,4,1,0,1,w16
7,4,chain-623648-d4,0.5714285714285714,5,0,0,0,0,1,0.14285714285714285,17,1,0,1,7,1,0,1,w16
7,4,chain-623648-d4,0.5714285714285714,5,0,0,0,0,1,0.14285714285714285,17,1,1,2,7,1,1,1,w16
7,4,chain-623648-d4,0.5714285714285714,5,0,0,1,1,1,0.3333333333333333,17,0,2,3,3,1,0,1,w16
12,8,chain-728377-d8,0.3333333333333333,0,0,0,0,0,0,0.08333333333333333,17,1,0,1,12,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,0,0,0,0,1,1,0.2,17,1,1,2,5,1,0,0,w16
12,8,chain-728377-d8,0.3333333333333333,0,0,0,0,0,0,0.08333333333333333,17,1,2,3,12,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,0,0,0,0,0,0,0.08333333333333333,17,1,3,4,12,1,0,0,w16
12,8,chain-728377-d8,0.3333333333333333,0,0,0,0,0,0,0.08333333333333333,17,1,4,5,12,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,0,0,0,0,0,0,0.08333333333333333,17,1,5,6,12,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,0,0,0,0,0,0,0.1111111111111111,17,0,6,7,9,1,0,0,w16
12,8,chain-728377-d8,0.3333333333333333,1,1,1,1,1,1,1.0,17,0,0,1,1,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,1,0,0,1,1,1,0.25,17,1,1,2,4,1,0,0,w16
12,8,chain-728377-d8,0.3333333333333333,1,0,0,1,1,1,0.3333333333333333,17,0,2,3,3,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,1,1,1,1,1,1,1.0,17,0,3,4,1,1,0,1,w16
12,8,chain-728377-d8,0.3333333333333333,1,0,0,1,1,1,0.3333333333333333,17,1,4,5,3,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,1,0,0,1,1,1,0.25,17,0,5,6,4,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,1,0,0,0,1,1,0.2,17,0,6,7,5,1,0,1,w16
12,8,chain-728377-d8,0.3333333333333333,2,0,0,1,1,1,0.3333333333333333,17,0,0,1,3,1,1,1,w16
12,8,chain-728377-d8,0.3333333333333333,2,0,0,0,1,1,0.16666666666666666,17,1,1,2,6,1,0,1,w16
