window,seed,example_id,policy,evidence_condition,best_immediate_margin_gain,final_margin_gain,positive_immediate_gain,erased_by_final_layer,retained_fraction
w16,29,chain-309462-d4,one_shot,shuffle,0.050559818744659424,-1.2251768112182617,1,1,-24.232223169266717
w16,29,chain-414191-d2,one_shot,shuffle,0.14012181758880615,-1.5655920505523682,1,1,-11.173078379176248
w16,29,chain-518920-d1,one_shot,shuffle,1.0193533897399902,1.3028888702392578,1,0,1.2781522908081857
w16,29,chain-623649-d1,one_shot,shuffle,-0.03294408321380615,0.2852492332458496,0,0,0.0
w16,29,chain-728378-d2,one_shot,shuffle,-0.12845969200134277,-2.036506175994873,0,0,0.0
w16,29,chain-833107-d1,one_shot,shuffle,-0.11091727018356323,-1.1263666152954102,0,0,0.0
w16,29,chain-937836-d1,one_shot,shuffle,-0.47493523359298706,2.5694947242736816,0,0,0.0
w16,29,chain-1042565-d1,one_shot,shuffle,-0.405407190322876,3.050668239593506,0,0,0.0
w16,29,chain-1147294-d2,one_shot,shuffle,0.04453557729721069,-0.2641141414642334,1,1,-5.9304079455769205
w16,29,chain-1252023-d4,one_shot,shuffle,-0.7666052579879761,-1.5910542011260986,0,0,0.0
w16,29,chain-1356752-d1,one_shot,shuffle,-0.1592392921447754,-1.2563881874084473,0,0,0.0
w16,29,chain-1461481-d2,one_shot,shuffle,0.5522794723510742,-1.2877540588378906,1,1,-2.3317072665327823
w16,29,chain-1566210-d2,one_shot,shuffle,-0.08676737546920776,-0.2872586250305176,0,0,0.0
w16,29,chain-1670939-d1,one_shot,shuffle,-0.5305434465408325,0.4930598735809326,0,0,0.0
w16,29,chain-100004-d1,iterative_matched,selected,2.7278637886047363,2.8989686965942383,1,0,1.062724872372392
w16,29,chain-204733-d3,iterative_matched,selected,0.05770456790924072,-0.7712588310241699,1,1,-13.365646065268633
w16,29,chain-309462-d4,iterative_matched,selected,2.031304121017456,1.402846097946167,1,0,0.690613524302554
w16,29,chain-414191-d2,iterative_matched,selected,2.7699286937713623,2.460300922393799,1,0,0.8882181436389276
w16,29,chain-518920-d1,iterative_matched,selected,1.5631294250488281,1.7372989654541016,1,0,1.1114236208558563
w16,29,chain-623649-d1,iterative_matched,selected,2.3195958137512207,1.7420542240142822,1,0,0.7510162820983257
w16,29,chain-728378-d2,iterative_matched,selected,-0.6339302062988281,-3.123432159423828,0,0,0.0
w16,29,chain-833107-d1,iterative_matched,selected,1.8004150390625,1.8100981712341309,1,0,1.0053782777645943
w16,29,chain-937836-d1,iterative_matched,selected,0.12897509336471558,-1.019350528717041,1,1,-7.903468042736927
w16,29,chain-1042565-d1,iterative_matched,selected,1.8027586936950684,0.12351751327514648,1,0,0.06851583282173822
w16,29,chain-1147294-d2,iterative_matched,selected,3.008904218673706,3.2253384590148926,1,0,1.0719312495884594
w16,29,chain-1252023-d4,iterative_matched,selected,1.4597876071929932,0.5955901145935059,1,0,0.40799778793762914
w16,29,chain-1356752-d1,iterative_matched,selected,0.04740118980407715,-0.43586230278015137,1,1,-9.19517642029022
w16,29,chain-1461481-d2,iterative_matched,selected,2.6854963302612305,2.4015393257141113,1,0,0.8942627471326697
w16,29,chain-1566210-d2,iterative_matched,selected,-0.1369990110397339,-1.6722323894500732,0,0,0.0
w16,29,chain-1670939-d1,iterative_matched,selected,-0.3079690933227539,-1.707810878753662,0,0,0.0
w16,29,chain-100004-d1,iterative_matched,oracle,4.1601152420043945,4.216135501861572,1,0,1.013466035577944
w16,29,chain-204733-d3,iterative_matched,oracle,3.4480481147766113,3.665994644165039,1,0,1.0632086682475277
w16,29,chain-309462-d4,iterative_matched,oracle,1.9556782245635986,1.8671150207519531,1,0,0.9547148387197449
w16,29,chain-414191-d2,iterative_matched,oracle,2.24149751663208,1.9046483039855957,1,0,0.849721353627636
w16,29,chain-518920-d1,iterative_matched,oracle,4.60970401763916,5.006567716598511,1,0,1.0860930978303034
w16,29,chain-623649-d1,iterative_matched,oracle,4.760555267333984,5.20123815536499,1,0,1.0925696401541407
w16,29,chain-728378-d2,iterative_matched,oracle,0.3840312957763672,-1.3203892707824707,1,1,-3.4382335119671406
w16,29,chain-833107-d1,iterative_matched,oracle,2.8629698753356934,3.1313557624816895,1,0,1.0937438739604366
w16,29,chain-937836-d1,iterative_matched,oracle,1.5363683700561523,1.6893067359924316,1,0,1.0995453752609405
w16,29,chain-1042565-d1,iterative_matched,oracle,1.9291346073150635,-0.18247675895690918,1,1,-0.09458995669093159
w16,29,chain-1147294-d2,iterative_matched,oracle,2.31170392036438,2.8617210388183594,1,0,1.2379271469883062
w16,29,chain-1252023-d4,iterative_matched,oracle,1.1004102230072021,1.0603508949279785,1,0,0.9635960051609213
w16,29,chain-1356752-d1,iterative_matched,oracle,0.4164891242980957,-0.61678147315979,1,1,-1.480906552360148
w16,29,chain-1461481-d2,iterative_matched,oracle,2.4513301849365234,2.494849681854248,1,0,1.017753421054884
w16,29,chain-1566210-d2,iterative_matched,oracle,2.6309404373168945,2.8322510719299316,1,0,1.0765166066694916
w16,29,chain-1670939-d1,iterative_matched,oracle,-0.13686621189117432,-1.5933444499969482,0,0,0.0
w16,29,chain-100004-d1,iterative_matched,wrong,1.2396984100341797,1.3131933212280273,1,0,1.0592845087151652
w16,29,chain-204733-d3,iterative_matched,wrong,0.9028720855712891,0.9058544635772705,1,0,1.003303212109049
w16,29,chain-309462-d4,iterative_matched,wrong,2.326885938644409,2.3416624069213867,1,0,1.0063503191246177
w16,29,chain-414191-d2,iterative_matched,wrong,0.6454286575317383,0.6300857067108154,1,0,0.9762282776851005
w16,29,chain-518920-d1,iterative_matched,wrong,2.1491453647613525,2.203125476837158,1,0,1.0251170130047484
w16,29,chain-623649-d1,iterative_matched,wrong,0.6588599681854248,0.5526773929595947,1,0,0.8388389333802311
w16,29,chain-728378-d2,iterative_matched,wrong,0.09344267845153809,-3.7967629432678223,1,1,-40.6320003470034
w16,29,chain-833107-d1,iterative_matched,wrong,-0.576384961605072,-1.397855520248413,0,0,0.0
w16,29,chain-937836-d1,iterative_matched,wrong,1.462907314300537,1.6291561126708984,1,0,1.1136427419189234
w16,29,chain-1042565-d1,iterative_matched,wrong,0.38447046279907227,-1.5120153427124023,1,1,-3.932721727709406
w16,29,chain-1147294-d2,iterative_matched,wrong,1.0070788860321045,0.9524502754211426,1,0,0.9457553808657444
w16,29,chain-1252023-d4,iterative_matched,wrong,1.1035044193267822,1.1519391536712646,1,0,1.0438917447870586
w16,29,chain-1356752-d1,iterative_matched,wrong,0.12816977500915527,-0.7550811767578125,1,1,-5.891257722063384
w16,29,chain-1461481-d2,iterative_matched,wrong,1.5002360343933105,1.362649917602539,1,0,0.9082903532267103
w16,29,chain-1566210-d2,iterative_matched,wrong,1.4560413360595703,-0.21088123321533203,1,1,-0.14483190002423416
w16,29,chain-1670939-d1,iterative_matched,wrong,1.5529792308807373,0.9439308643341064,1,0,0.6078193742480235
