window,seed,example_id,depth,one_shot_path_recovery,iterative_path_recovery,path_gain,one_shot_correct,iterative_correct,answer_gain,one_shot_margin,iterative_margin,margin_gain,oracle_margin_gain
global,53,chain-623649-d1,1,1,1,0.0,0,0,0.0,-3.461308240890503,-1.111257553100586,2.350050687789917,-1.004502296447754
global,53,chain-728378-d2,2,0,0,0.0,0,0,0.0,-2.337111473083496,-2.6986749172210693,-0.36156344413757324,4.960658311843872
global,53,chain-833107-d1,1,1,1,0.0,0,0,0.0,-7.6362199783325195,-4.859391212463379,2.7768287658691406,-2.3595170974731445
global,53,chain-937836-d1,1,0,1,1.0,0,0,0.0,-4.811498641967773,-5.151392936706543,-0.33989429473876953,7.91761589050293
global,67,chain-100004-d1,1,0,0,0.0,0,0,0.0,-5.590728759765625,-5.32493782043457,0.2657909393310547,3.817321300506592
global,67,chain-1042565-d1,1,1,1,0.0,0,0,0.0,-0.6834526062011719,-2.351226806640625,-1.6677742004394531,2.9340953826904297
global,67,chain-1147294-d2,2,0,1,1.0,0,0,0.0,-5.619968414306641,-0.18024826049804688,5.439720153808594,0.12443256378173828
global,67,chain-1252023-d4,4,0,0,0.0,0,0,0.0,-4.8868584632873535,-0.6089687347412109,4.277889728546143,2.557494640350342
global,67,chain-1356752-d1,1,1,1,0.0,1,0,-1.0,0.4496598243713379,-3.281975746154785,-3.731635570526123,-0.5387835502624512
global,67,chain-1461481-d2,2,0,0,0.0,1,0,-1.0,1.3998513221740723,-1.4800400733947754,-2.8798913955688477,7.673435688018799
global,67,chain-1566210-d2,2,0,0,0.0,0,0,0.0,-3.2829198837280273,-3.065469741821289,0.21745014190673828,6.383456707000732
global,67,chain-1670939-d1,1,1,0,-1.0,1,0,-1.0,3.267062187194824,-3.944917678833008,-7.211979866027832,10.10984992980957
global,67,chain-204733-d3,3,0,0,0.0,0,0,0.0,-3.710995674133301,-2.4845926761627197,1.226402997970581,3.2614047527313232
global,67,chain-309462-d4,4,0,0,0.0,0,0,0.0,-6.015261650085449,-0.8652157783508301,5.150045871734619,3.0826282501220703
global,67,chain-414191-d2,2,0,0,0.0,1,1,0.0,4.39623498916626,3.6968963146209717,-0.6993386745452881,-8.543232202529907
global,67,chain-518920-d1,1,1,1,0.0,0,0,0.0,-3.5132932662963867,-4.83753776550293,-1.324244499206543,1.9501681327819824
