stage,config_id,method,edge_family,top_k,threshold,policy,split,seed,example_id,facets,units,edges,interleaved,shared_entity,ari,nmi,pairwise_f1,boundary_f1,cluster_count_error,graph_ms,cluster_ms,iterations,converged
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,37,validation-s37-e023,6,24,46,1,1,0.9019422074846044,0.9387536778252105,0.9142857142857143,0.9411764705882353,3,1.7591000068932772,0.9173001162707806,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e000,1,5,10,0,0,0.0,0.0,0.7499999999999999,0.0,1,1.3298001140356064,0.5783000960946083,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e001,2,7,16,0,0,1.0,0.9999999999999999,1.0,1.0,0,1.284899888560176,0.5703000351786613,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e002,3,12,24,1,0,0.7552533992583437,0.8542738330516865,0.8125000000000001,0.923076923076923,2,1.3627000153064728,0.8163999300450087,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e003,4,17,46,1,1,1.0,1.0,1.0,1.0,0,1.432300079613924,0.42179995216429234,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e004,5,20,52,0,1,0.8998101666315124,0.9384103792098537,0.9152542372881356,0.7272727272727273,2,0.8448001462966204,0.43720006942749023,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e005,6,24,52,0,1,0.9361406756131421,0.9714041968211836,0.9444444444444444,0.9090909090909091,1,0.8700001053512096,0.45599997974932194,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e006,1,5,12,1,0,0.0,0.0,1.0,0.0,0,0.7957001216709614,0.3059001173824072,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e007,2,7,12,1,0,1.0,0.9999999999999999,1.0,1.0,0,0.8026999421417713,0.3355999942868948,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e008,3,13,34,0,0,0.9367396593673966,0.9359596314694716,0.9545454545454545,0.8,1,1.67859997600317,0.6796999368816614,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e009,4,17,44,0,1,1.0,1.0,1.0,1.0,0,1.1598998680710793,0.4096000920981169,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e010,5,19,44,1,1,0.956029827719208,0.9693687998283107,0.962962962962963,1.0,1,0.8533999789506197,0.4263001028448343,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e011,6,24,52,1,1,0.9361406756131421,0.9684094359818353,0.9444444444444444,1.0,1,0.874500023201108,0.44739991426467896,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e012,1,5,16,0,0,0.0,0.0,1.0,0.0,0,0.7887999527156353,0.27989991940557957,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e013,2,7,12,0,0,1.0,0.9999999999999999,1.0,1.0,0,1.1096999514847994,0.6564001087099314,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e014,3,12,16,1,0,0.7995139732685298,0.861464006106324,0.8484848484848484,0.9333333333333333,2,1.5863000880926847,0.6405999884009361,4,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e015,4,17,42,1,1,0.9316811788345613,0.9538197119058962,0.9454545454545454,0.9090909090909091,1,0.9273998439311981,0.4181000404059887,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e016,5,20,52,0,1,0.941442366961167,0.9505594809791427,0.9508196721311475,0.8,2,0.8652000688016415,0.4058999475091696,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e017,6,24,50,0,1,0.8842281879194631,0.9470572590473137,0.898550724637681,0.7142857142857143,2,0.861800042912364,0.47939992509782314,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e018,1,5,12,1,0,0.0,0.0,1.0,0.0,0,1.362500013783574,0.5357998888939619,4,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e019,2,7,10,1,0,0.6956521739130435,0.8095401960023787,0.8,0.7499999999999999,1,1.5851000789552927,0.5454998463392258,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e020,3,13,40,0,0,1.0,1.0,1.0,1.0,0,0.9182000067085028,0.4233000800013542,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e021,4,17,34,0,1,0.7776162790697674,0.874605135555374,0.8163265306122449,0.6666666666666666,3,0.8795000612735748,0.40740007534623146,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e022,5,19,34,1,1,0.8597977589505329,0.9307137598884687,0.88,0.967741935483871,2,1.0637000668793917,0.9119000751525164,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,53,validation-s53-e023,6,24,64,1,1,1.0,1.0,1.0,1.0,0,0.9602999780327082,0.4453000146895647,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e000,1,5,16,0,0,0.0,0.0,1.0,0.0,0,0.8141999132931232,0.2804999239742756,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e001,2,7,14,0,0,1.0,0.9999999999999999,1.0,1.0,0,0.7931999862194061,0.6851002108305693,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e002,3,12,30,1,0,1.0,1.0,1.0,1.0,0,0.9194999001920223,0.40460005402565,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e003,4,17,48,1,1,0.9077027485578555,0.9488973112282478,0.9259259259259259,1.0,1,0.8739999029785395,0.42010005563497543,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e004,5,20,46,0,1,0.9614604462474645,0.97074680436967,0.967741935483871,0.888888888888889,1,1.4160999562591314,0.6599000189453363,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e005,6,24,58,0,1,0.9687924016282227,0.9780268152531073,0.972972972972973,0.9090909090909091,1,1.3520000502467155,0.7241000421345234,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e006,1,5,14,1,0,0.0,0.0,1.0,0.0,0,1.8201000057160854,0.4475000314414501,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e007,2,7,14,1,0,1.0,0.9999999999999999,1.0,1.0,0,1.7045000568032265,0.6893998943269253,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e008,3,13,40,0,0,1.0,1.0,1.0,1.0,0,1.3768000062555075,0.5452998448163271,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e009,4,17,48,0,1,1.0,1.0,1.0,1.0,0,1.3540999498218298,0.5817001219838858,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e010,5,19,40,1,1,1.0,1.0,1.0,1.0,0,1.823000144213438,0.9134998545050621,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e011,6,24,56,1,1,1.0,1.0,1.0,1.0,0,1.4543000143021345,0.7088999263942242,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e012,1,5,18,0,0,0.0,0.0,1.0,0.0,0,1.2403998989611864,0.5019998643547297,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e013,2,7,16,0,0,1.0,0.9999999999999999,1.0,1.0,0,1.248599961400032,0.4957001656293869,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e014,3,12,30,1,0,1.0,1.0,1.0,1.0,0,2.0049000158905983,0.7472999859601259,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e015,4,17,50,1,1,0.9316811788345613,0.953819711905896,0.9454545454545454,1.0,1,0.9436998516321182,0.39439997635781765,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e016,5,20,54,0,1,1.0,1.0,1.0,1.0,0,0.8756001479923725,0.42019993998110294,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e017,6,24,62,0,1,1.0,1.0,1.0,1.0,0,0.892499927431345,0.43789995834231377,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e018,1,5,10,1,0,0.0,0.0,0.7499999999999999,0.0,1,0.8220002055168152,0.3128999378532171,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e019,2,7,16,1,0,1.0,0.9999999999999999,1.0,1.0,0,0.9659999050199986,0.5630000960081816,2,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e020,3,13,30,0,0,1.0,1.0,1.0,1.0,0,0.873900018632412,0.7668000180274248,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e021,4,17,54,0,1,1.0,1.0,1.0,1.0,0,1.4174000825732946,0.6448000203818083,3,1
edge_method,edge-cc-contextual,cc,contextual,4,0.55,union,validation,71,validation-s71-e022,5,19,30,1,1,0.8597977589505329,0.9307137598884687,0.88,1.0,2,1.3260000851005316,0.7262001745402813,3,1
