seed,variant,dataset,condition,examples,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,gold_first_token_rank,gold_first_token_rank_delta_vs_none,gold_first_token_margin,gold_first_token_margin_delta_vs_none,no_pra_gold_logprob_delta_vs_frozen,no_pra_first_token_rank_delta_vs_frozen,no_pra_first_token_margin_delta_vs_frozen,f1,em,answer_contained,teacher_forced_seconds,generation_seconds,active_memory_tokens,trainable_parameter_count,trainable_parameter_percent,trainable_memory_bytes,trainable_memory_bytes_fp32
23,fixed,hotpotqa,routed,4,-7.892500400543213,0.11031648516654968,440.5,-446.25,-11.712890625,0.103515625,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.16364464999060147,0.7396633250027662,384.0,0.0,0.0,0.0,0.0
23,fixed,qasper,direct_text,4,-8.971986055374146,-1.791483998298645,21.5,10.5,-8.513671875,-1.740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.5033287750120508,1.0086279749957612,0.0,0.0,0.0,0.0,0.0
23,fixed,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.0,0.0,0.0,0.125,0.0,0.5,0.14688382498570718,0.712249874995905,0.0,0.0,0.0,0.0,0.0
23,fixed,qasper,oracle,4,-7.341205358505249,-0.16070330142974854,10.5,-0.5,-6.80078125,-0.02734375,0.0,0.0,0.0,0.125,0.0,0.5,0.15624182498140726,0.7810962999938056,960.0,0.0,0.0,0.0,0.0
23,fixed,qasper,routed,4,-7.6368184089660645,-0.45631635189056396,14.75,3.75,-7.125,-0.3515625,0.0,0.0,0.0,0.125,0.0,0.5,0.15334774999064393,0.7679907499987166,384.0,0.0,0.0,0.0,0.0
23,lm_head,hotpotqa,direct_text,4,-3.379027083516121,4.6163255125284195,318.75,-569.75,-7.578125,4.31640625,0.007464289665222168,1.75,-0.078125,0.125,0.0,0.25,0.2637970999930985,0.7833561000006739,0.0,155582464.0,26.102253985706433,311164928.0,622329856.0
23,lm_head,hotpotqa,none,4,-7.99535259604454,0.0,888.5,0.0,-11.89453125,0.0,0.007464289665222168,1.75,-0.078125,0.05555555555555556,0.0,0.0,0.15596504999848548,0.6823042499891017,0.0,155582464.0,26.102253985706433,311164928.0,622329856.0
23,lm_head,hotpotqa,oracle,4,-7.00921767950058,0.9861349165439606,239.0,-649.5,-10.384765625,1.509765625,0.007464289665222168,1.75,-0.078125,0.05555555555555556,0.0,0.0,0.1627501249749912,0.7359722749970388,449.0,155582464.0,26.102253985706433,311164928.0,622329856.0
23,lm_head,hotpotqa,routed,4,-7.891154527664185,0.10419806838035583,443.25,-445.25,-11.736328125,0.158203125,0.007464289665222168,1.75,-0.078125,0.05555555555555556,0.0,0.0,0.16359947498131078,0.7329332250083098,384.0,155582464.0,26.102253985706433,311164928.0,622329856.0
23,lm_head,qasper,direct_text,4,-9.136103391647339,-1.9608651399612427,21.25,10.0,-8.763671875,-2.064453125,0.005263805389404297,0.25,0.07421875,0.0,0.0,0.0,0.5094475999940187,1.0112836250045802,0.0,155582464.0,26.102253985706433,311164928.0,622329856.0
23,lm_head,qasper,none,4,-7.175238251686096,0.0,11.25,0.0,-6.69921875,0.0,0.005263805389404297,0.25,0.07421875,0.1875,0.0,0.75,0.14743332500802353,0.7186881499947049,0.0,155582464.0,26.102253985706433,311164928.0,622329856.0
23,lm_head,qasper,oracle,4,-7.280742764472961,-0.10550451278686523,10.25,-1.0,-6.71875,-0.01953125,0.005263805389404297,0.25,0.07421875,0.1875,0.0,0.75,0.15490637501352467,0.7912407499825349,960.0,155582464.0,26.102253985706433,311164928.0,622329856.0
23,lm_head,qasper,routed,4,-7.560796141624451,-0.3855578899383545,14.5,3.25,-6.96875,-0.26953125,0.005263805389404297,0.25,0.07421875,0.1875,0.0,0.75,0.15425509998749476,0.7823180250125006,384.0,155582464.0,26.102253985706433,311164928.0,622329856.0
23,lm_head_lora_r8,hotpotqa,direct_text,4,-3.3013932406902313,4.541241765022278,290.25,-826.5,-7.342336177825928,3.856224298477173,0.16018187999725342,230.0,0.6178457736968994,0.29166666666666663,0.0,0.25,0.2835824999929173,0.7138328750006622,0.0,1223680.0,0.20529824079164377,4894720.0,4894720.0
23,lm_head_lora_r8,hotpotqa,none,4,-7.842635005712509,0.0,1116.75,0.0,-11.1985604763031,0.0,0.16018187999725342,230.0,0.6178457736968994,0.05555555555555556,0.0,0.0,0.1657456000102684,0.6898729250096949,0.0,1223680.0,0.20529824079164377,4894720.0,4894720.0
23,lm_head_lora_r8,hotpotqa,oracle,4,-6.85730916261673,0.9853258430957794,213.0,-903.75,-9.824748516082764,1.373811960220337,0.16018187999725342,230.0,0.6178457736968994,0.05555555555555556,0.0,0.0,0.1713242999976501,0.7471078000089619,449.0,1223680.0,0.20529824079164377,4894720.0,4894720.0
23,lm_head_lora_r8,hotpotqa,routed,4,-7.733544170856476,0.10909083485603333,429.75,-687.0,-11.104767084121704,0.09379339218139648,0.16018187999725342,230.0,0.6178457736968994,0.05555555555555556,0.0,0.0,0.17011607499443926,0.744313350005541,384.0,1223680.0,0.20529824079164377,4894720.0,4894720.0
23,lm_head_lora_r8,qasper,direct_text,4,-8.142900347709656,-1.7393542528152466,19.75,9.75,-7.705262184143066,-1.6938440799713135,0.7769559621810913,-1.0,0.7620193958282471,0.0,0.0,0.0,0.5609995500126388,1.0185153250058647,0.0,1223680.0,0.20529824079164377,4894720.0,4894720.0
23,lm_head_lora_r8,qasper,none,4,-6.403546094894409,0.0,10.0,0.0,-6.011418104171753,0.0,0.7769559621810913,-1.0,0.7620193958282471,0.125,0.0,0.5,0.15279854999971576,0.7230554249836132,0.0,1223680.0,0.20529824079164377,4894720.0,4894720.0
23,lm_head_lora_r8,qasper,oracle,4,-6.591516852378845,-0.18797075748443604,9.75,-0.25,-6.072305679321289,-0.06088757514953613,0.7769559621810913,-1.0,0.7620193958282471,0.125,0.0,0.5,0.16101647501636762,0.7966286000155378,960.0,1223680.0,0.20529824079164377,4894720.0,4894720.0
23,lm_head_lora_r8,qasper,routed,4,-6.902164459228516,-0.49861836433410645,13.0,3.0,-6.371761798858643,-0.36034369468688965,0.7769559621810913,-1.0,0.7620193958282471,0.125,0.0,0.5,0.16128844999184366,0.7799034250201657,384.0,1223680.0,0.20529824079164377,4894720.0,4894720.0
37,final_norm_lm_head,hotpotqa,direct_text,4,-3.314855456352234,4.582446217536926,318.5,-570.75,-7.4453125,3.7734375,0.10551521182060242,2.5,0.59765625,0.2361111111111111,0.0,0.25,0.2676532000041334,0.7889555750007275,0.0,155583488.0,26.10242578339747,311166976.0,622333952.0
37,final_norm_lm_head,hotpotqa,none,4,-7.89730167388916,0.0,889.25,0.0,-11.21875,0.0,0.10551521182060242,2.5,0.59765625,0.05555555555555556,0.0,0.0,0.15754962498613168,0.637385850015562,0.0,155583488.0,26.10242578339747,311166976.0,622333952.0
37,final_norm_lm_head,hotpotqa,oracle,4,-6.951139152050018,0.9461625218391418,239.75,-649.5,-9.822265625,1.396484375,0.10551521182060242,2.5,0.59765625,0.05555555555555556,0.0,0.0,0.16330670000752434,0.6976247249986045,449.0,155583488.0,26.10242578339747,311166976.0,622333952.0
37,final_norm_lm_head,hotpotqa,routed,4,-7.829270422458649,0.06803125143051147,445.0,-444.25,-11.314453125,-0.095703125,0.10551521182060242,2.5,0.59765625,0.05555555555555556,0.0,0.0,0.16283844999270514,0.706040099990787,384.0,155583488.0,26.10242578339747,311166976.0,622333952.0
37,final_norm_lm_head,qasper,direct_text,4,-8.294403195381165,-1.2983258962631226,21.0,10.5,-7.673828125,-0.974609375,0.1844247579574585,-0.5,0.07421875,0.0625,0.0,0.25,0.5138714499917114,1.0209780749719357,0.0,155583488.0,26.10242578339747,311166976.0,622333952.0
37,final_norm_lm_head,qasper,none,4,-6.996077299118042,0.0,10.5,0.0,-6.69921875,0.0,0.1844247579574585,-0.5,0.07421875,0.1875,0.0,0.75,0.1481047000270337,0.7228515000169864,0.0,155583488.0,26.10242578339747,311166976.0,622333952.0
