split,dataset,example_id,conditioned_root_method,oracle_successor_method,oracle_recall,oracle_precision,oracle_mrr,combined_root_method,combined_successor_method,combined_recall,combined_precision,combined_mrr,comparisons,latency_ms,mapping_semantics
test,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,hybrid,native_semantic,0.3333333333333333,0.5,1.0,hybrid,native_semantic,0.3333333333333333,0.5,1.0,144,75.90749999508262,unordered_evidence_remainder
test,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,exact,exact_new_address,0.0,0.0,0.09090909090909091,semantic,exact_new_address,0.0,0.0,0.25,176,155.5708998348564,unordered_evidence_remainder
test,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,exact,exact_new_address,0.0,0.0,0.08333333333333333,exact,exact_new_address,0.0,0.0,0.08333333333333333,222,138.27620004303753,unordered_evidence_remainder
test,qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,exact,exact_new_address,0.0,0.0,0.04,hybrid,exact_new_address,0.2,0.5,1.0,340,265.7052001450211,unordered_evidence_remainder
validation,2wikimultihopqa,002e925e0bde11eba7f7acde48001122,bm25,approximate_new_address,0.0,0.0,0.2,exact,approximate_new_address,0.3333333333333333,0.5,1.0,70,47.34609997831285,annotated_dependency
validation,2wikimultihopqa,003f41f80bde11eba7f7acde48001122,semantic,bm25_state,0.0,0.0,0.16666666666666666,approx,bm25_state,0.5,0.5,1.0,46,53.72670013457537,annotated_dependency
validation,2wikimultihopqa,004430780bde11eba7f7acde48001122,bm25,exact_new_address,0.0,0.0,0.25,exact,exact_new_address,0.5,0.5,1.0,128,91.69919998385012,annotated_dependency
validation,2wikimultihopqa,0051fad20bde11eba7f7acde48001122,hybrid,exact_new_address,0.0,0.0,0.3333333333333333,approx,native_semantic,0.5,0.5,1.0,110,68.23850004002452,annotated_dependency
validation,2wikimultihopqa,0069c0220bde11eba7f7acde48001122,semantic,bm25_state,0.0,0.0,0.1,exact,native_semantic,1.0,0.5,1.0,144,109.1018000151962,annotated_dependency
validation,2wikimultihopqa,007b76e80bdc11eba7f7acde48001122,semantic,native_semantic,0.0,0.0,0.08333333333333333,bm25,native_semantic,0.5,0.5,0.5,62,49.88920013420284,annotated_dependency
validation,2wikimultihopqa,0098436208e011ebbda1ac1f6bf848b6,bm25,native_semantic,0.3333333333333333,1.0,1.0,bm25,native_semantic,0.3333333333333333,1.0,1.0,52,31.930900178849697,annotated_dependency
validation,2wikimultihopqa,00a68bf208cc11ebbd93ac1f6bf848b6,bm25,exact_new_address,0.3333333333333333,0.5,0.5,semantic,approximate_new_address,0.3333333333333333,0.5,1.0,48,38.33589982241392,annotated_dependency
validation,2wikimultihopqa,00dd3bd608ac11ebbd82ac1f6bf848b6,bm25,approximate_new_address,0.2,0.5,0.5,semantic,native_semantic,0.2,0.5,1.0,82,52.252700086683035,annotated_dependency
validation,2wikimultihopqa,00de046a0bb011ebab90acde48001122,semantic,exact_new_address,0.0,0.0,0.037037037037037035,exact,native_semantic,0.0,0.0,0.08333333333333333,92,69.99789993278682,annotated_dependency
validation,2wikimultihopqa,00efceca0bb011ebab90acde48001122,bm25,native_semantic,0.0,0.0,0.16666666666666666,approx,bm25_state,0.0,0.0,0.3333333333333333,52,33.74069998972118,annotated_dependency
validation,2wikimultihopqa,0105fd120bb011ebab90acde48001122,exact,bm25_state,0.0,0.0,0.3333333333333333,approx,bm25_state,0.0,0.0,0.3333333333333333,114,106.83209984563291,annotated_dependency
validation,2wikimultihopqa,010bdf4408df11ebbd9fac1f6bf848b6,semantic,approximate_new_address,0.25,0.5,1.0,hybrid,exact_new_address,0.5,1.0,1.0,70,48.61729987896979,annotated_dependency
validation,2wikimultihopqa,010d6cab08c711ebbd91ac1f6bf848b6,bm25,native_semantic,0.16666666666666666,0.5,0.5,hybrid,native_semantic,0.16666666666666666,0.5,1.0,48,37.34169993549585,annotated_dependency
validation,2wikimultihopqa,01a204d20bb011ebab90acde48001122,semantic,native_semantic,0.0,0.0,0.07142857142857142,exact,exact_new_address,0.5,0.5,1.0,108,83.04670010693371,annotated_dependency
