split,seed,example_id,method,facets,units,interleaved,shared_entity,ari,nmi,pairwise_f1,boundary_f1,cluster_count_error,predicted_clusters,iterations,converged,edges
test,101,test-s101-e019,graph_cc,2,7,1,0,1.0,0.9999999999999999,1.0,1.0,0,2,3,1,16
test,101,test-s101-e019,graph_label_propagation,2,7,1,0,1.0,0.9999999999999999,1.0,1.0,0,2,2,1,16
test,101,test-s101-e020,global,3,13,0,0,0.0,0.0,0.45544554455445546,0.0,2,1,1,1,0
test,101,test-s101-e020,fixed_window,3,13,0,0,0.6379746835443039,0.7634484493769896,0.7317073170731708,0.4,1,4,1,1,0
test,101,test-s101-e020,clause_proxy,3,13,0,0,0.6379746835443039,0.7634484493769896,0.7317073170731708,0.4,1,4,1,1,0
test,101,test-s101-e020,embedding_kmeans,3,13,0,0,1.0,1.0,1.0,1.0,0,3,2,1,0
test,101,test-s101-e020,graph_cc,3,13,0,0,1.0,1.0,1.0,1.0,0,3,3,1,32
test,101,test-s101-e020,graph_label_propagation,3,13,0,0,0.7998289136013687,0.8923983942574742,0.85,0.6666666666666666,1,4,2,1,32
test,101,test-s101-e021,global,4,17,0,1,0.0,0.0,0.3515151515151515,0.0,3,1,1,1,0
test,101,test-s101-e021,fixed_window,4,17,0,1,0.41540577716643745,0.6485243630053688,0.5283018867924529,0.0,1,5,1,1,0
test,101,test-s101-e021,clause_proxy,4,17,0,1,0.41540577716643745,0.6485243630053688,0.5283018867924529,0.0,1,5,1,1,0
test,101,test-s101-e021,embedding_kmeans,4,17,0,1,0.711211778029445,0.7984972513638706,0.7826086956521738,0.6666666666666666,1,3,2,1,0
test,101,test-s101-e021,graph_cc,4,17,0,1,1.0,1.0,1.0,1.0,0,4,3,1,44
test,101,test-s101-e021,graph_label_propagation,4,17,0,1,1.0,1.0,1.0,1.0,0,4,5,1,44
test,101,test-s101-e022,global,5,19,1,1,0.0,0.0,0.2814070351758794,0.0,4,1,1,1,0
test,101,test-s101-e022,fixed_window,5,19,1,1,-0.10490307867730904,0.24755449959423484,0.07272727272727272,0.3,0,5,1,1,0
test,101,test-s101-e022,clause_proxy,5,19,1,1,-0.10490307867730904,0.24755449959423484,0.07272727272727272,0.3,0,5,1,1,0
test,101,test-s101-e022,embedding_kmeans,5,19,1,1,0.5443352016907103,0.7334089736802826,0.6419753086419753,0.896551724137931,2,3,2,1,0
