protocol,baseline,feature_ablation,dataset,rows,evidence_recall,precision,mrr,complete_recovery,active_fraction,comparisons,graph_calls,facet_latency_ms,retrieval_latency_ms,callback_invoked,graph_refined,recall_delta_vs_one_shot,corrected_vs_one_shot,harmed_vs_one_shot
lodo_qasper,B6_complete_action_oracle,default,qasper,80,0.20007669413919413,0.375,0.5612847222222223,0.0,0.032479887950833994,427.875,0.0,0.5602437595371157,274.10691883414984,0.0,0.0,0.0,0.0,0.0
lodo_qasper,B7_stagewise_oracle,default,qasper,80,0.20007669413919413,0.375,0.5612847222222223,0.0,0.032479887950833994,427.875,0.0,0.5602437595371157,274.10691883414984,1.0,0.0,0.0,0.0,0.0
standard,B0_validation_fixed,default,2wikimultihopqa,120,0.20555555555555557,0.2708333333333333,0.5180238334650099,0.0,0.10355713981967528,125.625,0.0,0.37899585246729356,116.43927501669775,0.0,0.0,0.0,0.0,0.0
standard,B0_validation_fixed,default,hotpotqa,80,0.3327380952380953,0.375,0.5935290404040404,0.0,0.08832048041809042,150.375,0.0,0.5071750056231394,143.21853754518088,0.0,0.0,0.0,0.0,0.0
standard,B0_validation_fixed,default,musique,90,0.17729018666518667,0.5277777777777778,0.8518518518518519,0.0,0.05031837622497275,244.83333333333334,0.0,0.4554333346378472,261.02884447512525,0.0,0.0,0.0,0.0,0.0
standard,B0_validation_fixed,default,qasper,80,0.10912202380952381,0.203125,0.4795138888888889,0.0,0.032479887950833994,427.875,0.0,0.39468750765081495,309.3311250122497,0.0,0.0,0.0,0.0,0.0
standard,B0b_structural_graph_fixed,default,2wikimultihopqa,120,0.20555555555555557,0.2708333333333333,0.5180238334650099,0.0,0.10355713981967528,125.625,1.0,29.634308293073747,145.27766664590067,0.0,0.0,0.0,0.0,0.0
standard,B0b_structural_graph_fixed,default,hotpotqa,80,0.3327380952380953,0.375,0.5935290404040404,0.0,0.08832048041809042,150.375,1.0,33.53404998779297,171.4844125235686,0.0,0.0,0.0,0.0,0.0
standard,B0b_structural_graph_fixed,default,musique,90,0.17729018666518667,0.5277777777777778,0.8518518518518519,0.0,0.05031837622497275,244.83333333333334,1.3333333333333333,42.54742775164131,293.68838330265135,0.0,0.0,0.0,0.0,0.0
standard,B0b_structural_graph_fixed,default,qasper,80,0.10912202380952381,0.203125,0.4795138888888889,0.0,0.032479887950833994,427.875,1.0,29.874031242798083,345.170712491381,0.0,0.0,0.0,0.0,0.0
standard,B1_one_shot_no_graph,default,2wikimultihopqa,120,0.20171296296296296,0.24375,0.5492231958326026,0.0,0.10355713981967528,125.625,0.0,0.37899585246729356,92.66565664244506,0.0,0.0,0.0,0.0,0.0
standard,B1_one_shot_no_graph,default,hotpotqa,80,0.28544642857142855,0.33125,0.7027241161616161,0.0,0.08832048041809042,150.375,0.0,0.5268912558676675,115.47908750653733,0.0,0.0,0.0,0.0,0.0
standard,B1_one_shot_no_graph,default,musique,90,0.1424685962185962,0.4361111111111111,0.7782239057239058,0.0,0.05031837622497275,244.83333333333334,0.0,0.6149188925822576,215.22290664466306,0.0,0.0,0.0,0.0,0.0
standard,B1_one_shot_no_graph,default,qasper,80,0.08391117216117217,0.159375,0.3978862363723529,0.0,0.032479887950833994,427.875,0.0,0.39468750765081495,255.1281612890307,0.0,0.0,0.0,0.0,0.0
standard,B2_one_shot_graph,default,2wikimultihopqa,120,0.1988888888888889,0.24166666666666667,0.5450565291659359,0.0,0.10355713981967528,125.625,0.008333333333333333,0.6364383521334579,93.29369497524264,0.0,0.0,0.0,0.0,0.0
standard,B2_one_shot_graph,default,hotpotqa,80,0.28366071428571427,0.328125,0.7043907828282828,0.0,0.08832048041809042,150.375,0.0,0.5268912558676675,115.37241376063321,0.0,0.0,0.0,0.0,0.0
standard,B2_one_shot_graph,default,musique,90,0.14339452214452214,0.4388888888888889,0.7782239057239058,0.0,0.05031837622497275,244.83333333333334,0.0,0.6149188925822576,216.06506219702877,0.0,0.0,0.0,0.0,0.0
standard,B2_one_shot_graph,default,qasper,80,0.08703617216117217,0.165625,0.4096509422547058,0.0,0.032479887950833994,427.875,0.0,0.39468750765081495,255.3710575448349,0.0,0.0,0.0,0.0,0.0
standard,B3_callback_no_graph,compact_state,2wikimultihopqa,120,0.18733796296296296,0.23333333333333334,0.5372111902493495,0.0,0.10355713981967528,125.625,0.0,0.37899585246729356,88.27133663580753,1.0,0.0,-0.014374999999999999,0.1,0.11666666666666667
standard,B3_callback_no_graph,compact_state,hotpotqa,80,0.24327380952380953,0.271875,0.6837752525252525,0.0,0.08832048041809042,150.375,0.0,0.5268912558676675,117.70447626186069,1.0,0.0,-0.04217261904761905,0.0875,0.25
standard,B3_callback_no_graph,compact_state,musique,90,0.14576809764309764,0.4444444444444444,0.7966666666666667,0.0,0.05031837622497275,244.83333333333334,0.0,0.5087100021127198,194.00370003034672,1.0,0.0,0.003299501424501425,0.1111111111111111,0.12222222222222222
standard,B3_callback_no_graph,compact_state,qasper,80,0.0875242673992674,0.153125,0.398000183393469,0.0,0.032479887950833994,427.875,0.0,0.39468750765081495,251.0489025269635,1.0,0.0,0.0036130952380952373,0.0375,0.075
standard,B4_callback_graph,compact_state,2wikimultihopqa,120,0.1845138888888889,0.22916666666666666,0.5290266664398257,0.0,0.10355713981967528,125.625,0.008333333333333333,0.6364383521334579,87.8969924679647,1.0,0.0,-0.014374999999999999,0.11666666666666667,0.14166666666666666
