seed,variant,dataset,condition,examples,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,gold_first_token_rank,gold_first_token_rank_delta_vs_none,gold_first_token_margin,gold_first_token_margin_delta_vs_none,f1,em,answer_contained,teacher_forced_seconds,generation_seconds,active_memory_tokens,trainable_parameter_count,trainable_parameter_percent,trainable_memory_bytes_fp32
11,residual_32,hotpotqa,oracle,4,-4.6262876987457275,3.376529186964035,17.0,-869.75,-6.359375,5.45703125,0.0,0.0,0.0,0.17091114999493584,0.7279898499982664,449.0,393344.0,0.06599178807036833,1573376.0
11,residual_32,hotpotqa,routed,4,-6.555687338113785,1.4471295475959778,72.0,-814.75,-8.42578125,3.390625,0.07142857142857144,0.0,0.0,0.17161365000356454,0.7200359749986092,384.0,393344.0,0.06599178807036833,1573376.0
11,residual_32,qasper,direct_text,4,-8.971986055374146,-1.791483998298645,21.5,10.5,-8.513671875,-1.740234375,0.0,0.0,0.0,0.5010760000004666,1.0066760000045178,0.0,393344.0,0.06599178807036833,1573376.0
11,residual_32,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.125,0.0,0.5,0.14603967498987913,0.7149946250137873,0.0,393344.0,0.06599178807036833,1573376.0
11,residual_32,qasper,oracle,4,-5.704078376293182,1.4764236807823181,18.25,7.25,-4.88671875,1.88671875,0.0,0.0,0.0,0.16412922498420812,0.858673175011063,960.0,393344.0,0.06599178807036833,1573376.0
11,residual_32,qasper,routed,4,-5.9753098487854,1.2051922082901,20.5,9.5,-5.056640625,1.716796875,0.0,0.0,0.0,0.16104579999228008,0.8412790250149556,384.0,393344.0,0.06599178807036833,1573376.0
23,fixed,hotpotqa,direct_text,4,-3.368145540356636,4.6346713453531265,318.5,-568.25,-7.578125,4.23828125,0.125,0.0,0.25,0.2628252500144299,0.7748801499983529,0.0,0.0,0.0,0.0
23,fixed,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.15706317500735167,0.7528338999982225,0.0,0.0,0.0,0.0
23,fixed,hotpotqa,oracle,4,-6.999312579631805,1.0035043060779572,236.75,-650.0,-10.423828125,1.392578125,0.05555555555555556,0.0,0.0,0.164328974991804,0.787952425002004,449.0,0.0,0.0,0.0
23,fixed,hotpotqa,routed,4,-7.892500400543213,0.11031648516654968,440.5,-446.25,-11.712890625,0.103515625,0.05555555555555556,0.0,0.0,0.1676264749985421,0.79317250000895,384.0,0.0,0.0,0.0
23,fixed,qasper,direct_text,4,-8.971986055374146,-1.791483998298645,21.5,10.5,-8.513671875,-1.740234375,0.0,0.0,0.0,0.5015863750013523,1.1608144749770872,0.0,0.0,0.0,0.0
23,fixed,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.125,0.0,0.5,0.14839342499908525,0.8161225499788998,0.0,0.0,0.0,0.0
23,fixed,qasper,oracle,4,-7.341205358505249,-0.16070330142974854,10.5,-0.5,-6.80078125,-0.02734375,0.125,0.0,0.5,0.15781729998707306,0.9292515749984886,960.0,0.0,0.0,0.0
23,fixed,qasper,routed,4,-7.6368184089660645,-0.45631635189056396,14.75,3.75,-7.125,-0.3515625,0.125,0.0,0.5,0.1582221999997273,0.9126130250224378,384.0,0.0,0.0,0.0
23,lora_o_r2,hotpotqa,direct_text,4,-3.368145540356636,4.6346713453531265,318.5,-568.25,-7.578125,4.23828125,0.125,0.0,0.25,0.26256897501298226,0.7951968499983195,0.0,24576.0,0.004123144584936778,98304.0
23,lora_o_r2,hotpotqa,none,4,-8.002816885709763,0.0,886.75,0.0,-11.81640625,0.0,0.05555555555555556,0.0,0.0,0.15672679997805972,0.7818747999990592,0.0,24576.0,0.004123144584936778,98304.0
23,lora_o_r2,hotpotqa,oracle,4,-6.286003232002258,1.7168136537075043,190.5,-696.25,-8.341796875,3.474609375,0.05555555555555556,0.0,0.0,0.17506322500412352,0.8922739000263391,449.0,24576.0,0.004123144584936778,98304.0
23,lora_o_r2,hotpotqa,routed,4,-7.214253544807434,0.7885633409023285,429.75,-457.0,-9.705078125,2.111328125,0.05555555555555556,0.0,0.0,0.17072917500627227,0.8214500249887351,384.0,24576.0,0.004123144584936778,98304.0
23,lora_o_r2,qasper,direct_text,4,-8.971986055374146,-1.791483998298645,21.5,10.5,-8.513671875,-1.740234375,0.0,0.0,0.0,0.5096038499905262,1.0452030250162352,0.0,24576.0,0.004123144584936778,98304.0
23,lora_o_r2,qasper,none,4,-7.1805020570755005,0.0,11.0,0.0,-6.7734375,0.0,0.125,0.0,0.5,0.1485882249980932,0.7337333500181558,0.0,24576.0,0.004123144584936778,98304.0
