variant,dataset,condition,seeds,examples_per_seed,gold_mean_token_logprob_mean,gold_mean_token_logprob_std,gold_mean_logprob_delta_vs_none_mean,gold_mean_logprob_delta_vs_none_std,gold_first_token_rank_mean,gold_first_token_rank_std,gold_first_token_rank_delta_vs_none_mean,gold_first_token_rank_delta_vs_none_std,gold_first_token_margin_mean,gold_first_token_margin_std,gold_first_token_margin_delta_vs_none_mean,gold_first_token_margin_delta_vs_none_std,f1_mean,f1_std,em_mean,em_std,answer_contained_mean,answer_contained_std,teacher_forced_seconds_mean,teacher_forced_seconds_std,generation_seconds_mean,generation_seconds_std,active_memory_tokens_mean,active_memory_tokens_std,trainable_parameter_count_mean,trainable_parameter_count_std,trainable_parameter_percent_mean,trainable_parameter_percent_std,trainable_memory_bytes_fp32_mean,trainable_memory_bytes_fp32_std
lora_o_r8,qasper,direct_text,5,4,-8.971986055374146,0.0,-1.791483998298645,0.0,21.5,0.0,10.5,0.0,-8.513671875,0.0,-1.740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5124278049945132,0.005117082023896312,1.1245227450068342,0.050800779114262846,0.0,0.0,98304.0,0.0,0.016492578339747113,0.0,393216.0,0.0
lora_o_r8,qasper,none,5,4,-7.1805020570755005,0.0,0.0,0.0,11.0,0.0,0.0,0.0,-6.7734375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.1490566450112965,0.0010876497990481475,0.8053427649923833,0.03664791603235701,0.0,0.0,98304.0,0.0,0.016492578339747113,0.0,393216.0,0.0
lora_o_r8,qasper,oracle,5,4,-5.525806045532226,0.055278543530276246,1.6546960115432738,0.055278543530276246,9.6,0.51478150704935,-1.4,0.51478150704935,-4.7828125,0.05645038093593789,1.990625,0.05645038093593789,0.0625,0.0,0.0,0.0,0.25,0.0,0.16129975000512786,0.002424821891363116,0.9204047750041354,0.04389684688353258,960.0,0.0,98304.0,0.0,0.016492578339747113,0.0,393216.0,0.0
lora_o_r8,qasper,routed,5,4,-5.69319896697998,0.062132571320529136,1.48730309009552,0.062132571320529136,14.8,0.6595452979136459,3.8,0.6595452979136459,-4.794921875,0.06265849045246183,1.978515625,0.06265849045246183,0.0625,0.0,0.0,0.0,0.25,0.0,0.1583626350038685,0.0030628759934678298,0.9343762899952708,0.05694388899139961,384.0,0.0,98304.0,0.0,0.016492578339747113,0.0,393216.0,0.0
residual_32,hotpotqa,direct_text,5,4,-3.368145540356636,0.0,4.6346713453531265,0.0,318.5,0.0,-568.25,0.0,-7.578125,0.0,4.23828125,0.0,0.125,0.0,0.0,0.0,0.25,0.0,0.26644759499176873,0.004442442116547003,0.8048014849977335,0.03988033393224439,0.0,0.0,393344.0,0.0,0.06599178807036833,0.0,1573376.0,0.0
residual_32,hotpotqa,none,5,4,-8.002816885709763,0.0,0.0,0.0,886.75,0.0,0.0,0.0,-11.81640625,0.0,0.0,0.0,0.05555555555555556,0.0,0.0,0.0,0.0,0.0,0.15864963499770965,0.0027705410263061184,0.7325423550006235,0.03602839377417408,0.0,0.0,393344.0,0.0,0.06599178807036833,0.0,1573376.0,0.0
residual_32,hotpotqa,oracle,5,4,-4.914809221029282,0.23380054187199018,3.088007664680481,0.23380054187199018,31.9,12.826340085932541,-854.85,12.826340085932541,-6.702734375,0.6430669920389321,5.113671875,0.6430669920389321,0.045,0.05567764362830022,0.0,0.0,0.05,0.1,0.17436710000038147,0.0023225115372379596,0.7897389350022422,0.039257979567417556,449.0,0.0,393344.0,0.0,0.06599178807036833,0.0,1573376.0,0.0
residual_32,hotpotqa,routed,5,4,-6.793021422624588,0.24830757052585162,1.2097954630851746,0.24830757052585162,116.75,42.72938099247402,-770.0,42.72938099247402,-8.75390625,0.6339002514659493,3.0625,0.6339002514659493,0.06285714285714286,0.03331972511340172,0.0,0.0,0.0,0.0,0.17345322500041221,0.001660907190845316,0.7937154249928426,0.06477683935949183,384.0,0.0,393344.0,0.0,0.06599178807036833,0.0,1573376.0,0.0
residual_32,qasper,direct_text,5,4,-8.971986055374146,0.0,-1.791483998298645,0.0,21.5,0.0,10.5,0.0,-8.513671875,0.0,-1.740234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5091153699962888,0.004714523280126206,1.099230985000031,0.06201412541753339,0.0,0.0,393344.0,0.0,0.06599178807036833,0.0,1573376.0,0.0
residual_32,qasper,none,5,4,-7.1805020570755005,0.0,0.0,0.0,11.0,0.0,0.0,0.0,-6.7734375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.5,0.0,0.15079918999399525,0.005017213266556939,0.7942434400058118,0.04650146754878134,0.0,0.0,393344.0,0.0,0.06599178807036833,0.0,1573376.0,0.0
residual_32,qasper,oracle,5,4,-6.158236122131347,0.29990810547924024,1.0222659349441527,0.29990810547924024,16.65,2.3377339455121917,5.65,2.3377339455121917,-5.40703125,0.3553390903638734,1.36640625,0.3553390903638734,0.029166666666666667,0.03632415786283895,0.0,0.0,0.1,0.1224744871391589,0.1664570349996211,0.001618142246179896,0.9096702100010589,0.06563404397077856,960.0,0.0,393344.0,0.0,0.06599178807036833,0.0,1573376.0,0.0
