all_evidence,alpha,any_evidence,candidate_overlap,candidate_proposals,dataset,depth,direct_mrr,duplicate_proposals,evidence_coverage,examples_x_seeds,fraction,frontier,gist_comparisons,hop1_recall,hop2_recall,materialized_kv_fraction,materialized_kv_tokens,method,path_score,relational_gap,routing_seconds,selected_fraction,selected_unique_chunks,unique_parents
0.2,0.25,0.875,0.5552337104846913,74.75,qasper,2,0.5480377363649422,41.7875,0.46551877289377286,80,0.1,direct,1395.9375,0.875,,0.10384397894583516,469.65,iterative,logsum,0.8730860769958878,0.008130467496812344,0.10365710285596645,14.6875,2.95
0.2,0.25,0.875,0.5552337104846913,74.75,qasper,2,0.5480377363649422,41.7875,0.4630187728937729,80,0.1,direct,1395.9375,0.875,,0.10383993669079583,469.6125,iterative,mean,0.8730860769958878,0.008328124996478437,0.10365710285596645,14.6875,3.1375
0.2125,0.25,0.875,0.5552337104846913,74.75,qasper,2,0.5480377363649422,41.7875,0.47288209706959705,80,0.1,direct,1395.9375,0.875,,0.10385206345591387,469.725,iterative,min,0.8730860769958878,0.00791165000118781,0.10365710285596645,14.6875,2.225
0.2,0.25,0.875,0.5552337104846913,74.75,qasper,2,0.5480377363649422,41.7875,0.46551877289377286,80,0.1,direct,1395.9375,0.875,,0.10384397894583516,469.65,iterative,product,0.8730860769958878,0.008058038749732077,0.10365710285596645,14.6875,2.95
0.175,0.25,0.9,0.0,15.375,qasper,2,0.5480377363649422,0.0,0.4526108058608059,80,0.1,mean,285.25,0.9,,0.10383993669079583,469.6125,iterative,product,0.8730860769958878,0.003960467503929976,0.10365710285596645,14.6875,2.0
0.2125,0.25,0.9,0.699686370719278,74.75,qasper,2,0.5480377363649422,50.6375,0.47347413003663,80,0.1,residual,1395.9375,0.9,,0.10383993669079583,469.6125,iterative,product,0.8730860769958878,0.009270472501520998,0.10365710285596645,14.6875,2.75
0.175,0.25,0.9,0.0,15.375,qasper,2,0.5480377363649422,0.0,0.4526108058608059,80,0.1,weighted_mean,285.25,0.9,,0.10383993669079583,469.6125,iterative,product,0.8730860769958878,0.0041939999980968425,0.10365710285596645,14.6875,2.0
0.2125,0.5,0.9,0.6598421584916105,74.75,qasper,2,0.5480377363649422,48.1875,0.46444734432234436,80,0.1,direct,1395.9375,0.9,,0.10383589443575647,469.575,iterative,product,0.8730860769958878,0.00827035374531988,0.10365710285596645,14.6875,2.675
0.2,0.75,0.9125,0.759946303131943,74.75,qasper,2,0.5480377363649422,54.2625,0.47078663003663,80,0.1,direct,1395.9375,0.9125,,0.10384397894583516,469.65,iterative,product,0.8730860769958878,0.00781237875125953,0.10365710285596645,14.6875,2.3875
0.2125,1.0,0.9625,0.851882665945166,74.75,qasper,2,0.5480377363649422,59.375,0.476507326007326,80,0.1,direct,1395.9375,0.9625,,0.10384397894583516,469.65,iterative,product,0.8730860769958878,0.007609138747648103,0.10365710285596645,14.6875,2.0
0.3125,0.25,0.975,0.7427078908590938,260.375,qasper,2,0.5480377363649422,194.0,0.5669544413919414,80,0.2,direct,2541.9375,0.975,,0.20428569920044987,927.5375,iterative,product,0.8730860769958878,0.017849482499877924,0.20388376024647936,29.0,3.6875
0.4375,0.25,0.9875,0.8381611973062577,575.25,qasper,2,0.5480377363649422,481.8625,0.6508099816849817,80,0.3,direct,3743.8125,0.9875,,0.3047477513058877,1383.5375,iterative,product,0.8730860769958878,0.03236695500017959,0.30411679955939747,43.25,4.175
0.125,0.25,0.7125,0.24885416666666668,19.6875,qasper,3,0.5480377363649422,5.2625,0.355514880952381,80,0.05,direct,1021.0,0.7125,,0.054509297246992564,246.0,iterative,product,0.8730860769958878,0.005240783756744349,0.05438395662869285,7.6875,3.525
0.175,0.25,0.7875,0.4303403132086168,65.5625,qasper,3,0.5480377363649422,29.8625,0.425235119047619,80,0.1,direct,1822.125,0.7875,,0.10389365678003151,469.9625,iterative,product,0.8730860769958878,0.009697908753150842,0.10365710285596645,14.6875,4.7
0.275,0.25,0.9125,0.6313661260359783,235.3125,qasper,3,0.5480377363649422,156.2375,0.5254684065934067,80,0.2,direct,3392.625,0.9125,,0.20428569920044987,927.5375,iterative,product,0.8730860769958878,0.019099622502108105,0.20388376024647936,29.0,6.6625
0.375,0.25,0.9875,0.7427872266694628,506.0625,qasper,3,0.5480377363649422,388.9125,0.6250503663003663,80,0.3,direct,4941.25,0.9875,,0.30470741013484115,1383.45,iterative,product,0.8730860769958878,0.03430337250174489,0.30411679955939747,43.25,8.4375
0.125,0.25,0.675,0.19105902777777778,17.625,qasper,4,0.5480377363649422,3.9,0.34997321428571426,80,0.05,direct,1090.6875,0.675,,0.054509297246992564,246.0,iterative,product,0.8730860769958878,0.0056780324994178955,0.05438395662869285,7.6875,4.1625
0.15,0.25,0.825,0.3437554976851852,61.6875,qasper,4,0.5480377363649422,23.75,0.42545535714285715,80,0.1,direct,2144.1875,0.825,,0.10389365678003151,469.9625,iterative,product,0.8730860769958878,0.010486984997987748,0.10365710285596645,14.6875,6.0
0.275,0.25,0.9125,0.5381160026979493,208.875,qasper,4,0.5480377363649422,121.8375,0.5302037545787546,80,0.2,direct,3902.5625,0.9125,,0.20428974145548923,927.575,iterative,product,0.8730860769958878,0.020526263750798534,0.20388376024647936,29.0,8.8375
0.3625,0.25,0.975,0.6694124526774984,450.125,qasper,4,0.5480377363649422,317.1,0.6057520604395604,80,0.3,direct,5695.0625,0.975,,0.30470741013484115,1383.45,iterative,product,0.8730860769958878,0.03310038875206374,0.30411679955939747,43.25,11.6875
0.1625,1.0,0.8625,0.0,7.6875,qasper,1,0.5480377363649422,0.0,0.37590819597069597,80,0.05,direct,142.625,0.8625,,0.054463661667835575,245.725,one_shot,direct,0.8730860769958878,0.002080017502885312,0.05438395662869285,7.6875,1.0
0.2125,1.0,0.9625,0.0,14.6875,qasper,1,0.5480377363649422,0.0,0.476507326007326,80,0.1,direct,142.625,0.9625,,0.10384397894583516,469.65,one_shot,direct,0.8730860769958878,0.002793884999118745,0.10365710285596645,14.6875,1.0
0.325,1.0,0.9875,0.0,29.0,qasper,1,0.5480377363649422,0.0,0.5769587912087912,80,0.2,direct,142.625,0.9875,,0.20428569920044987,927.5375,one_shot,direct,0.8730860769958878,0.004214555004728027,0.20388376024647936,29.0,1.0
0.3875,1.0,1.0,0.0,43.25,qasper,1,0.5480377363649422,0.0,0.6560114468864469,80,0.3,direct,142.625,1.0,,0.30469207792306696,1383.275,one_shot,direct,0.8730860769958878,0.005821556248702109,0.30411679955939747,43.25,1.0
1.0,0.0,1.0,0.0,2.0,synthetic_2hop,2,1.0,0.0,1.0,320,0.2,direct,20.0,1.0,,0.2,2.0,iterative,product,-0.039999983413144945,0.002102296247903723,0.2,2.0,2.0
0.0,0.0,1.0,0.0,2.0,synthetic_2hop,1,1.0,0.0,0.5,320,0.2,direct,10.0,1.0,,0.2,2.0,one_shot,product,-0.039999983413144945,0.0013377009387113502,0.2,2.0,1.0
1.0,0.0,1.0,0.0,3.0,synthetic_3hop,3,1.0,0.0,1.0,320,0.2727272727272727,direct,33.0,1.0,,0.2727272727272727,3.0,iterative,product,0.07733336177965006,0.002894982499856269,0.2727272727272727,3.0,3.0
0.0,0.0,1.0,0.0,3.0,synthetic_3hop,1,1.0,0.0,0.3333333333333333,320,0.2727272727272727,direct,11.0,1.0,,0.2727272727272727,3.0,one_shot,product,0.07733336177965006,0.001383883748894732,0.2727272727272727,3.0,1.0
