all_evidence,alpha,any_evidence,budget,candidate_chunks,candidate_overlap,candidate_proposals,chain_completion,chain_feasible,dataset,depth,direct_mrr,duplicate_proposals,evidence_coverage,exact_all_feasible,example_id,fraction,frontier,gist_comparisons,hop1_recall,hop2_recall,materialized_kv_fraction,materialized_kv_tokens,method,oracle_chain_completion,oracle_exact_all,path_score,relational_gap,routing_seconds,seed,selected_fraction,selected_unique_chunks,stop_reason,unique_parents
0.0,0.25,0.0,10,48,0.52,30,0.0,1.0,hotpotqa,2,0.14285714285714285,13,0.0,1.0,5ab2b863554299295394685a,0.2,direct,288,0.0,0.0,0.20470896010464357,313,iterative,1.0,1.0,product,1.231507768233617,0.005958499968983233,11,0.20833333333333334,10,unique_budget,2
0.0,0.25,0.0,10,48,0.375,36,0.0,1.0,hotpotqa,3,0.14285714285714285,12,0.0,1.0,5ab2b863554299295394685a,0.2,direct,432,0.0,0.0,0.20470896010464357,313,iterative,1.0,1.0,product,1.231507768233617,0.00592500000493601,11,0.20833333333333334,10,unique_budget,4
0.0,0.25,0.0,10,48,0.1851851851851852,30,0.0,1.0,hotpotqa,4,0.14285714285714285,5,0.0,1.0,5ab2b863554299295394685a,0.2,direct,480,0.0,0.0,0.2092871157619359,320,iterative,1.0,1.0,product,1.231507768233617,0.008630600001197308,11,0.20833333333333334,10,unique_budget,5
0.0,1.0,1.0,15,48,0.0,15,0.0,1.0,hotpotqa,1,0.14285714285714285,0,0.3333333333333333,1.0,5ab2b863554299295394685a,0.3,direct,48,1.0,0.0,0.30935251798561153,473,one_shot,1.0,1.0,direct,1.231507768233617,0.003242099948693067,11,0.3125,15,unique_budget,1
0.0,0.25,1.0,15,48,0.6875,72,1.0,1.0,hotpotqa,2,0.14285714285714285,44,0.6666666666666666,1.0,5ab2b863554299295394685a,0.3,direct,432,1.0,1.0,0.30935251798561153,473,iterative,1.0,1.0,product,1.231507768233617,0.005813000025227666,11,0.3125,15,unique_budget,2
0.0,0.25,1.0,15,48,0.56,55,0.0,1.0,hotpotqa,3,0.14285714285714285,28,0.3333333333333333,1.0,5ab2b863554299295394685a,0.3,direct,528,0.0,1.0,0.30935251798561153,473,iterative,1.0,1.0,product,1.231507768233617,0.006297799991443753,11,0.3125,15,unique_budget,5
0.0,0.25,1.0,15,48,0.375,52,0.0,1.0,hotpotqa,4,0.14285714285714285,18,0.3333333333333333,1.0,5ab2b863554299295394685a,0.3,direct,624,0.0,1.0,0.30935251798561153,473,iterative,1.0,1.0,product,1.231507768233617,0.006985599990002811,11,0.3125,15,unique_budget,7
0.0,0.0,0.0,5,48,0.0,12,0.0,1.0,hotpotqa,2,0.14285714285714285,0,0.0,1.0,5ab2b863554299295394685a,0.1,direct,192,0.0,0.0,0.10464355788096795,160,iterative,1.0,1.0,product,1.231507768233617,0.0031074000289663672,11,0.10416666666666667,5,unique_budget,2
0.0,0.5,0.0,5,48,0.3333333333333333,12,0.0,1.0,hotpotqa,2,0.14285714285714285,3,0.0,1.0,5ab2b863554299295394685a,0.1,direct,192,0.0,0.0,0.10464355788096795,160,iterative,1.0,1.0,product,1.231507768233617,0.0025394000113010406,11,0.10416666666666667,5,unique_budget,2
0.0,0.75,0.0,5,48,0.4444444444444444,12,0.0,1.0,hotpotqa,2,0.14285714285714285,4,0.0,1.0,5ab2b863554299295394685a,0.1,direct,192,0.0,0.0,0.10464355788096795,160,iterative,1.0,1.0,product,1.231507768233617,0.004223899974022061,11,0.10416666666666667,5,unique_budget,2
0.0,1.0,0.0,5,48,0.6666666666666666,12,0.0,1.0,hotpotqa,2,0.14285714285714285,6,0.0,1.0,5ab2b863554299295394685a,0.1,direct,192,0.0,0.0,0.1000654022236756,153,iterative,1.0,1.0,product,1.231507768233617,0.003948800032958388,11,0.10416666666666667,5,unique_budget,2
0.0,0.25,0.0,5,48,0.3333333333333333,12,0.0,1.0,hotpotqa,2,0.14285714285714285,3,0.0,1.0,5ab2b863554299295394685a,0.1,residual,192,0.0,0.0,0.10464355788096795,160,iterative,1.0,1.0,product,1.231507768233617,0.00424029998248443,11,0.10416666666666667,5,unique_budget,2
