split,dataset,example_id,facet_mode,requested_facet_count,actual_facet_count,construction_latency_ms,graph_construction_ms,graph_clustering_ms,graph_calls,graph_nodes,graph_edges,graph_density,graph_memory_bytes,pairwise_similarity_evaluations,facet_count,tree_node_count,mean_facet_overlap
validation,qasper,1907.09369:fd2c6c26fd0ab3c10aae4f2550c5391576a77491,global,1,1,0.42319996282458305,0.0,0.0,0,0,0,0.0,0,0,1,1,0.0
validation,qasper,1907.09369:fd2c6c26fd0ab3c10aae4f2550c5391576a77491,syntactic,2,2,1.34680001065135,0.0,0.0,0,0,0,0.0,0,0,2,2,0.0
validation,qasper,1907.09369:fd2c6c26fd0ab3c10aae4f2550c5391576a77491,syntactic,4,2,1.34680001065135,0.0,0.0,0,0,0,0.0,0,0,2,2,0.0
validation,qasper,1907.09369:fd2c6c26fd0ab3c10aae4f2550c5391576a77491,multiscale,2,2,9.085899917408824,0.0,0.0,0,0,0,0.0,0,0,16,16,0.2327891156462584
validation,qasper,1907.09369:fd2c6c26fd0ab3c10aae4f2550c5391576a77491,multiscale,4,4,9.085899917408824,0.0,0.0,0,0,0,0.0,0,0,16,16,0.2327891156462584
validation,qasper,1907.09369:fd2c6c26fd0ab3c10aae4f2550c5391576a77491,graph,2,2,17.87730003707111,5.662600044161081,5.182800116017461,1,9,26,0.3611111111111111,944,72,2,2,0.0
validation,qasper,1907.09369:fd2c6c26fd0ab3c10aae4f2550c5391576a77491,graph,4,2,17.87730003707111,5.662600044161081,5.182800116017461,1,9,26,0.3611111111111111,944,72,2,2,0.0
validation,qasper,1907.09369:fd2c6c26fd0ab3c10aae4f2550c5391576a77491,syntactic_graph,2,2,25.081600062549114,5.7021998800337315,10.475300019606948,1,9,26,0.3611111111111111,944,72,3,3,1.0
validation,qasper,1907.09369:fd2c6c26fd0ab3c10aae4f2550c5391576a77491,syntactic_graph,4,3,25.081600062549114,5.7021998800337315,10.475300019606948,1,9,26,0.3611111111111111,944,72,3,3,1.0
validation,qasper,1804.07789:cb6a8c642575d3577d1840ca2f4cd2cc2c3397c5,global,1,1,0.31260005198419094,0.0,0.0,0,0,0,0.0,0,0,1,1,0.0
validation,qasper,1804.07789:cb6a8c642575d3577d1840ca2f4cd2cc2c3397c5,syntactic,2,2,0.7614998612552881,0.0,0.0,0,0,0,0.0,0,0,2,2,0.0
validation,qasper,1804.07789:cb6a8c642575d3577d1840ca2f4cd2cc2c3397c5,syntactic,4,2,0.7614998612552881,0.0,0.0,0,0,0,0.0,0,0,2,2,0.0
validation,qasper,1804.07789:cb6a8c642575d3577d1840ca2f4cd2cc2c3397c5,multiscale,2,2,5.925399949774146,0.0,0.0,0,0,0,0.0,0,0,9,9,0.28809523809523807
validation,qasper,1804.07789:cb6a8c642575d3577d1840ca2f4cd2cc2c3397c5,multiscale,4,4,5.925399949774146,0.0,0.0,0,0,0,0.0,0,0,9,9,0.28809523809523807
validation,qasper,1804.07789:cb6a8c642575d3577d1840ca2f4cd2cc2c3397c5,graph,2,2,23.89509999193251,6.310699973255396,9.065000107511878,1,6,14,0.4666666666666667,536,30,2,2,0.0
validation,qasper,1804.07789:cb6a8c642575d3577d1840ca2f4cd2cc2c3397c5,graph,4,2,23.89509999193251,6.310699973255396,9.065000107511878,1,6,14,0.4666666666666667,536,30,2,2,0.0
validation,qasper,1804.07789:cb6a8c642575d3577d1840ca2f4cd2cc2c3397c5,syntactic_graph,2,2,22.67739991657436,6.660700077190995,7.236100034788251,1,6,14,0.4666666666666667,536,30,3,3,1.0
validation,qasper,1804.07789:cb6a8c642575d3577d1840ca2f4cd2cc2c3397c5,syntactic_graph,4,3,22.67739991657436,6.660700077190995,7.236100034788251,1,6,14,0.4666666666666667,536,30,3,3,1.0
test,hotpotqa,5adc3aff5542996e685252eb,global,1,1,0.43169991113245487,0.0,0.0,0,0,0,0.0,0,0,1,1,0.0
test,hotpotqa,5adc3aff5542996e685252eb,syntactic,2,2,2.354700118303299,0.0,0.0,0,0,0,0.0,0,0,3,3,0.2222222222222222
test,hotpotqa,5adc3aff5542996e685252eb,syntactic,4,3,2.354700118303299,0.0,0.0,0,0,0,0.0,0,0,3,3,0.2222222222222222
test,hotpotqa,5adc3aff5542996e685252eb,multiscale,2,2,18.914599902927876,0.0,0.0,0,0,0,0.0,0,0,32,32,0.10919821692117715
test,hotpotqa,5adc3aff5542996e685252eb,multiscale,4,4,18.914599902927876,0.0,0.0,0,0,0,0.0,0,0,32,32,0.10919821692117715
test,hotpotqa,5adc3aff5542996e685252eb,graph,2,2,32.90690016001463,7.637999951839447,12.588800163939595,1,18,50,0.16339869281045752,1832,306,4,4,0.0
test,hotpotqa,5adc3aff5542996e685252eb,graph,4,4,32.90690016001463,7.637999951839447,12.588800163939595,1,18,50,0.16339869281045752,1832,306,4,4,0.0
test,hotpotqa,5adc3aff5542996e685252eb,syntactic_graph,2,2,33.36259978823364,6.649199873209,12.451200047507882,1,18,50,0.16339869281045752,1832,306,5,5,0.16666666666666666
