dataset,evidence_recall,m,method,rank,seed,teacher_top4_overlap
qasper,0.2239308608058608,8,lowrank_kmeans,8,71,0.171875
qasper,0.21467490842490844,4,lowrank_kmeans,16,11,0.1875
qasper,0.05017857142857142,4,lowrank_kmeans,16,23,0.0
qasper,0.06946657509157508,4,lowrank_kmeans,16,37,0.25
qasper,0.07986607142857143,4,lowrank_kmeans,16,53,0.015625
qasper,0.0920856227106227,4,lowrank_kmeans,16,71,0.046875
qasper,0.2400766941391941,8,lowrank_kmeans,16,11,0.203125
qasper,0.09031478937728937,8,lowrank_kmeans,16,23,0.015625
qasper,0.2170398351648352,8,lowrank_kmeans,16,37,0.265625
qasper,0.12711309523809522,8,lowrank_kmeans,16,53,0.140625
qasper,0.19766369047619048,8,lowrank_kmeans,16,71,0.09375
qasper,0.09239697802197804,4,lowrank_kmeans,32,11,0.03125
qasper,0.054511217948717945,4,lowrank_kmeans,32,23,0.0
qasper,0.1354624542124542,4,lowrank_kmeans,32,37,0.09375
qasper,0.09430288461538462,4,lowrank_kmeans,32,53,0.015625
qasper,0.08687728937728938,4,lowrank_kmeans,32,71,0.03125
qasper,0.23519345238095238,8,lowrank_kmeans,32,11,0.1875
qasper,0.038990384615384614,8,lowrank_kmeans,32,23,0.0
qasper,0.10297733516483516,8,lowrank_kmeans,32,37,0.09375
qasper,0.17531478937728937,8,lowrank_kmeans,32,53,0.140625
qasper,0.07754464285714287,8,lowrank_kmeans,32,71,0.15625
qasper,0.09339285714285714,4,lowrank_medoid,8,11,0.09375
qasper,0.06775412087912087,4,lowrank_medoid,8,23,0.109375
qasper,0.04903388278388278,4,lowrank_medoid,8,37,0.15625
qasper,0.03931547619047619,4,lowrank_medoid,8,53,0.03125
qasper,0.1294654304029304,4,lowrank_medoid,8,71,0.1875
qasper,0.19138392857142858,8,lowrank_medoid,8,11,0.109375
qasper,0.15714285714285717,8,lowrank_medoid,8,23,0.1875
qasper,0.22830357142857144,8,lowrank_medoid,8,37,0.234375
qasper,0.0753731684981685,8,lowrank_medoid,8,53,0.109375
qasper,0.2418337912087912,8,lowrank_medoid,8,71,0.203125
qasper,0.13323031135531135,4,lowrank_medoid,16,11,0.1875
qasper,0.05017857142857142,4,lowrank_medoid,16,23,0.0
qasper,0.06835050366300366,4,lowrank_medoid,16,37,0.234375
qasper,0.07754464285714285,4,lowrank_medoid,16,53,0.03125
qasper,0.07654990842490841,4,lowrank_medoid,16,71,0.046875
qasper,0.2102541208791209,8,lowrank_medoid,16,11,0.171875
qasper,0.07769459706959707,8,lowrank_medoid,16,23,0.0
qasper,0.28995650183150184,8,lowrank_medoid,16,37,0.28125
qasper,0.11586309523809522,8,lowrank_medoid,16,53,0.140625
qasper,0.18514880952380952,8,lowrank_medoid,16,71,0.046875
qasper,0.05550595238095238,4,lowrank_medoid,32,11,0.03125
qasper,0.053141025641025644,4,lowrank_medoid,32,23,0.0
qasper,0.13962912087912085,4,lowrank_medoid,32,37,0.125
qasper,0.09711538461538462,4,lowrank_medoid,32,53,0.03125
qasper,0.08638736263736264,4,lowrank_medoid,32,71,0.03125
qasper,0.1113095238095238,8,lowrank_medoid,32,11,0.140625
qasper,0.023766025641025642,8,lowrank_medoid,32,23,0.015625
qasper,0.07321543040293041,8,lowrank_medoid,32,37,0.140625
qasper,0.1630070970695971,8,lowrank_medoid,32,53,0.09375
qasper,0.10839400183150182,8,lowrank_medoid,32,71,0.109375
