baseline,ci95_high,ci95_low,dataset,losses,m,mean_delta,method,pairs,rank,ties,wins
Paper 2.6 exact,-0.09937499999999999,-0.2773214285714286,hotpotqa,11,4,-0.18678571428571433,lowrank_medoid,16,16,4,1
Paper 2.6 gist,0.057321428571428586,-0.15973214285714288,hotpotqa,7,4,-0.050625,lowrank_medoid,16,16,3,6
Paper 2.6 hybrid,-0.0732738095238095,-0.2885416666666667,hotpotqa,12,4,-0.17934523809523809,lowrank_medoid,16,16,3,1
QC exploratory,0.032857142857142856,-0.12223214285714284,hotpotqa,9,4,-0.042827380952380964,lowrank_medoid,16,16,1,6
QC primary,-0.011250000000000001,-0.12172619047619047,hotpotqa,10,4,-0.06654761904761905,lowrank_medoid,16,16,4,2
QK key-only m8,0.04011904761904762,-0.08869047619047618,hotpotqa,7,4,-0.023809523809523805,lowrank_medoid,16,16,3,6
QK mean,0.05151785714285715,-0.10205357142857142,hotpotqa,5,4,-0.023392857142857135,lowrank_medoid,16,16,4,7
Paper 2.6 BM25,-0.17023809523809522,-0.4342261904761904,hotpotqa,14,8,-0.3042261904761905,lowrank_medoid,16,16,0,2
Paper 2.6 exact,-0.08705357142857142,-0.29910714285714285,hotpotqa,11,8,-0.19336309523809525,lowrank_medoid,16,16,3,2
Paper 2.6 gist,0.04517857142857143,-0.1532440476190476,hotpotqa,8,8,-0.05720238095238096,lowrank_medoid,16,16,4,4
Paper 2.6 hybrid,-0.05422619047619048,-0.30889880952380955,hotpotqa,13,8,-0.18592261904761906,lowrank_medoid,16,16,2,1
QC exploratory,0.010416666666666668,-0.11845238095238095,hotpotqa,10,8,-0.049404761904761924,lowrank_medoid,16,16,3,3
QC primary,-0.021875000000000006,-0.12633928571428574,hotpotqa,11,8,-0.07312500000000001,lowrank_medoid,16,16,3,2
QK key-only m8,0.03169642857142857,-0.09133928571428572,hotpotqa,9,8,-0.030386904761904747,lowrank_medoid,16,16,3,4
QK mean,0.03788690476190477,-0.11047619047619046,hotpotqa,6,8,-0.029970238095238085,lowrank_medoid,16,16,6,4
Paper 2.6 BM25,-0.1694345238095238,-0.43104166666666666,hotpotqa,14,4,-0.29886904761904765,lowrank_medoid,16,32,1,1
Paper 2.6 exact,-0.0994642857142857,-0.2780059523809524,hotpotqa,12,4,-0.1880059523809524,lowrank_medoid,16,32,1,3
Paper 2.6 gist,0.04678571428571429,-0.1594345238095238,hotpotqa,6,4,-0.0518452380952381,lowrank_medoid,16,32,2,8
Paper 2.6 hybrid,-0.08104166666666666,-0.2947321428571429,hotpotqa,12,4,-0.1805654761904762,lowrank_medoid,16,32,2,2
QC exploratory,0.0031249999999999993,-0.09232142857142854,hotpotqa,9,4,-0.04404761904761905,lowrank_medoid,16,32,2,5
QC primary,-0.038571428571428576,-0.0997321428571429,hotpotqa,11,4,-0.06776785714285716,lowrank_medoid,16,32,5,0
QK key-only m8,0.023839285714285716,-0.07654761904761906,hotpotqa,7,4,-0.025029761904761895,lowrank_medoid,16,32,4,5
QK mean,0.03803571428571429,-0.09520833333333333,hotpotqa,5,4,-0.024613095238095226,lowrank_medoid,16,32,3,8
Paper 2.6 BM25,-0.1482142857142857,-0.4023214285714286,hotpotqa,14,8,-0.2744047619047619,lowrank_medoid,16,32,1,1
Paper 2.6 exact,-0.08389880952380953,-0.24883928571428574,hotpotqa,12,8,-0.16354166666666667,lowrank_medoid,16,32,2,2
Paper 2.6 gist,0.04645833333333334,-0.10029761904761905,hotpotqa,6,8,-0.02738095238095238,lowrank_medoid,16,32,4,6
Paper 2.6 hybrid,-0.06702380952380951,-0.2476190476190476,hotpotqa,12,8,-0.1561011904761905,lowrank_medoid,16,32,2,2
QC exploratory,0.04282738095238095,-0.0755952380952381,hotpotqa,7,8,-0.01958333333333333,lowrank_medoid,16,32,4,5
QC primary,0.009553571428571425,-0.08717261904761905,hotpotqa,12,8,-0.04330357142857144,lowrank_medoid,16,32,1,3
QK key-only m8,0.06005952380952382,-0.04842261904761903,hotpotqa,6,8,-0.0005654761904761922,lowrank_medoid,16,32,6,4
QK mean,0.040535714285714286,-0.048482142857142856,hotpotqa,4,8,-0.00014880952380952068,lowrank_medoid,16,32,5,7
Paper 2.6 BM25,-0.1375,-0.4291666666666667,hotpotqa,11,1,-0.2813988095238095,native_farthest,16,0,4,1
Paper 2.6 exact,-0.05044642857142857,-0.3004464285714286,hotpotqa,8,1,-0.1705357142857143,native_farthest,16,0,6,2
