control,partition,dataset,example_id,seed,fraction,budget,facet_config,facet_family,facet_reduction,include_global,query_support_mode,query_support_span,query_support_tokens,query_facet_count,oracle_root_parent,oracle_root_rank,oracle_root_present,mrr,recall_at_1,recall_at_2,recall_at_4,recall_at_8,oracle_margin,score_entropy,oracle_recall,oracle_precision,oracle_jaccard,complete_oracle,false_positive_parent_count,winning_facet,winning_facet_kind,winning_facet_family,winning_facet_span,selected_parent_ids,stale_parent,stale_parent_selected,junk_target_tokens,junk_observed_tokens,q_memory_comparisons,final_parent_count,active_final_kv_tokens,active_final_kv_fraction,scoring_wall_time,full_query_forward_count,independent_window_forward_count
clean_support,validation,hotpotqa,5ab56db7554299494045efc6,23,0.2,1,w2_s1,window,max,True,latest_message,"[10, 30]",20,20,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.019221097230911255,1.6092817783355713,0.5,1.0,0.5,0.0,0,3,local,window_2,"[12, 14]",[0],,,,,100,1,256,0.2014162077104642,0.0022114000166766346,1,0
clean_support,validation,hotpotqa,5ab56db7554299494045efc6,23,0.2,1,w2_s1,window,max,True,tail16,"[23, 39]",16,16,0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.013834469020366669,1.6090604066848755,0.5,1.0,0.5,0.0,0,1,local,window_2,"[23, 25]",[0],,,,,80,1,256,0.2014162077104642,0.0020995999802835286,1,0
clean_support,validation,hotpotqa,5ab56db7554299494045efc6,23,0.2,1,w2_s1,window,max,True,tail32,"[7, 39]",32,32,0,2,0.0,0.5,0.0,1.0,1.0,1.0,-0.0263114832341671,1.6082717180252075,0.0,0.0,0.0,0.0,1,2,local,window_2,"[8, 10]",[4],,,,,160,1,247,0.1943351691581432,0.002120999968610704,1,0
clean_support,validation,hotpotqa,5ab56db7554299494045efc6,23,0.2,1,w2_s1,window,max,True,tail64,"[0, 39]",39,39,0,2,0.0,0.5,0.0,1.0,1.0,1.0,-0.001660853624343872,1.6088109016418457,0.0,0.0,0.0,0.0,1,5,local,window_2,"[4, 6]",[4],,,,,195,1,247,0.1943351691581432,0.0025243000127375126,1,0
clean_support,validation,hotpotqa,5ab56db7554299494045efc6,23,0.2,1,w2_s1,window,max,True,full_prompt,"[0, 39]",39,39,0,2,0.0,0.5,0.0,1.0,1.0,1.0,-0.001660853624343872,1.6088109016418457,0.0,0.0,0.0,0.0,1,5,local,window_2,"[4, 6]",[4],,,,,195,1,247,0.1943351691581432,0.0027673000004142523,1,0
clean_support,validation,hotpotqa,5ab56db7554299494045efc6,37,0.2,1,w2_s1,window,max,True,question,"[10, 30]",20,20,0,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.04037083685398102,1.6086435317993164,0.0,0.0,0.0,0.0,1,12,local,window_2,"[21, 23]",[2],,,,,100,1,256,0.2014162077104642,0.0018820000113919377,1,0
clean_support,validation,hotpotqa,5ab56db7554299494045efc6,37,0.2,1,w2_s1,window,max,True,latest_message,"[10, 30]",20,20,0,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.04037083685398102,1.6086435317993164,0.0,0.0,0.0,0.0,1,12,local,window_2,"[21, 23]",[2],,,,,100,1,256,0.2014162077104642,0.0020047000143676996,1,0
clean_support,validation,hotpotqa,5ab56db7554299494045efc6,37,0.2,1,w2_s1,window,max,True,tail16,"[23, 39]",16,16,0,2,0.0,0.5,0.0,1.0,1.0,1.0,-0.012386590242385864,1.609264612197876,0.0,0.0,0.0,0.0,1,2,local,window_2,"[24, 26]",[2],,,,,80,1,256,0.2014162077104642,0.0018265999970026314,1,0
clean_support,validation,hotpotqa,5ab56db7554299494045efc6,37,0.2,1,w2_s1,window,max,True,tail32,"[7, 39]",32,32,0,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.04037083685398102,1.6086435317993164,0.0,0.0,0.0,0.0,1,15,local,window_2,"[21, 23]",[2],,,,,160,1,256,0.2014162077104642,0.0025683999992907047,1,0
clean_support,validation,hotpotqa,5ab56db7554299494045efc6,37,0.2,1,w2_s1,window,max,True,tail64,"[0, 39]",39,39,0,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.04037083685398102,1.6086435317993164,0.0,0.0,0.0,0.0,1,22,local,window_2,"[21, 23]",[2],,,,,195,1,256,0.2014162077104642,0.00228020001668483,1,0
