partition,dataset,fraction,facet_config,query_support_mode,junk_target_tokens,rows,identities,seeds,oracle_root_present,oracle_root_rank,mrr,recall_at_1,recall_at_2,recall_at_4,recall_at_8,oracle_margin,score_entropy,oracle_recall,oracle_precision,oracle_jaccard,complete_oracle,false_positive_parent_count,query_support_tokens,query_facet_count,q_memory_comparisons,active_final_kv_tokens,active_final_kv_fraction,scoring_wall_time,stale_parent_selected
test,qasper,0.2,w2_s1,latest_message,32,30,6,5,0.9666666666666667,1.4666666666666666,0.8541666666666666,0.7333333333333333,0.9666666666666667,0.9666666666666667,1.0,0.03063818228741487,2.726931571960449,0.8833333333333333,0.2961111111111111,0.28777777777777774,0.8,2.7,16.166666666666668,16.166666666666668,265.5,914.3666666666667,0.2271451044565299,0.0021679766631374758,0.3
test,qasper,0.2,w2_s1,latest_message,64,30,6,5,0.9666666666666667,1.5,0.8325396825396825,0.7,0.9333333333333333,0.9666666666666667,1.0,0.03102490180172026,2.726877482732137,0.8833333333333333,0.2961111111111111,0.28777777777777774,0.8,2.7,16.166666666666668,16.166666666666668,265.5,919.3333333333334,0.22819848020767874,0.002276243333471939,0.26666666666666666
test,qasper,0.2,w2_s1,question,0,30,6,5,0.9666666666666667,1.5333333333333334,0.8222222222222223,0.7,0.8666666666666667,0.9666666666666667,1.0,0.029971635589996975,2.7272417386372885,0.8833333333333333,0.2961111111111111,0.28777777777777774,0.8,2.7,9.166666666666666,9.166666666666666,151.16666666666666,928.2333333333333,0.22990458303040626,0.001735776662826538,0.3
test,qasper,0.2,w2_s1,question,16,30,6,5,0.9666666666666667,1.5,0.8325396825396825,0.7,0.9333333333333333,0.9666666666666667,1.0,0.034202551717559496,2.7267661730448407,0.8833333333333333,0.2961111111111111,0.28777777777777774,0.8,2.7,9.166666666666666,9.166666666666666,151.16666666666666,919.3333333333334,0.22819848020767874,0.0016998566725912193,0.3
test,qasper,0.2,w2_s1,question,32,30,6,5,1.0,1.3333333333333333,0.8733333333333333,0.7666666666666667,0.9666666666666667,0.9666666666666667,1.0,0.03413601865371068,2.726636226971944,0.9166666666666666,0.3027777777777778,0.29444444444444445,0.8333333333333334,2.6666666666666665,9.166666666666666,9.166666666666666,151.16666666666666,909.4,0.2260917287053811,0.0017832299985457213,0.3333333333333333
test,qasper,0.2,w2_s1,question,64,30,6,5,0.9666666666666667,1.3666666666666667,0.8722222222222222,0.7666666666666667,0.9666666666666667,0.9666666666666667,1.0,0.03689912208355963,2.726498754819234,0.8833333333333333,0.2961111111111111,0.28777777777777774,0.8,2.7,9.166666666666666,9.166666666666666,151.16666666666666,914.3666666666667,0.2271451044565299,0.0017294166687255104,0.3
test,qasper,0.2,w2_s1,tail16,0,30,6,5,0.9333333333333333,1.8,0.803030303030303,0.6666666666666666,0.9,0.9333333333333333,0.9666666666666667,0.039101238300402956,2.727724854151408,0.8666666666666667,0.28777777777777774,0.28111111111111114,0.8,2.7333333333333334,16.0,16.0,261.3333333333333,928.2333333333333,0.22990458303040626,0.002217740002864351,0.3
test,qasper,0.2,w2_s1,tail16,16,30,6,5,0.9333333333333333,1.8,0.8025396825396826,0.6666666666666666,0.9,0.9333333333333333,0.9666666666666667,0.040032569567362467,2.7275717496871947,0.8666666666666667,0.28777777777777774,0.28111111111111114,0.8,2.7333333333333334,16.0,16.0,261.3333333333333,924.3,0.22925185595882755,0.002176756664024045,0.26666666666666666
test,qasper,0.2,w2_s1,tail16,32,30,6,5,0.9333333333333333,1.5666666666666667,0.8280952380952381,0.7,0.9333333333333333,0.9333333333333333,1.0,0.0405634131282568,2.727556093533834,0.8666666666666667,0.28777777777777774,0.28111111111111114,0.8,2.7333333333333334,16.0,16.0,261.3333333333333,919.3333333333334,0.22819848020767874,0.002293690002989024,0.3
test,qasper,0.2,w2_s1,tail16,64,30,6,5,0.9666666666666667,1.5,0.8464285714285714,0.7333333333333333,0.9333333333333333,0.9666666666666667,1.0,0.04358503841795027,2.727459112803141,0.8833333333333333,0.2961111111111111,0.28777777777777774,0.8,2.7,16.0,16.0,261.3333333333333,924.3,0.22925185595882755,0.0022326566666985553,0.26666666666666666
