split,dataset,example_id,condition,evidence_recall,precision,mrr,ndcg,any_hit,path_completion,missed_evidence,logical_chunks,requested_chunks,resident_chunks,materialized_chunks,materialized_tokens,active_fraction,distractor_requests,routing_ms,gist_index_build_ms,token_index_build_ms,cold_discovery_ms,semantic_comparisons,token_comparisons
validation,hotpotqa,5a8a1a975542992e4fca8505,B4_approx,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38,4,38,0,0,0.0,4,29.35480000451207,1.9229999743402004,9.820600040256977,41.09840001910925,38,38
validation,hotpotqa,5a8a1a975542992e4fca8505,H1_union,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38,4,38,0,0,0.0,4,34.44309998303652,1.9427998922765255,10.79660002142191,47.18249989673495,38,38
validation,hotpotqa,5a8a1a975542992e4fca8505,H2_token_semantic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38,4,38,0,0,0.0,4,25.14539984986186,3.1395000405609608,13.128899969160557,41.41379985958338,38,38
validation,hotpotqa,5a8a1a975542992e4fca8505,H3_semantic_token,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38,4,38,0,0,0.0,4,24.387700017541647,1.9922000356018543,11.029299814254045,37.40919986739755,38,38
validation,hotpotqa,5a8a1a975542992e4fca8505,H4_cascade,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38,4,38,0,0,0.0,4,33.582800067961216,1.8833000212907791,16.153300181031227,51.61940027028322,38,38
validation,hotpotqa,5a8a1a975542992e4fca8505,H5_iterative_hybrid,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38,4,38,0,0,0.0,4,110.64480012282729,3.223799867555499,14.390400145202875,128.25900013558567,114,114
validation,hotpotqa,5a8a1a975542992e4fca8505,A1_broad_semantic,0.2,0.125,0.2,0.13120507751234178,1.0,0.0,0.8,38,8,38,0,0,0.0,7,3.1440998427569866,3.130899975076318,0.0,6.274999817833304,38,0
validation,hotpotqa,5a8a1a975542992e4fca8505,O1_oracle,0.8,1.0,1.0,1.0,1.0,0.0,0.19999999999999996,38,4,38,0,0,0.0,0,0.048099784180521965,3.5354001447558403,0.0,3.5834999289363623,0,0
validation,hotpotqa,5adf5cd25542992d7e9f9320,B0_gist,0.14285714285714285,0.25,0.5,0.24630238874073,1.0,0.0,0.8571428571428572,45,4,45,0,0,0.0,3,1.9826001953333616,3.6728999111801386,0.0,5.6555001065135,45,0
validation,hotpotqa,5adf5cd25542992d7e9f9320,B1_bm25,0.14285714285714285,0.25,0.5,0.24630238874073,1.0,0.0,0.8571428571428572,45,4,45,0,0,0.0,3,54.113399935886264,3.5596999805420637,11.661299970000982,69.33439988642931,45,45
validation,hotpotqa,5adf5cd25542992d7e9f9320,B2_exact,0.2857142857142857,0.5,0.5,0.4144299250118475,1.0,0.0,0.7142857142857143,45,4,45,0,0,0.0,2,44.41590001806617,2.2603999823331833,11.389599880203605,58.065899880602956,45,45
validation,hotpotqa,5adf5cd25542992d7e9f9320,B3_weighted,0.2857142857142857,0.5,0.5,0.4144299250118475,1.0,0.0,0.7142857142857143,45,4,45,0,0,0.0,2,45.54269998334348,2.4749001022428274,12.22660019993782,60.24420028552413,45,45
validation,hotpotqa,5adf5cd25542992d7e9f9320,B4_approx,0.2857142857142857,0.5,0.5,0.44149241373678083,1.0,0.0,0.7142857142857143,45,4,45,0,0,0.0,2,54.8080001026392,4.295600112527609,19.594100071117282,78.69770028628409,45,45
validation,hotpotqa,5adf5cd25542992d7e9f9320,H1_union,0.14285714285714285,0.25,0.5,0.24630238874073,1.0,0.0,0.8571428571428572,45,4,45,0,0,0.0,3,44.409000081941485,2.236700151115656,11.433300096541643,58.079000329598784,45,45
validation,hotpotqa,5adf5cd25542992d7e9f9320,H2_token_semantic,0.14285714285714285,0.25,0.5,0.24630238874073,1.0,0.0,0.8571428571428572,45,4,45,0,0,0.0,3,41.733300080522895,2.1454000379890203,12.025200063362718,55.90390018187463,45,45
validation,hotpotqa,5adf5cd25542992d7e9f9320,H3_semantic_token,0.14285714285714285,0.25,0.5,0.24630238874073,1.0,0.0,0.8571428571428572,45,4,45,0,0,0.0,3,57.501700008288026,3.8801999762654305,17.94649986550212,79.32839985005558,45,45
validation,hotpotqa,5adf5cd25542992d7e9f9320,H4_cascade,0.2857142857142857,0.5,0.5,0.4144299250118475,1.0,0.0,0.7142857142857143,45,4,45,0,0,0.0,2,47.14339994825423,2.1728998981416225,15.51100006327033,64.82729990966618,45,45
validation,hotpotqa,5adf5cd25542992d7e9f9320,H5_iterative_hybrid,0.14285714285714285,0.25,0.5,0.24630238874073,1.0,0.0,0.8571428571428572,45,4,45,0,0,0.0,3,165.6019000802189,3.7355998065322638,11.103400029242039,180.4408999159932,135,135
validation,hotpotqa,5adf5cd25542992d7e9f9320,A1_broad_semantic,0.2857142857142857,0.25,0.5,0.2797643380184693,1.0,0.0,0.7142857142857143,45,8,45,0,0,0.0,6,2.997600007802248,9.023099904879928,0.0,12.020699912682176,45,0
