any_evidence,bridge_locality_score,budget_parents,candidate_parents,chain_completion,condition,cross_parent_transitions,dataset,evidence_coverage,exact_evidence_identity,example_id,fraction,local_entropy,local_nodes_activated_per_parent,local_nodes_explored,local_vs_parent_similarity_ratio,materialized_kv_fraction,materialized_kv_tokens,native_qk_comparisons,parent_entropy,path_depth,repeated_parent_transitions,routing_seconds,seed,semantic_gist_comparisons,unique_parents_selected
1.0,0.0,1,5,0.0,local_gist_closure,0,hotpotqa,0.5,0.0,5a8888e35542997e5c09a5f6,0.1,0.0,1.0,8,1.0,0.17017828200972449,210,0,1.6091643571853638,1,0,0.005224500026088208,11,5,1
1.0,0,1,5,0.0,one_shot_parent,0,hotpotqa,0.5,0.0,5a8888e35542997e5c09a5f6,0.2,0,0,0,0,0.17017828200972449,210,0,0,1,0,0.007186900009401143,11,5,1
1.0,0,1,5,0.0,parent_closure,0,hotpotqa,0.5,0.0,5a8888e35542997e5c09a5f6,0.2,0,0,0,0,0.17017828200972449,210,0,0,1,0,0.0050897999899461865,11,5,1
1.0,0.0,1,5,0.0,local_gist_closure,0,hotpotqa,0.5,0.0,5a8888e35542997e5c09a5f6,0.2,0.0,1.0,8,1.0,0.17017828200972449,210,0,1.6091643571853638,1,0,0.003752400050871074,11,5,1
1.0,0,2,5,1.0,one_shot_parent,0,hotpotqa,1.0,1.0,5a8888e35542997e5c09a5f6,0.3,0,0,0,0,0.37763371150729336,466,0,0,1,0,0.005232400028035045,11,5,2
1.0,0,2,5,1.0,parent_closure,0,hotpotqa,1.0,1.0,5a8888e35542997e5c09a5f6,0.3,0,0,0,0,0.37763371150729336,466,0,0,2,0,0.00618130003567785,11,10,2
1.0,0.19170084595680237,2,5,1.0,local_gist_closure,1,hotpotqa,1.0,1.0,5a8888e35542997e5c09a5f6,0.3,3.6858160495758057,1.0,48,1.4478466864118726,0.37763371150729336,466,0,1.6078730821609497,2,1,0.009176500025205314,11,45,2
0.0,0,1,7,0.0,one_shot_parent,0,hotpotqa,0.0,0.0,5a8c8502554299585d9e36d0,0.1,0,0,0,0,0.1472110408280621,256,0,0,1,0,0.003636399982497096,11,7,1
0.0,0,1,7,0.0,parent_closure,0,hotpotqa,0.0,0.0,5a8c8502554299585d9e36d0,0.1,0,0,0,0,0.1472110408280621,256,0,0,1,0,0.0031370000215247273,11,7,1
0.0,0.0,1,7,0.0,local_gist_closure,0,hotpotqa,0.0,0.0,5a8c8502554299585d9e36d0,0.1,0.0,1.0,8,1.0,0.1472110408280621,256,0,1.945082426071167,1,0,0.0028648999868892133,11,7,1
