example_id,partition,question_type,level,chunk_size,overlap,parent_count,oracle_parent_count,later_oracle_parent_count,root_parent_id,root_oracle_fraction,root_contains_all_evidence,root_contains_multiple_groups,root_contains_only_initial_evidence,evidence_group_count,evidence_group_collisions,oracle_parent_ids,evidence_parent_groups,evidence_tokens,source_tokens,feature_index_build_seconds,parent_pooling_seconds,adjacency_build_seconds,native_dot_products,local_pair_count,atomic_local_count,routing_search_cache_bytes,h2d_bytes,h2d_seconds,gpu_baseline_allocated_bytes,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,native_kv_tokens,materialization_performed
5abbd4035542993f40c73bcb,validation,bridge,hard,32,0,50,7,6,18,0.14814814814814814,False,False,True,4,2,18 19 20 21 22 23 24,18 19;19 20;20 21 22;23 24,162,1573,0.18320770002901554,0.003993700025603175,0.17921400000341237,39589264,2500,50,10000,9832400,0.0037581000360660255,25228800,97084416,119537664,0,False
5abbd4035542993f40c73bcb,validation,bridge,hard,64,0,25,4,3,9,0.345679012345679,False,True,False,4,3,9 10 11 12,9;9 10;10 11;11 12,162,1573,0.18250090000219643,0.0028602000093087554,0.17964069999288768,39589264,2500,50,2500,9832400,0.003525499952957034,24005632,96837120,104857600,0,False
5abbd4035542993f40c73bcb,validation,bridge,hard,128,0,13,3,2,4,0.345679012345679,False,True,False,4,4,4 5 6,4;4 5;5;5 6,162,1573,0.18062290007947013,0.0017403000383637846,0.17888260004110634,39589264,2500,50,676,9832400,0.003739899955689907,24873984,96720896,119537664,0,False
5abbd4035542993f40c73bcb,validation,bridge,hard,256,0,7,2,1,2,0.9382716049382716,False,True,False,4,6,2 3,2;2;2;2 3,162,1573,0.18193010002141818,0.0017601000145077705,0.1801700000069104,39589264,2500,50,196,9832400,0.0039958999841474,23838208,96667648,104857600,0,False
5ae6143f5542996de7b71b2d,validation,bridge,hard,16,0,110,7,3,17,0.17777777777777778,False,False,True,2,0,17 18 19 20 106 107 108,17 18 19 20;106 107 108,90,1753,0.3157921999809332,0.006022399989888072,0.30976979999104515,49168144,12100,110,48400,10816080,0.003474899975117296,24795136,62501888,79691776,0,False
5ae6143f5542996de7b71b2d,validation,bridge,hard,32,0,55,5,2,9,0.35555555555555557,False,False,True,2,0,8 9 10 53 54,8 9 10;53 54,90,1753,0.21605380001710728,0.004264799994416535,0.21178900002269074,49168144,3025,55,12100,10815640,0.0029972000047564507,25153536,102933504,123731968,0,False
5ae6143f5542996de7b71b2d,validation,bridge,hard,64,0,28,4,2,4,0.5333333333333333,False,False,True,2,0,4 5 26 27,4 5;26 27,90,1753,0.2139640999957919,0.00313070003176108,0.21083339996403083,49168144,3025,55,3136,10815640,0.004064499982632697,24886784,102658560,123731968,0,False
5ae6143f5542996de7b71b2d,validation,bridge,hard,128,0,14,2,1,2,0.6666666666666666,False,False,True,2,0,2 13,2;13,90,1753,0.2146616000100039,0.0030651999986730516,0.21159640001133084,49168144,3025,55,784,10815640,0.003137200023047626,24765952,102535168,123731968,0,False
5ae6143f5542996de7b71b2d,validation,bridge,hard,256,0,7,2,1,1,0.6666666666666666,False,False,True,2,0,1 6,1;6,90,1753,0.21272180002415553,0.0011965000303462148,0.2115252999938093,49168144,3025,55,196,10815640,0.003061200026422739,24705024,102473728,123731968,0,False
5a7e513a5542994959419996,validation,bridge,hard,16,0,58,5,2,11,0.3404255319148936,False,False,True,2,0,10 11 12 51 52,10 11 12;51 52,47,919,0.09808739996515214,0.00408769998466596,0.09399969998048618,13512976,3364,58,13456,5703024,0.002383399987593293,24675328,40701952,50331648,0,False
