git_sha,seed,model_tier,position_mode,k_storage_mode,logical_offset_policy,stage,layer_id,native_context,logical_context,position_capacity,overlap_fraction,routing_chunk_size,materialization_budget,maximum_native_operation,dense_counterfactual_tokens,processed_tokens,encoding_cost_ratio,native_k_rmse,native_k_cosine
d36f6775270125cd198543b77dc114e6018ee67a,1,small,absolute,post_position,reset,reset,1,32,128,192,0.0,32,160,32,128,128,1.0,0.6538907885551453,0.618718147277832
d36f6775270125cd198543b77dc114e6018ee67a,1,small,absolute,post_position,reset,reset,2,32,128,192,0.0,32,160,32,128,128,1.0,0.7043959498405457,0.6169763803482056
d36f6775270125cd198543b77dc114e6018ee67a,1,small,absolute,post_position,reset,reset,3,32,128,192,0.0,32,160,32,128,128,1.0,0.7475650310516357,0.594633936882019
d36f6775270125cd198543b77dc114e6018ee67a,1,small,absolute,post_position,source_relative,offset,0,32,128,192,0.0,32,160,32,128,128,1.0,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,1,small,absolute,post_position,source_relative,offset,1,32,128,192,0.0,32,160,32,128,128,1.0,0.13003700971603394,0.985061526298523
d36f6775270125cd198543b77dc114e6018ee67a,1,small,absolute,post_position,source_relative,offset,2,32,128,192,0.0,32,160,32,128,128,1.0,0.2275242805480957,0.9608546495437622
d36f6775270125cd198543b77dc114e6018ee67a,1,small,absolute,post_position,source_relative,offset,3,32,128,192,0.0,32,160,32,128,128,1.0,0.34954434633255005,0.9059304594993591
d36f6775270125cd198543b77dc114e6018ee67a,1,small,absolute,post_position,source_relative,offset_overlap_25,0,32,128,192,0.25,32,160,32,128,152,1.1875,0.0,1.0
d36f6775270125cd198543b77dc114e6018ee67a,1,small,absolute,post_position,source_relative,offset_overlap_25,1,32,128,192,0.25,32,160,32,128,152,1.1875,0.09195562452077866,0.9925863146781921
d36f6775270125cd198543b77dc114e6018ee67a,1,small,absolute,post_position,source_relative,offset_overlap_25,2,32,128,192,0.25,32,160,32,128,152,1.1875,0.1649467498064041,0.9803073406219482
