seed,model_tier,position_mode,strategy,global_positions,overlap_fraction,layer_id,sequence_tokens,encoding_block_tokens,processed_tokens,encoding_cost_ratio,native_k_rmse,native_k_cosine
87,tiny,rope,overlap_global,True,0.25,0,128,32,152,1.1875,0.0,1.0
87,tiny,rope,overlap_global,True,0.25,1,128,32,152,1.1875,0.07398752868175507,0.9941937923431396
87,tiny,rope,overlap_global,True,0.5,0,128,32,176,1.375,0.0,1.0
87,tiny,rope,overlap_global,True,0.5,1,128,32,176,1.375,0.0561051182448864,0.9966741800308228
1,small,absolute,independent_local,False,0.0,0,128,32,128,1.0,0.6633042693138123,0.6224812269210815
1,small,absolute,independent_local,False,0.0,1,128,32,128,1.0,0.6413070559501648,0.6219030618667603
1,small,absolute,independent_local,False,0.0,2,128,32,128,1.0,0.6774529814720154,0.6328632831573486
1,small,absolute,independent_local,False,0.0,3,128,32,128,1.0,0.749946117401123,0.5795477628707886
1,small,absolute,independent_global,True,0.0,0,128,32,128,1.0,0.0,1.0
1,small,absolute,independent_global,True,0.0,1,128,32,128,1.0,0.1072661429643631,0.9895833134651184
1,small,absolute,independent_global,True,0.0,2,128,32,128,1.0,0.18421946465969086,0.9746531844139099
1,small,absolute,independent_global,True,0.0,3,128,32,128,1.0,0.2568715512752533,0.9484697580337524
1,small,absolute,overlap_global,True,0.05,0,128,32,134,1.046875,0.0,1.0
1,small,absolute,overlap_global,True,0.05,1,128,32,134,1.046875,0.09006743878126144,0.9926810264587402
1,small,absolute,overlap_global,True,0.05,2,128,32,134,1.046875,0.14264439046382904,0.9848605394363403
1,small,absolute,overlap_global,True,0.05,3,128,32,134,1.046875,0.20521818101406097,0.9671058058738708
1,small,absolute,overlap_global,True,0.1,0,128,32,137,1.0703125,0.0,1.0
1,small,absolute,overlap_global,True,0.1,1,128,32,137,1.0703125,0.08520703762769699,0.9934985637664795
1,small,absolute,overlap_global,True,0.1,2,128,32,137,1.0703125,0.13538280129432678,0.9858983755111694
1,small,absolute,overlap_global,True,0.1,3,128,32,137,1.0703125,0.24324272572994232,0.9526152610778809
1,small,absolute,overlap_global,True,0.25,0,128,32,152,1.1875,0.0,1.0
1,small,absolute,overlap_global,True,0.25,1,128,32,152,1.1875,0.07696867734193802,0.9948296546936035
1,small,absolute,overlap_global,True,0.25,2,128,32,152,1.1875,0.16411274671554565,0.9787079691886902
1,small,absolute,overlap_global,True,0.25,3,128,32,152,1.1875,0.34969907999038696,0.9063528776168823
1,small,absolute,overlap_global,True,0.5,0,128,32,176,1.375,0.0,1.0
1,small,absolute,overlap_global,True,0.5,1,128,32,176,1.375,0.0694795548915863,0.9957587122917175
1,small,absolute,overlap_global,True,0.5,2,128,32,176,1.375,0.11520826071500778,0.9899769425392151
1,small,absolute,overlap_global,True,0.5,3,128,32,176,1.375,0.2504545748233795,0.9522807002067566
7,small,absolute,independent_local,False,0.0,0,128,32,128,1.0,0.6748120188713074,0.6072129011154175
7,small,absolute,independent_local,False,0.0,1,128,32,128,1.0,0.6874600052833557,0.607744038105011
7,small,absolute,independent_local,False,0.0,2,128,32,128,1.0,0.6910593509674072,0.5792746543884277
7,small,absolute,independent_local,False,0.0,3,128,32,128,1.0,0.745257556438446,0.6059010624885559
7,small,absolute,independent_global,True,0.0,0,128,32,128,1.0,0.0,1.0
7,small,absolute,independent_global,True,0.0,1,128,32,128,1.0,0.11625918745994568,0.9881010055541992
7,small,absolute,independent_global,True,0.0,2,128,32,128,1.0,0.19291318953037262,0.9671803712844849
7,small,absolute,independent_global,True,0.0,3,128,32,128,1.0,0.2587377727031708,0.9513065814971924
7,small,absolute,overlap_global,True,0.05,0,128,32,134,1.046875,0.0,1.0
7,small,absolute,overlap_global,True,0.05,1,128,32,134,1.046875,0.10207995027303696,0.9905427098274231
7,small,absolute,overlap_global,True,0.05,2,128,32,134,1.046875,0.1675487905740738,0.9745345711708069
7,small,absolute,overlap_global,True,0.05,3,128,32,134,1.046875,0.23622480034828186,0.9584162831306458
7,small,absolute,overlap_global,True,0.1,0,128,32,137,1.0703125,0.0,1.0
7,small,absolute,overlap_global,True,0.1,1,128,32,137,1.0703125,0.09860115498304367,0.9911034107208252
7,small,absolute,overlap_global,True,0.1,2,128,32,137,1.0703125,0.15803585946559906,0.9771947264671326
7,small,absolute,overlap_global,True,0.1,3,128,32,137,1.0703125,0.22338859736919403,0.9625992774963379
7,small,absolute,overlap_global,True,0.25,0,128,32,152,1.1875,0.0,1.0
7,small,absolute,overlap_global,True,0.25,1,128,32,152,1.1875,0.08935779333114624,0.9926941394805908
7,small,absolute,overlap_global,True,0.25,2,128,32,152,1.1875,0.14133696258068085,0.9815787076950073
7,small,absolute,overlap_global,True,0.25,3,128,32,152,1.1875,0.14271296560764313,0.9857714176177979
7,small,absolute,overlap_global,True,0.5,0,128,32,176,1.375,0.0,1.0
7,small,absolute,overlap_global,True,0.5,1,128,32,176,1.375,0.07920698821544647,0.9942405223846436
7,small,absolute,overlap_global,True,0.5,2,128,32,176,1.375,0.13730059564113617,0.9827257394790649
7,small,absolute,overlap_global,True,0.5,3,128,32,176,1.375,0.18044951558113098,0.9771585464477539
21,small,absolute,independent_local,False,0.0,0,128,32,128,1.0,0.6537453532218933,0.6206084489822388
21,small,absolute,independent_local,False,0.0,1,128,32,128,1.0,0.6386967897415161,0.6205449104309082
21,small,absolute,independent_local,False,0.0,2,128,32,128,1.0,0.6633557677268982,0.6172003746032715
21,small,absolute,independent_local,False,0.0,3,128,32,128,1.0,0.6758403778076172,0.7022885084152222
21,small,absolute,independent_global,True,0.0,0,128,32,128,1.0,0.0,1.0
21,small,absolute,independent_global,True,0.0,1,128,32,128,1.0,0.08857177197933197,0.9923834800720215
21,small,absolute,independent_global,True,0.0,2,128,32,128,1.0,0.13398364186286926,0.983977198600769
