active_tokens,candidate_records,case_id,cross_task_contamination,detail_depth,estimated_tokens_per_record,family,join_complete,logical_backing_tokens,matched_budget_tokens,materialized_tokens,policy,record_budget,relevant_record_recall,scope_latency_us,seed,selected_records,task_count,useful_precision,widened
126,6,parallel-n8-r6-s71,0.0,selected,24,parallel,1,126,192,144,task_local,8,1.0,931.0001041740179,71,6,8,0.16666666666666666,0
84,6,parallel-n8-r6-s71,0.0,full,48,parallel,1,84,192,192,task_local,4,1.0,875.100027769804,71,4,8,0.25,0
63,6,parallel-n8-r6-s71,0.0,native_kv,64,parallel,1,63,192,192,task_local,3,1.0,840.9000001847744,71,3,8,0.3333333333333333,0
126,6,parallel-n8-r6-s71,0.0,index,4,parallel,1,126,192,24,task_structural,48,1.0,1462.999964132905,71,6,8,0.16666666666666666,0
126,6,parallel-n8-r6-s71,0.0,compact,12,parallel,1,126,192,72,task_structural,16,1.0,1843.899954110384,71,6,8,0.16666666666666666,0
126,6,parallel-n8-r6-s71,0.0,selected,24,parallel,1,126,192,144,task_structural,8,1.0,1558.300107717514,71,6,8,0.16666666666666666,0
84,6,parallel-n8-r6-s71,0.0,full,48,parallel,1,84,192,192,task_structural,4,1.0,955.2000556141138,71,4,8,0.25,0
63,6,parallel-n8-r6-s71,0.0,native_kv,64,parallel,1,63,192,192,task_structural,3,1.0,1359.8999939858913,71,3,8,0.3333333333333333,0
126,6,parallel-n8-r6-s71,0.0,index,4,parallel,1,126,192,24,task_adaptive,48,1.0,1498.199999332428,71,6,8,0.16666666666666666,0
126,6,parallel-n8-r6-s71,0.0,compact,12,parallel,1,126,192,72,task_adaptive,16,1.0,1622.3001293838024,71,6,8,0.16666666666666666,0
126,6,parallel-n8-r6-s71,0.0,selected,24,parallel,1,126,192,144,task_adaptive,8,1.0,1456.50003105402,71,6,8,0.16666666666666666,0
84,6,parallel-n8-r6-s71,0.0,full,48,parallel,1,84,192,192,task_adaptive,4,1.0,1505.4999385029078,71,4,8,0.25,0
63,6,parallel-n8-r6-s71,0.0,native_kv,64,parallel,1,63,192,192,task_adaptive,3,1.0,1593.3997929096222,71,3,8,0.3333333333333333,0
1008,96,parallel-n16-r6-s11,0.9375,index,4,parallel,1,1008,192,192,session,48,1.0,9340.999880805612,11,48,16,0.020833333333333332,0
336,96,parallel-n16-r6-s11,0.9375,compact,12,parallel,1,336,192,192,session,16,1.0,10813.2001478225,11,16,16,0.0625,0
168,96,parallel-n16-r6-s11,0.875,selected,24,parallel,1,168,192,192,session,8,1.0,5746.89987115562,11,8,16,0.125,0
84,96,parallel-n16-r6-s11,1.0,full,48,parallel,0,84,192,192,session,4,0.0,11960.600037127733,11,4,16,0.0,0
63,96,parallel-n16-r6-s11,1.0,native_kv,64,parallel,0,63,192,192,session,3,0.0,9050.300111994147,11,3,16,0.0,0
126,6,parallel-n16-r6-s11,0.0,index,4,parallel,1,126,192,24,task_local,48,1.0,4383.699968457222,11,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s11,0.0,compact,12,parallel,1,126,192,72,task_local,16,1.0,2775.2998284995556,11,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s11,0.0,selected,24,parallel,1,126,192,144,task_local,8,1.0,2263.4000051766634,11,6,16,0.16666666666666666,0
84,6,parallel-n16-r6-s11,0.0,full,48,parallel,1,84,192,192,task_local,4,1.0,2269.4000508636236,11,4,16,0.25,0
63,6,parallel-n16-r6-s11,0.0,native_kv,64,parallel,1,63,192,192,task_local,3,1.0,2425.899961963296,11,3,16,0.3333333333333333,0
126,6,parallel-n16-r6-s11,0.0,index,4,parallel,1,126,192,24,task_structural,48,1.0,6493.099965155125,11,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s11,0.0,compact,12,parallel,1,126,192,72,task_structural,16,1.0,3263.4998206049204,11,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s11,0.0,selected,24,parallel,1,126,192,144,task_structural,8,1.0,3081.300063058734,11,6,16,0.16666666666666666,0
84,6,parallel-n16-r6-s11,0.0,full,48,parallel,1,84,192,192,task_structural,4,1.0,2839.7999703884125,11,4,16,0.25,0
63,6,parallel-n16-r6-s11,0.0,native_kv,64,parallel,1,63,192,192,task_structural,3,1.0,4134.600050747395,11,3,16,0.3333333333333333,0
126,6,parallel-n16-r6-s11,0.0,index,4,parallel,1,126,192,24,task_adaptive,48,1.0,3240.5999954789877,11,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s11,0.0,compact,12,parallel,1,126,192,72,task_adaptive,16,1.0,2699.800068512559,11,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s11,0.0,selected,24,parallel,1,126,192,144,task_adaptive,8,1.0,3027.8998892754316,11,6,16,0.16666666666666666,0
84,6,parallel-n16-r6-s11,0.0,full,48,parallel,1,84,192,192,task_adaptive,4,1.0,2687.3000897467136,11,4,16,0.25,0
63,6,parallel-n16-r6-s11,0.0,native_kv,64,parallel,1,63,192,192,task_adaptive,3,1.0,3765.8000364899635,11,3,16,0.3333333333333333,0
1008,96,parallel-n16-r6-s23,0.9375,index,4,parallel,1,1008,192,192,session,48,1.0,9952.299995347857,23,48,16,0.020833333333333332,0
336,96,parallel-n16-r6-s23,0.9375,compact,12,parallel,1,336,192,192,session,16,1.0,8454.700000584126,23,16,16,0.0625,0
168,96,parallel-n16-r6-s23,0.875,selected,24,parallel,1,168,192,192,session,8,1.0,7589.4000474363565,23,8,16,0.125,0
84,96,parallel-n16-r6-s23,1.0,full,48,parallel,0,84,192,192,session,4,0.0,8473.600028082728,23,4,16,0.0,0
63,96,parallel-n16-r6-s23,1.0,native_kv,64,parallel,0,63,192,192,session,3,0.0,11521.000182256103,23,3,16,0.0,0
126,6,parallel-n16-r6-s23,0.0,index,4,parallel,1,126,192,24,task_local,48,1.0,1640.399917960167,23,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s23,0.0,compact,12,parallel,1,126,192,72,task_local,16,1.0,2032.4999932199717,23,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s23,0.0,selected,24,parallel,1,126,192,144,task_local,8,1.0,1478.500198572874,23,6,16,0.16666666666666666,0
84,6,parallel-n16-r6-s23,0.0,full,48,parallel,1,84,192,192,task_local,4,1.0,2236.599801108241,23,4,16,0.25,0
63,6,parallel-n16-r6-s23,0.0,native_kv,64,parallel,1,63,192,192,task_local,3,1.0,2721.4998845010996,23,3,16,0.3333333333333333,0
126,6,parallel-n16-r6-s23,0.0,index,4,parallel,1,126,192,24,task_structural,48,1.0,3097.3998364061117,23,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s23,0.0,compact,12,parallel,1,126,192,72,task_structural,16,1.0,2662.300132215023,23,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s23,0.0,selected,24,parallel,1,126,192,144,task_structural,8,1.0,2790.100174024701,23,6,16,0.16666666666666666,0
84,6,parallel-n16-r6-s23,0.0,full,48,parallel,1,84,192,192,task_structural,4,1.0,2391.899935901165,23,4,16,0.25,0
63,6,parallel-n16-r6-s23,0.0,native_kv,64,parallel,1,63,192,192,task_structural,3,1.0,3550.600027665496,23,3,16,0.3333333333333333,0
126,6,parallel-n16-r6-s23,0.0,index,4,parallel,1,126,192,24,task_adaptive,48,1.0,3601.4001816511154,23,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s23,0.0,compact,12,parallel,1,126,192,72,task_adaptive,16,1.0,2468.7000550329685,23,6,16,0.16666666666666666,0
126,6,parallel-n16-r6-s23,0.0,selected,24,parallel,1,126,192,144,task_adaptive,8,1.0,2529.700053855777,23,6,16,0.16666666666666666,0
84,6,parallel-n16-r6-s23,0.0,full,48,parallel,1,84,192,192,task_adaptive,4,1.0,2414.099872112274,23,4,16,0.25,0
63,6,parallel-n16-r6-s23,0.0,native_kv,64,parallel,1,63,192,192,task_adaptive,3,1.0,2519.2999746650457,23,3,16,0.3333333333333333,0
