active_tokens,candidate_records,case_id,critical_path_depth,cross_task_contamination,edge_count,family,fork_count,join_complete,join_count,maximum_width,policy,record_budget,records_per_task,relevant_record_recall,scope_latency_us,seed,selected_records,task_count,total_records,useful_precision,widened
126,6,join-n8-r6-s23,2,0.0,7,join,0,0,1,7,task_local,8,6,0.125,1464.699860662222,23,6,8,48,0.16666666666666666,0
168,48,join-n8-r6-s23,2,0.0,7,join,0,1,1,7,task_structural,8,6,1.0,3329.1999716311693,23,8,8,48,1.0,0
126,6,join-n8-r6-s37,2,0.0,7,join,0,0,1,7,task_local,8,6,0.125,1981.1999518424273,37,6,8,48,0.16666666666666666,0
168,48,join-n8-r6-s37,2,0.0,7,join,0,1,1,7,task_structural,8,6,1.0,6511.099869385362,37,8,8,48,1.0,0
126,6,join-n8-r6-s53,2,0.0,7,join,0,0,1,7,task_local,8,6,0.125,1156.3999578356743,53,6,8,48,0.16666666666666666,0
168,48,join-n8-r6-s53,2,0.0,7,join,0,1,1,7,task_structural,8,6,1.0,4740.699892863631,53,8,8,48,1.0,0
126,6,join-n8-r6-s71,2,0.0,7,join,0,0,1,7,task_local,8,6,0.125,1592.0000150799751,71,6,8,48,0.16666666666666666,0
168,48,join-n8-r6-s71,2,0.0,7,join,0,1,1,7,task_structural,8,6,1.0,2588.8998061418533,71,8,8,48,1.0,0
126,6,join-n16-r6-s11,2,0.0,15,join,0,0,1,15,task_local,8,6,0.0625,4571.299999952316,11,6,16,96,0.16666666666666666,0
168,96,join-n16-r6-s11,2,0.0,15,join,0,0,1,15,task_structural,8,6,0.5,9445.099858567119,11,8,16,96,1.0,0
126,6,join-n16-r6-s23,2,0.0,15,join,0,0,1,15,task_local,8,6,0.0625,1789.3998883664608,23,6,16,96,0.16666666666666666,0
168,96,join-n16-r6-s23,2,0.0,15,join,0,0,1,15,task_structural,8,6,0.5,8166.6000187397,23,8,16,96,1.0,0
126,6,join-n16-r6-s37,2,0.0,15,join,0,0,1,15,task_local,8,6,0.0625,1991.200027987361,37,6,16,96,0.16666666666666666,0
168,96,join-n16-r6-s37,2,0.0,15,join,0,0,1,15,task_structural,8,6,0.5,6215.299945324659,37,8,16,96,1.0,0
126,6,join-n16-r6-s53,2,0.0,15,join,0,0,1,15,task_local,8,6,0.0625,3785.39995290339,53,6,16,96,0.16666666666666666,0
168,96,join-n16-r6-s53,2,0.0,15,join,0,0,1,15,task_structural,8,6,0.5,7705.6000009179115,53,8,16,96,1.0,0
126,6,join-n16-r6-s71,2,0.0,15,join,0,0,1,15,task_local,8,6,0.0625,1822.8001426905394,71,6,16,96,0.16666666666666666,0
168,96,join-n16-r6-s71,2,0.0,15,join,0,0,1,15,task_structural,8,6,0.5,8998.299948871136,71,8,16,96,1.0,0
42,6,dag-n2-r6-s11,2,0.0,1,dag,0,0,0,1,task_local,2,6,0.5,915.8998727798462,11,2,2,12,0.5,0
42,12,dag-n2-r6-s11,2,0.0,1,dag,0,1,0,1,task_structural,2,6,1.0,1064.100069925189,11,2,2,12,1.0,0
42,6,dag-n2-r6-s23,2,0.0,1,dag,0,0,0,1,task_local,2,6,0.5,710.0000511854887,23,2,2,12,0.5,0
42,12,dag-n2-r6-s23,2,0.0,1,dag,0,1,0,1,task_structural,2,6,1.0,670.3000981360674,23,2,2,12,1.0,0
42,6,dag-n2-r6-s37,2,0.0,1,dag,0,0,0,1,task_local,2,6,0.5,464.40004371106625,37,2,2,12,0.5,0
42,12,dag-n2-r6-s37,2,0.0,1,dag,0,1,0,1,task_structural,2,6,1.0,690.9000221639872,37,2,2,12,1.0,0
42,6,dag-n2-r6-s53,2,0.0,1,dag,0,0,0,1,task_local,2,6,0.5,765.5001245439053,53,2,2,12,0.5,0
42,12,dag-n2-r6-s53,2,0.0,1,dag,0,1,0,1,task_structural,2,6,1.0,1250.7999781519175,53,2,2,12,1.0,0
42,6,dag-n2-r6-s71,2,0.0,1,dag,0,0,0,1,task_local,2,6,0.5,564.0999879688025,71,2,2,12,0.5,0
42,12,dag-n2-r6-s71,2,0.0,1,dag,0,1,0,1,task_structural,2,6,1.0,918.0000051856041,71,2,2,12,1.0,0
84,6,dag-n4-r6-s11,4,0.0,4,dag,1,0,1,1,task_local,4,6,0.25,1035.700086504221,11,4,4,24,0.25,0
84,24,dag-n4-r6-s11,4,0.0,4,dag,1,1,1,1,task_structural,4,6,1.0,3124.49992634356,11,4,4,24,1.0,0
84,6,dag-n4-r6-s23,4,0.0,4,dag,1,0,1,1,task_local,4,6,0.25,864.4999470561743,23,4,4,24,0.25,0
84,24,dag-n4-r6-s23,4,0.0,4,dag,1,1,1,1,task_structural,4,6,1.0,2589.3000420182943,23,4,4,24,1.0,0
84,6,dag-n4-r6-s37,4,0.0,4,dag,1,0,1,1,task_local,4,6,0.25,816.5000472217798,37,4,4,24,0.25,0
84,24,dag-n4-r6-s37,4,0.0,4,dag,1,1,1,1,task_structural,4,6,1.0,1814.3998458981514,37,4,4,24,1.0,0
84,6,dag-n4-r6-s53,4,0.0,4,dag,1,0,1,1,task_local,4,6,0.25,925.400061532855,53,4,4,24,0.25,0
84,24,dag-n4-r6-s53,4,0.0,4,dag,1,1,1,1,task_structural,4,6,1.0,1243.7000405043364,53,4,4,24,1.0,0
84,6,dag-n4-r6-s71,4,0.0,4,dag,1,0,1,1,task_local,4,6,0.25,1119.5000261068344,71,4,4,24,0.25,0
