active_native_kv_tokens,backend,comparisons,consumer_layers,cpu_reference_bytes,device,dtype,encode_granularity_tokens,evidence_recall,gpu_active_kv_bytes,h2d_bytes,index_build_seconds,layer_token_kv_states,logical_to_active_ratio,logical_tokens,materialize_granularity_tokens,measured,measurement_scope,memory_nodes,path_recall,peak_device_bytes,probes,queries_per_second,requested_active_kv_tokens,root_recall,routing_index_bytes,search_granularity_tokens,search_latency_p50_seconds,search_latency_p95_seconds,seed,task_accuracy,total_layers,training_regime
256,coarse_to_fine,2560,2,524288,cuda,float32,32,1.0,262144,262144,0.005381800001487136,512,512.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,4,4020.504538313617,256,1.0,1064960,32,0.0019898000173270702,0.002570159989409148,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
256,coarse_to_fine,8704,2,524288,cuda,float32,32,1.0,262144,262144,0.005381800001487136,512,512.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,16,3844.3055977700174,256,1.0,1064960,32,0.0020810000132769346,0.002546649985015392,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
512,exact_gemm,32768,2,524288,cuda,float32,32,1.0,524288,524288,0.005381800001487136,1024,256.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,64,29996.244651094574,512,1.0,1064960,32,0.00026670005172491074,0.00029866001568734646,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
512,coarse_to_fine,1024,2,524288,cuda,float32,32,1.0,524288,524288,0.005381800001487136,1024,256.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,1,3769.4953969788294,512,1.0,1064960,32,0.0021222999785095453,0.0025232400512322783,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
512,coarse_to_fine,2560,2,524288,cuda,float32,32,1.0,524288,524288,0.005381800001487136,1024,256.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,4,3513.857791987852,512,1.0,1064960,32,0.0022766999900341034,0.0025465899729169906,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
512,coarse_to_fine,8704,2,524288,cuda,float32,32,1.0,524288,524288,0.005381800001487136,1024,256.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,16,3928.50123255378,512,1.0,1064960,32,0.002036400022916496,0.003197469981387257,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
1024,exact_gemm,32768,2,524288,cuda,float32,32,1.0,1048576,1048576,0.005381800001487136,2048,128.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,64,21840.022124949905,1024,1.0,1064960,32,0.0003662999952211976,0.0005560799967497587,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
512,coarse_to_fine,1024,2,524288,cuda,float32,32,1.0,524288,524288,0.005381800001487136,1024,256.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,1,3458.2630337048345,1024,1.0,1064960,32,0.002313300035893917,0.0034996100584976366,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
1024,coarse_to_fine,2560,2,524288,cuda,float32,32,1.0,1048576,1048576,0.005381800001487136,2048,128.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,4,3259.717953317941,1024,1.0,1064960,32,0.0024542000610381365,0.00293049996253103,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
1024,coarse_to_fine,8704,2,524288,cuda,float32,32,1.0,1048576,1048576,0.005381800001487136,2048,128.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,16,3343.363340928937,1024,1.0,1064960,32,0.002392800059169531,0.0026322700083255767,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
32,exact_gemm,131072,2,2097152,cuda,float32,32,1.0,32768,32768,0.00584350002463907,64,16384.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,128,11963.511835558258,32,1.0,4227072,32,0.0006686999695375562,0.0007279699435457587,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
32,coarse_to_fine,2048,2,2097152,cuda,float32,32,1.0,32768,32768,0.00584350002463907,64,16384.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,1,3807.5292989172617,32,1.0,4227072,32,0.0021011000499129295,0.002605160046368837,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
32,coarse_to_fine,5120,2,2097152,cuda,float32,32,1.0,32768,32768,0.00584350002463907,64,16384.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,4,3751.9931515775825,32,1.0,4227072,32,0.0021322000538930297,0.0024240999948233364,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
32,coarse_to_fine,17408,2,2097152,cuda,float32,32,1.0,32768,32768,0.00584350002463907,64,16384.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,16,3703.0178982896314,32,1.0,4227072,32,0.002160400035791099,0.0024452500627376137,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
64,exact_gemm,131072,2,2097152,cuda,float32,32,1.0,65536,65536,0.00584350002463907,128,8192.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,128,13833.650840583876,64,1.0,4227072,32,0.0005782999796792865,0.0006453099311329424,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
64,coarse_to_fine,2048,2,2097152,cuda,float32,32,1.0,65536,65536,0.00584350002463907,128,8192.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,1,3623.188325399376,64,1.0,4227072,32,0.002208000048995018,0.0026158299995586278,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
64,coarse_to_fine,5120,2,2097152,cuda,float32,32,1.0,65536,65536,0.00584350002463907,128,8192.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,4,3797.228065177109,64,1.0,4227072,32,0.00210679997690022,0.0027062199427746233,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
64,coarse_to_fine,17408,2,2097152,cuda,float32,32,1.0,65536,65536,0.00584350002463907,128,8192.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,16,3656.6413555132244,64,1.0,4227072,32,0.0021878000115975738,0.002899849985260516,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,exact_gemm,131072,2,2097152,cuda,float32,32,1.0,131072,131072,0.00584350002463907,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,128,11557.35477447514,128,1.0,4227072,32,0.0006921999156475067,0.0007768999668769538,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,2048,2,2097152,cuda,float32,32,1.0,131072,131072,0.00584350002463907,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,1,3733.9556315537952,128,1.0,4227072,32,0.0021425000159069896,0.002357929991558194,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,5120,2,2097152,cuda,float32,32,1.0,131072,131072,0.00584350002463907,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,4,3824.457443320714,128,1.0,4227072,32,0.002091799979098141,0.0023570199497044086,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,17408,2,2097152,cuda,float32,32,1.0,131072,131072,0.00584350002463907,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,16,3712.4692666034593,128,1.0,4227072,32,0.0021548999939113855,0.0024895400041714307,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
256,exact_gemm,131072,2,2097152,cuda,float32,32,1.0,262144,262144,0.00584350002463907,512,2048.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,128,10393.659325862001,256,1.0,4227072,32,0.0007697000401094556,0.0008250500191934406,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
256,coarse_to_fine,2048,2,2097152,cuda,float32,32,1.0,262144,262144,0.00584350002463907,512,2048.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,1,3645.8094960903277,256,1.0,4227072,32,0.0021943000610917807,0.0026749899960123,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
256,coarse_to_fine,5120,2,2097152,cuda,float32,32,1.0,262144,262144,0.00584350002463907,512,2048.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,4,3937.976666622924,256,1.0,4227072,32,0.0020315001020208,0.002597589965444058,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
256,coarse_to_fine,17408,2,2097152,cuda,float32,32,1.0,262144,262144,0.00584350002463907,512,2048.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,16,3517.101948162784,256,1.0,4227072,32,0.0022745999740436673,0.002851469989400357,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
512,exact_gemm,131072,2,2097152,cuda,float32,32,1.0,524288,524288,0.00584350002463907,1024,1024.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,128,12486.343273485525,512,1.0,4227072,32,0.0006406999891623855,0.000754950032569468,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
512,coarse_to_fine,2048,2,2097152,cuda,float32,32,1.0,524288,524288,0.00584350002463907,1024,1024.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,1,3840.061384228616,512,1.0,4227072,32,0.0020833000307902694,0.002596040046773851,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
512,coarse_to_fine,5120,2,2097152,cuda,float32,32,1.0,524288,524288,0.00584350002463907,1024,1024.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,4,3696.515923084127,512,1.0,4227072,32,0.002164200064726174,0.0025973100098781285,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
512,coarse_to_fine,17408,2,2097152,cuda,float32,32,1.0,524288,524288,0.00584350002463907,1024,1024.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,16,3374.9578058796124,512,1.0,4227072,32,0.002370400005020201,0.0029504699748940763,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
1024,exact_gemm,131072,2,2097152,cuda,float32,32,1.0,1048576,1048576,0.00584350002463907,2048,512.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,128,11199.77651386374,1024,1.0,4227072,32,0.0007142999675124884,0.0008006300660781562,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
1024,coarse_to_fine,2048,2,2097152,cuda,float32,32,1.0,1048576,1048576,0.00584350002463907,2048,512.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,1,3867.910782964087,1024,1.0,4227072,32,0.0020683000329881907,0.002724290068726986,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
1024,coarse_to_fine,5120,2,2097152,cuda,float32,32,1.0,1048576,1048576,0.00584350002463907,2048,512.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,4,3770.916853174459,1024,1.0,4227072,32,0.0021214999724179506,0.0025763999321497975,17,1.0,8,PRA-native routing surrogate; no LM checkpoint
