active_native_kv_tokens,backend,comparisons,consumer_layers,cpu_reference_bytes,device,dtype,encode_granularity_tokens,evidence_recall,evidence_recall_delta_vs_exact,gpu_active_kv_bytes,h2d_bytes,index_build_seconds,layer_token_kv_states,logical_to_active_ratio,logical_tokens,materialize_granularity_tokens,measured,measurement_scope,memory_nodes,path_recall,peak_device_bytes,probes,queries_per_second,recall_at_k_vs_exact,requested_active_kv_tokens,root_recall,routing_index_bytes,search_granularity_tokens,search_latency_p50_seconds,search_latency_p95_seconds,seed,task_accuracy,total_layers,training_regime
128,coarse_to_fine,8704,2,524288,cuda,float32,32,1.0,0.0,131072,131072,0.004750699969008565,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,16,3874.842575484025,0.6484375,128,1.0,1064960,32,0.002064600004814565,0.0024185099638998507,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,2048,2,2097152,cuda,float32,32,1.0,0.0,131072,131072,0.00583449995610863,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,1,3842.828285892049,0.4609375,128,1.0,4227072,32,0.0020818000193685293,0.002622119977604598,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,5120,2,2097152,cuda,float32,32,1.0,0.0,131072,131072,0.00583449995610863,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,4,3998.0007944865333,0.4765625,128,1.0,4227072,32,0.002001000102609396,0.0026587900472804897,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,17408,2,2097152,cuda,float32,32,1.0,0.0,131072,131072,0.00583449995610863,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,16,3789.1346363343173,0.59375,128,1.0,4227072,32,0.00211130001116544,0.0024164900183677672,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,4096,2,8388608,cuda,float32,32,1.0,0.0,131072,131072,0.013983099954202771,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,1,4022.323876449331,0.4375,128,1.0,16842752,32,0.001988900010474026,0.0024988699471578,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,10240,2,8388608,cuda,float32,32,1.0,0.0,131072,131072,0.013983099954202771,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,4,3729.4298013341713,0.4609375,128,1.0,16842752,32,0.0021451000357046723,0.00221810006769374,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,34816,2,8388608,cuda,float32,32,1.0,0.0,131072,131072,0.013983099954202771,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,16,3636.8595952459873,0.546875,128,1.0,16842752,32,0.002199699985794723,0.0025753799942322074,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,8192,2,33554432,cuda,float32,32,1.0,0.0,131072,131072,0.04930079996120185,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,1,3749.5313997273165,0.3671875,128,1.0,67239936,32,0.0021335999481379986,0.00282810996286571,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,20480,2,33554432,cuda,float32,32,1.0,0.0,131072,131072,0.04930079996120185,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,4,3894.27069399583,0.3671875,128,1.0,67239936,32,0.0020542999263852835,0.0027678999002091584,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,69632,2,33554432,cuda,float32,32,1.0,0.0,131072,131072,0.04930079996120185,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,16,2316.6246877277727,0.4296875,128,1.0,67239936,32,0.003453299985267222,0.004064370016567409,53,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,512,2,131072,cuda,float32,32,1.0,0.0,131072,131072,0.0045386001002043486,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,9697792,1,3960.984280732633,0.4375,128,1.0,270336,32,0.0020197000121697783,0.0023987300461158156,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,1280,2,131072,cuda,float32,32,1.0,0.0,131072,131072,0.0045386001002043486,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,9697792,4,3639.8380734304787,0.5703125,128,1.0,270336,32,0.002197899972088635,0.0024877200252376493,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,4352,2,131072,cuda,float32,32,1.0,0.0,131072,131072,0.0045386001002043486,256,256.0,32768,8,True,controlled fixed-working-set retrieval,1024,1.0,9697792,16,3593.244582653647,0.8515625,128,1.0,270336,32,0.002226400072686374,0.0025561900343745946,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,1024,2,524288,cuda,float32,32,1.0,0.0,131072,131072,0.005026599974371493,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,1,3368.562831135875,0.5078125,128,1.0,1064960,32,0.0023749000392854214,0.0028693900210782883,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,2560,2,524288,cuda,float32,32,1.0,0.0,131072,131072,0.005026599974371493,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,4,3480.530897240291,0.5625,128,1.0,1064960,32,0.002298499923199415,0.003110099979676306,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,8704,2,524288,cuda,float32,32,1.0,0.0,131072,131072,0.005026599974371493,256,1024.0,131072,8,True,controlled fixed-working-set retrieval,4096,1.0,12838400,16,3413.6975825402546,0.75,128,1.0,1064960,32,0.0023434999166056514,0.003233920061029493,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,2048,2,2097152,cuda,float32,32,1.0,0.0,131072,131072,0.005776599980890751,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,1,3862.495286280978,0.375,128,1.0,4227072,32,0.0020711999386548996,0.0024211800075136123,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,5120,2,2097152,cuda,float32,32,1.0,0.0,131072,131072,0.005776599980890751,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,4,3671.577496093309,0.4375,128,1.0,4227072,32,0.0021788999438285828,0.0025420199846848844,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,17408,2,2097152,cuda,float32,32,1.0,0.0,131072,131072,0.005776599980890751,256,4096.0,524288,8,True,controlled fixed-working-set retrieval,16384,1.0,25444864,16,3837.1144108139106,0.53125,128,1.0,4227072,32,0.0020849000429734588,0.0023509099963121114,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,4096,2,8388608,cuda,float32,32,1.0,0.0,131072,131072,0.013935100054368377,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,1,3899.2054931553726,0.4453125,128,1.0,16842752,32,0.0020517000230029225,0.002344769996125251,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,10240,2,8388608,cuda,float32,32,1.0,0.0,131072,131072,0.013935100054368377,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,4,3860.2585177292094,0.4765625,128,1.0,16842752,32,0.0020724000642076135,0.002590299968142062,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,34816,2,8388608,cuda,float32,32,1.0,0.0,131072,131072,0.013935100054368377,256,16384.0,2097152,8,True,controlled fixed-working-set retrieval,65536,1.0,75815424,16,3509.5415486511347,0.5390625,128,1.0,16842752,32,0.002279500011354685,0.0027140099555253983,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,8192,2,33554432,cuda,float32,32,1.0,0.0,131072,131072,0.049317700089886785,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,1,3821.899290184696,0.359375,128,1.0,67239936,32,0.0020932001061737537,0.0025849300203844906,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,20480,2,33554432,cuda,float32,32,1.0,0.0,131072,131072,0.049317700089886785,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,4,3747.423721241903,0.3984375,128,1.0,67239936,32,0.0021347999572753906,0.002343389939051121,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
128,coarse_to_fine,69632,2,33554432,cuda,float32,32,1.0,0.0,131072,131072,0.049317700089886785,256,65536.0,8388608,8,True,controlled fixed-working-set retrieval,262144,1.0,277207552,16,2309.6688082465216,0.4296875,128,1.0,67239936,32,0.003463700064457953,0.00388722998322919,67,1.0,8,PRA-native routing surrogate; no LM checkpoint
