partition,target_architecture,representation,router_seed,dataset,example_id,model_seed,invalid_combination_repaired,selected_config,oracle_config,quality,retrieval_cost,total_cost,oracle_cost,oracle_regret,allocation_outcome,prefill_cost,prefill_latency_seconds,processed_token_layers,recomputed_query_tokens
test,group_profiles,S2_embed_last,1,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,53,0,F1_R2_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,10.859375,10.875,7.0,3.875,over_allocation,0.015625,1.1296000331640243e-05,0,28
test,group_profiles,S2_embed_last,1,qasper,2003.11562:fc4ae12576ea3a85ea6d150b46938890d63a7d18,71,0,F1_R2_K2_H0_Bs2_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,1.0,10.859375,10.875,7.0,3.875,over_allocation,0.015625,1.1296000331640243e-05,0,28
test,group_profiles,S2_embed_last,1,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,11,0,F1_R4_K2_H0_Bs4_Bkv4,F1_R4_K2_H0_Bs4_Bkv4,1.0,21.0,21.016741071428573,21.0,0.01674107142857295,matched,0.016741071428571428,2.3711999878287314e-05,0,30
test,group_profiles,S2_embed_last,1,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,23,0,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,7.0,7.016741071428571,7.0,0.016741071428571175,matched,0.016741071428571428,2.3711999878287314e-05,0,30
test,group_profiles,S2_embed_last,1,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,37,0,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,7.0,7.016741071428571,7.0,0.016741071428571175,matched,0.016741071428571428,2.3711999878287314e-05,0,30
test,group_profiles,S2_embed_last,1,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,53,0,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,7.0,7.016741071428571,7.0,0.016741071428571175,matched,0.016741071428571428,2.3711999878287314e-05,0,30
test,group_profiles,S2_embed_last,1,qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,71,0,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,7.0,7.016741071428571,7.0,0.016741071428571175,matched,0.016741071428571428,2.3711999878287314e-05,0,30
test,group_profiles,S2_embed_last,1,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,11,0,F2_R2_K2_H0_Bs2_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,0.0,12.0,12.015625,7.0,5.015625,over_allocation,0.015625,1.0015999898314476e-05,0,28
test,group_profiles,S2_embed_last,1,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,23,0,F1_R1_K2_H0_Bs2_Bkv2,F1_R2_K2_H0_Bs2_Bkv2,0.0,7.0,7.015625,11.0,-3.984375,matched,0.015625,1.0015999898314476e-05,0,28
test,group_profiles,S2_embed_last,1,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,37,0,F2_R2_K2_H0_Bs2_Bkv8,F1_R1_K2_H0_Bs2_Bkv2,0.0,12.0,12.015625,7.0,5.015625,over_allocation,0.015625,1.0015999898314476e-05,0,28
test,group_profiles,S2_embed_last,1,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,53,0,F1_R1_K2_H0_Bs2_Bkv2,F1_R4_K2_H0_Bs4_Bkv4,0.0,7.0,7.015625,21.0,-13.984375,matched,0.015625,1.0015999898314476e-05,0,28
test,group_profiles,S2_embed_last,1,qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,71,0,F1_R1_K2_H1_Bs4_Bkv4,F1_R1_K2_H0_Bs2_Bkv2,0.0,19.0,19.015625,7.0,12.015625,over_allocation,0.015625,1.0015999898314476e-05,0,28
test,group_profiles,S2_embed_last,1,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,11,0,F1_R2_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,11.0,11.014508928571429,7.0,4.014508928571429,over_allocation,0.014508928571428572,2.284800074994564e-05,0,26
test,group_profiles,S2_embed_last,1,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,23,0,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,7.0,7.014508928571429,7.0,0.014508928571428825,matched,0.014508928571428572,2.284800074994564e-05,0,26
test,group_profiles,S2_embed_last,1,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,37,0,F1_R1_K2_H0_Bs2_Bkv2,F1_R1_K2_H0_Bs2_Bkv2,1.0,7.0,7.014508928571429,7.0,0.014508928571428825,matched,0.014508928571428572,2.284800074994564e-05,0,26
test,group_profiles,S2_embed_last,1,qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,53,0,F1_R2_K2_H0_Bs2_Bkv4,F1_R2_K2_H0_Bs2_Bkv2,1.0,11.0,11.014508928571429,11.0,0.014508928571428825,matched,0.014508928571428572,2.284800074994564e-05,0,26
