active_kv_bytes,active_kv_tokens,condition,cost_per_million_tokens,dataset,effort,example_id,gather_materialization_seconds,generated_tokens,gpu_utilization,graph_search_latency_seconds,h2d_bytes,h2d_seconds,measured,measurement_scope,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,routing_latency_seconds,throughput_requests_per_second,tokens_per_second,total_latency_seconds,tpot_seconds,ttft_seconds
10321920,2520,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,01245b60088411ebbd6dac1f6bf848b6,0.006634299992583692,8,not_captured,0.004919199971482158,3325952,0.0038398000178858638,True,inherited_qwen_gate3_single_request,1221522432,1247805440,0.004919199971482158,1.0490987663506894,8.392790130805516,0.9531991000985727,0.11169428571260401,0.17063020006753504
19578880,4780,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,01245b60088411ebbd6dac1f6bf848b6,0.01825800014194101,8,not_captured,0.0008004999253898859,12582912,0.011747500044293702,True,inherited_qwen_gate3_single_request,1239439360,1268776960,0.0008004999253898859,0.8763870907409552,7.011096725927642,1.141048299963586,0.13495668570976704,0.19571250001899898
26050560,6360,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,01245b60088411ebbd6dac1f6bf848b6,0.030615200055763125,8,not_captured,0.005010199965909123,19054592,0.020103200105950236,True,inherited_qwen_gate3_single_request,1249845760,1289748480,0.005010199965909123,0.820928151244841,6.567425209958728,1.2181333999615163,0.14498147143915827,0.20236919994931668
9306112,2272,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,024761e80bb011ebab90acde48001122,0.007302999962121248,16,not_captured,0.005117799970321357,2883584,0.004135900177061558,True,inherited_qwen_gate3_single_request,1218768896,1256194048,0.005117799970321357,0.4483567255272868,7.1737076084365885,2.2303668999811634,0.1375196133274585,0.1667062999913469
19005440,4640,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,024761e80bb011ebab90acde48001122,0.01909929991234094,16,not_captured,0.001004299963824451,12582912,0.01248600019607693,True,inherited_qwen_gate3_single_request,1234878464,1277165568,0.001004299963824451,0.39956920046523103,6.3931072074436965,2.502695400035009,0.1538243466677765,0.19455950008705258
29491200,7200,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,024761e80bb011ebab90acde48001122,0.03514979989267886,16,not_captured,0.008639900013804436,23068672,0.02380670001730323,True,inherited_qwen_gate3_single_request,1255225856,1298137088,0.008639900013804436,0.3548377046978041,5.677403275164866,2.8181897999020293,0.17362093333310138,0.21322989999316633
9175040,2240,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,0360770a0baf11ebab90acde48001122,0.006706300075165927,15,not_captured,0.008630900061689317,3670016,0.0038528001168742776,True,inherited_qwen_gate3_single_request,1218340864,1260388352,0.008630900061689317,0.5651245266073687,8.47686789911053,1.7695214999839664,0.11481087142601609,0.1614561000606045
16416768,4008,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,0360770a0baf11ebab90acde48001122,0.01657159987371415,15,not_captured,0.0008100999984890223,10911744,0.010068900068290532,True,inherited_qwen_gate3_single_request,1228862976,1281359872,0.0008100999984890223,0.5036817118471519,7.55522567770728,1.9853807999752462,0.12944725714623928,0.17187999992165715
26902528,6568,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,0360770a0baf11ebab90acde48001122,0.025301799876615405,15,not_captured,0.004872199962846935,21397504,0.017292800126597285,True,inherited_qwen_gate3_single_request,1244861952,1302331392,0.004872199962846935,0.4499739240220829,6.749608860331244,2.2223509999457747,0.14452632143261976,0.19830609997734427
7208960,1760,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,036c82480baf11ebab90acde48001122,0.00518720003310591,6,not_captured,0.003986800089478493,2621440,0.0029060000088065863,True,inherited_qwen_gate3_single_request,1218632192,1277165568,0.003986800089478493,1.343965353454639,8.063792120727834,0.7440668001072481,0.11699901998508722,0.15820450009778142
18317312,4472,graph_balanced,not_measurable_local_hardware,2wikimultihopqa,E1_medium,036c82480baf11ebab90acde48001122,0.024014199967496097,16,not_captured,0.0008445000275969505,12582912,0.015180100104771554,True,inherited_qwen_gate3_single_request,1234646016,1298137088,0.0008445000275969505,0.4774091653826508,7.638546646122413,2.0946393000194803,0.12793803999666126,0.17489150003530085
28803072,7032,graph_high,not_measurable_local_hardware,2wikimultihopqa,E2_high,036c82480baf11ebab90acde48001122,0.028976499917916954,16,not_captured,0.005509600043296814,23068672,0.019835100043565035,True,inherited_qwen_gate3_single_request,1249451008,1319108608,0.005509600043296814,0.40101390753141447,6.4162225205026315,2.4936790999490768,0.15312604000015806,0.19617229991126806
9355264,2284,graph_sparse,not_measurable_local_hardware,2wikimultihopqa,E0_low,03e971d208d911ebbd9cac1f6bf848b6,0.008191099972464144,3,not_captured,0.003478799946606159,4194304,0.0047524000983685255,True,inherited_qwen_gate3_single_request,1219875328,1262485504,0.003478799946606159,2.1448839049999187,6.434651714999755,0.4662256999872625,0.14237860002322122,0.18061459995806217
