dataset,example_id,policy,N,E,K_search,K_admit,search_K_over_N,admit_K_over_N,search_R_E,admit_R_E,KV_active
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,factorized_oracle,14,1,1,1,0.07142857142857142,0.07142857142857142,1.0,1.0,256.0
qasper,2003.11645:c2d1387e08cf25cb6b1f482178cca58030e85b70,factorized_oracle,14,1,1,1,0.07142857142857142,0.07142857142857142,1.0,1.0,256.0
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,factorized_oracle,19,2,1,1,0.05263157894736842,0.05263157894736842,0.5,0.5,256.0
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,factorized_oracle,19,2,2,2,0.10526315789473684,0.10526315789473684,0.5,0.5,512.0
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,factorized_oracle,19,2,1,1,0.05263157894736842,0.05263157894736842,0.5,0.5,256.0
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,factorized_oracle,19,2,4,4,0.21052631578947367,0.21052631578947367,0.5,0.5,1024.0
qasper,1912.03804:2ccc26e11df4eb26fcccdd1f446dc749aff5d572,factorized_oracle,19,2,1,1,0.05263157894736842,0.05263157894736842,0.5,0.5,256.0
qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,factorized_oracle,9,1,1,1,0.1111111111111111,0.1111111111111111,1.0,1.0,256.0
qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,factorized_oracle,9,1,1,1,0.1111111111111111,0.1111111111111111,1.0,1.0,256.0
qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,factorized_oracle,9,1,1,1,0.1111111111111111,0.1111111111111111,1.0,1.0,256.0
qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,factorized_oracle,9,1,2,2,0.2222222222222222,0.2222222222222222,1.0,1.0,512.0
qasper,2002.04181:1329280df5ee9e902b2742bde4a97bc3e6573ff3,factorized_oracle,9,1,1,1,0.1111111111111111,0.1111111111111111,1.0,1.0,256.0
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,factorized_oracle,21,1,2,2,0.09523809523809523,0.09523809523809523,1.0,1.0,512.0
