dataset,example_id,query_representation,contextual_representation,depth,cosine_similarity,cosine_drift
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,S6_native_q_l13_mean,S8_context_native_q_l13_mean,14,0.9048887491226196,0.09511125087738037
qasper,2002.03407:b5608076d91450b0d295ad14c3e3a90d7e168d0e,S6_native_q_l23_mean,S8_context_native_q_l23_mean,24,0.9641318321228027,0.035868167877197266
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,S4_hidden_l14_mean,S8_context_hidden_l14_mean,14,0.9372169971466064,0.06278300285339355
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,S5_hidden_l28_mean,S8_context_hidden_l28_mean,28,0.9131526947021484,0.08684730529785156
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,S6_native_q_l13_mean,S8_context_native_q_l13_mean,14,0.9236272573471069,0.07637274265289307
qasper,1611.03599:e330e162ec29722f5ec9f83853d129c9e0693d65,S6_native_q_l23_mean,S8_context_native_q_l23_mean,24,0.952934980392456,0.047065019607543945
qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,S4_hidden_l14_mean,S8_context_hidden_l14_mean,14,0.9225466251373291,0.0774533748626709
qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,S5_hidden_l28_mean,S8_context_hidden_l28_mean,28,0.9640100002288818,0.035989999771118164
qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,S6_native_q_l13_mean,S8_context_native_q_l13_mean,14,0.965258002281189,0.034741997718811035
qasper,2004.04721:664b3eadc12c8dde309e8bbd59e9af961a433cde,S6_native_q_l23_mean,S8_context_native_q_l23_mean,24,0.9797719717025757,0.020228028297424316
