protocol,seed,payload_tokens,payload_bytes,record_type,condition,effective_mode,native_index_state,native_index_requested,native_index_built,native_index_skipped_reason,native_index_tokens,native_index_bytes,native_index_latency_ms,agent_compression_ttuc_ms,time_to_usable_context_ms,cheap_index_modes_built,cheap_index_bytes,cheap_search_latency_ms,selected_region_native_latency_ms,selected_region_tokens,lazy_native_regions_encoded,evidence_recall,active_kv_tokens,routing_index_bytes,resident_detail_kv_bytes,search_available,cursor_available,full_materialization_available
paper7-native-index-size-gate-v1,11,65536,713647,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 65536,,713647,0.0,242.659900104627,247.67559999600053,entity;lexical;rare_term,14005,75.07690018974245,2.09950003772974,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,11,65536,713647,terminal_output,CURSOR_SEARCH_ONLY,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 0,,713647,0.0,260.83160005509853,269.71439993940294,entity;lexical;rare_term,14005,84.78499995544553,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,23,65536,713647,terminal_output,FULL_BODY_NATIVE,PRA_NATIVE,BUILT,1,1,,65536,713647,178.24839986860752,252.1464000456035,607.7262000180781,entity;lexical;rare_term,14005,70.61329996213317,0.0,0,0,1,272,131840,16860672,1,1,1
paper7-native-index-size-gate-v1,23,65536,713647,terminal_output,SIZE_GATED_CHEAP,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 65536,,713647,0.0,241.9724001083523,248.8242001272738,entity;lexical;rare_term,14005,76.4979999512434,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,23,65536,713647,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 65536,,713647,0.0,274.32750002481043,278.1962000299245,entity;lexical;rare_term,14005,80.22869983687997,2.4266999680548906,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,23,65536,713647,terminal_output,CURSOR_SEARCH_ONLY,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 0,,713647,0.0,251.05349998921156,257.42839998565614,entity;lexical;rare_term,14005,74.25239984877408,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,37,65536,713647,terminal_output,FULL_BODY_NATIVE,PRA_NATIVE,BUILT,1,1,,65536,713647,174.30329998023808,258.7051000446081,595.7196999806911,entity;lexical;rare_term,14005,62.59079999290407,0.0,0,0,1,272,131840,16860672,1,1,1
paper7-native-index-size-gate-v1,37,65536,713647,terminal_output,SIZE_GATED_CHEAP,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 65536,,713647,0.0,239.9784999433905,246.8510998878628,entity;lexical;rare_term,14005,79.406299861148,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,37,65536,713647,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 65536,,713647,0.0,251.43299996852875,256.4538000151515,entity;lexical;rare_term,14005,72.34190008603036,2.301500178873539,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,37,65536,713647,terminal_output,CURSOR_SEARCH_ONLY,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 0,,713647,0.0,240.98210013471544,246.7943001538515,entity;lexical;rare_term,14005,73.34270002320409,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,53,65536,713647,terminal_output,FULL_BODY_NATIVE,PRA_NATIVE,BUILT,1,1,,65536,713647,109.08730002120137,211.0848999582231,423.7427001353353,entity;lexical;rare_term,14005,44.071999844163656,0.0,0,0,1,272,131840,16860672,1,1,1
paper7-native-index-size-gate-v1,53,65536,713647,terminal_output,SIZE_GATED_CHEAP,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 65536,,713647,0.0,251.2745000422001,256.7127998918295,entity;lexical;rare_term,14005,86.2025001551956,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,53,65536,713647,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 65536,,713647,0.0,252.17289989814162,259.8335000220686,entity;lexical;rare_term,14005,70.08529989980161,1.9376999698579311,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,53,65536,713647,terminal_output,CURSOR_SEARCH_ONLY,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 0,,713647,0.0,270.54350008256733,276.0038000997156,entity;lexical;rare_term,14005,112.45880019851029,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,71,65536,713647,terminal_output,FULL_BODY_NATIVE,PRA_NATIVE,BUILT,1,1,,65536,713647,184.65150007978082,234.37489988282323,592.0431998092681,entity;lexical;rare_term,14005,65.30799996107817,0.0,0,0,1,272,131840,16860672,1,1,1
paper7-native-index-size-gate-v1,71,65536,713647,terminal_output,SIZE_GATED_CHEAP,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 65536,,713647,0.0,261.9682000949979,266.11840003170073,entity;lexical;rare_term,14005,95.02459992654622,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,71,65536,713647,terminal_output,SIZE_GATED_LAZY_NATIVE,PRA_SIZE_GATED_LAZY,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 65536,,713647,0.0,252.03719991259277,257.37129990011454,entity;lexical;rare_term,14005,69.27499989978969,1.9718001130968332,32,1,1,32,896,94208,1,1,1
paper7-native-index-size-gate-v1,71,65536,713647,terminal_output,CURSOR_SEARCH_ONLY,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,713647 bytes exceed configured limit 0,,713647,0.0,229.93120015598834,234.88460015505552,entity;lexical;rare_term,14005,82.01549993827939,0.0,0,0,1,272,768,86016,1,1,1
paper7-native-index-size-gate-v1,11,262144,2854665,terminal_output,FULL_BODY_NATIVE,PRA_NATIVE,BUILT,1,1,,262144,2854665,689.3488001078367,927.1595999598503,2111.298299860209,entity;lexical;rare_term,14005,255.4823998361826,0.0,0,0,1,272,525056,67192320,1,1,1
paper7-native-index-size-gate-v1,11,262144,2854665,terminal_output,SIZE_GATED_CHEAP,PRA_SIZE_GATED,SKIPPED_SIZE_LIMIT,1,0,2854665 bytes exceed configured limit 65536,,2854665,0.0,945.9373001009226,953.3683001063764,entity;lexical;rare_term,14005,284.93060008622706,0.0,0,0,1,272,768,86016,1,1,1
