catalog_size,strategy,max_candidates,required_recall_mean,required_recall_std,useful_precision_mean,useful_precision_std,unsafe_exposure_mean,unsafe_exposure_std,context_tokens_mean,context_tokens_std
512,A7_diversity_union,2,0.5638888888888889,0.023240556292613204,0.31527777777777777,0.01794168150383862,0.03194444444444444,0.021739549781247956,195.7263888888889,1.5325729671670927
512,A7_diversity_union,3,0.6694444444444445,0.0262606533349848,0.2513888888888889,0.011643311425888245,0.07638888888888888,0.037717987816667416,300.41805555555555,1.5100965497299097
512,A7_diversity_union,4,0.6944444444444444,0.026895717681995942,0.20347222222222222,0.0058101390731532965,0.08611111111111111,0.03977172517576765,406.74861111111113,1.6622946127656333
512,A7_diversity_union,5,0.7347222222222223,0.030030205986721722,0.17472222222222222,0.0066172940275397805,0.11388888888888889,0.06261563377138805,513.3180555555556,2.397017621949865
512,A7_diversity_union,6,0.7611111111111111,0.010531771450071599,0.1532407407407407,0.004814035727566077,0.13194444444444445,0.07200153247683236,619.3708333333334,1.8264060518838447
512,A7_diversity_union,8,0.7833333333333333,0.012422599874998826,0.12118055555555556,0.0024243472298210067,0.1736111111111111,0.05533811614760148,834.2361111111111,2.74901339625288
512,A7_diversity_union,10,0.8041666666666666,0.01927005128543282,0.10083333333333333,0.002474795789056314,0.225,0.05069920069012216,1049.8111111111111,2.7156391845301484
512,A7_diversity_union,20,0.851388888888889,0.015987311712807414,0.05513888888888889,0.0010531771450071586,0.4333333333333333,0.040670973512073126,2132.1013888888892,1.6582585945376185
512,A7_fused_score,2,0.5402777777777777,0.015055196797693585,0.2965277777777778,0.013581671677505514,0.07222222222222222,0.021177709280523486,200.54583333333335,0.5087155135883222
512,A7_fused_score,3,0.5916666666666666,0.013357905598382902,0.22314814814814815,0.007246516593749302,0.09305555555555556,0.028463752127665554,307.6069444444444,0.6793427401849121
512,A7_fused_score,4,0.625,0.020246360745990687,0.18125,0.005571807824958766,0.10972222222222223,0.023753654689565373,414.4611111111111,1.121163296467427
512,A7_fused_score,5,0.6527777777777778,0.02986918495500911,0.15416666666666667,0.004166666666666666,0.13333333333333336,0.020483168338545306,521.4458333333333,1.1579265039631086
512,A7_fused_score,6,0.6666666666666667,0.028208466682763784,0.13379629629629625,0.004299577690047841,0.15138888888888888,0.031974623425614836,629.0833333333333,1.1268631690901616
512,A7_fused_score,8,0.711111111111111,0.027163343355011027,0.11059027777777777,0.004451694932277107,0.18055555555555555,0.04252586358998573,843.7486111111111,1.8119637882865378
512,A7_fused_score,10,0.7541666666666667,0.02000675040401104,0.09569444444444444,0.002962601251069661,0.2111111111111111,0.04973890160963884,1058.736111111111,2.0280096423754395
512,A7_fused_score,20,0.8375,0.020006750404011005,0.055208333333333325,0.001041666666666663,0.43194444444444446,0.05713889564090059,2139.2111111111108,2.023364918677808
512,A7_raw_union,2,0.35416666666666663,0.02598373185259682,0.20625,0.012422599874998837,0.04722222222222222,0.02375365468956538,200.25416666666666,0.8423070079721562
512,A7_raw_union,3,0.6194444444444445,0.011410886614690956,0.2333333333333333,0.0030181492616679012,0.075,0.03308647013769887,301.09305555555557,0.4755955898906844
512,A7_raw_union,4,0.7208333333333334,0.02707442873558045,0.20555555555555555,0.007324660801989226,0.0875,0.043810584154409735,406.9194444444444,1.6905593552555278
512,A7_raw_union,5,0.7402777777777778,0.023344078213849456,0.1738888888888889,0.0055032257655996996,0.10555555555555556,0.041201102706087005,514.0375,1.8342182733749908
512,A7_raw_union,6,0.763888888888889,0.017010345435994275,0.15277777777777773,0.003660043588157854,0.13194444444444445,0.05334128991575423,620.5875,1.7913476783220272
512,A7_raw_union,8,0.7875,0.013537214367790288,0.12100694444444444,0.0039110695576627785,0.1625,0.05437105314184273,834.9861111111111,2.8185719777623532
512,A7_raw_union,10,0.8013888888888889,0.017430417219459926,0.10097222222222224,0.0022287231299835007,0.20833333333333334,0.04195502074164781,1049.9444444444446,2.638582767332087
512,A7_raw_union,20,0.8541666666666666,0.012991865926298413,0.05534722222222223,0.0007993655856403705,0.40694444444444444,0.026715811196765762,2131.925,2.052875740032137
2048,A2_topk,2,0.5222222222222221,0.01242259987499884,0.2618055555555555,0.005810139073153298,0.08055555555555556,0.006211299937499412,203.7125,0.6571697699084066
2048,A2_topk,3,0.5527777777777778,0.026260653334984785,0.19027777777777777,0.009024809578526813,0.08333333333333334,0.0069444444444444415,311.7944444444444,0.6485642678778298
2048,A2_topk,4,0.5875,0.01743041721945989,0.15347222222222223,0.006088777054427146,0.08611111111111111,0.006211299937499415,420.0,0.51082985921119
2048,A2_topk,5,0.6138888888888889,0.011620278146306572,0.12972222222222224,0.0021063542900143124,0.09027777777777778,0.004910463758239916,528.5166666666667,0.4700881106666564
2048,A2_topk,6,0.6319444444444444,0.020833333333333277,0.11111111111111108,0.0033743934576651,0.09305555555555556,0.003803628871563657,637.5,0.7847375858869304
2048,A2_topk,8,0.6625,0.02334407821384942,0.08888888888888888,0.0024243472298209993,0.10138888888888889,0.010531771450071599,855.0041666666666,0.9776707446152322
2048,A2_topk,10,0.6791666666666666,0.019885862587883815,0.07402777777777778,0.0015214515486254652,0.11388888888888889,0.01743041721945991,1072.8069444444445,0.45881708477773586
2048,A2_topk,20,0.725,0.010531771450071642,0.041527777777777775,0.0013357905598382891,0.2638888888888889,0.026443656617583015,2163.9972222222223,1.4659079082161455
2048,A5_topk,2,0.27361111111111114,0.007917884896521801,0.1625,0.0038036288715636466,0.04444444444444444,0.010531771450071597,208.0791666666667,0.4678257348734404
2048,A5_topk,3,0.3,0.011410886614690946,0.11851851851851851,0.005278589931014526,0.05138888888888889,0.014400306495366473,315.5055555555556,0.6046533799430581
2048,A5_topk,4,0.3138888888888889,0.010300275676521746,0.09375,0.004426232216660399,0.06666666666666668,0.006211299937499419,423.7597222222222,0.7141745807504588
2048,A5_topk,5,0.33333333333333337,0.006944444444444435,0.07944444444444446,0.0022821773229381873,0.08194444444444444,0.0058101390731533,531.975,0.5229724590275049
2048,A5_topk,6,0.3458333333333333,0.009054447785003675,0.06898148148148146,0.0017552952416786001,0.09444444444444444,0.00791788489652179,640.5611111111111,0.21502000696458257
2048,A5_topk,8,0.37083333333333335,0.015987311712807383,0.05659722222222222,0.002072454233734955,0.1125,0.009054447785003675,857.4958333333334,0.5569124055622076
