dataset,policy,E,examples,N,K,recovered,R_E,P_E,C_E,K_over_N,K_over_E,rho,eta
hotpotqa,bm25->hybrid_state,7.0,2,48.5,4.0,0.0,0.0,0.0,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,0.0
hotpotqa,bm25->native_semantic,3.0,1,48.0,4.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,0.0
hotpotqa,bm25->native_semantic,4.0,8,50.875,4.0,0.375,0.09375,0.09375,0.0,0.0936817672494812,1.0,0.9063182327505188,1.6015625
hotpotqa,bm25->native_semantic,5.0,4,47.0,4.0,0.25,0.05,0.0625,0.0,0.08767942583732058,0.8,0.9123205741626794,0.6875000000000001
hotpotqa,bm25->native_semantic,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,bm25->native_semantic,7.0,2,48.5,4.0,0.5,0.07142857142857142,0.125,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,0.8928571428571428
hotpotqa,exact->bm25_state,3.0,1,48.0,4.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,0.0
hotpotqa,exact->bm25_state,4.0,8,50.875,4.0,0.625,0.15625,0.15625,0.0,0.0936817672494812,1.0,0.9063182327505188,2.140625
hotpotqa,exact->bm25_state,5.0,4,47.0,4.0,0.25,0.05,0.0625,0.0,0.08767942583732058,0.8,0.9123205741626794,0.5
hotpotqa,exact->bm25_state,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,exact->bm25_state,7.0,2,48.5,4.0,0.0,0.0,0.0,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,0.0
hotpotqa,exact->exact_new_address,3.0,1,48.0,4.0,1.0,0.3333333333333333,0.25,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,4.0
hotpotqa,exact->exact_new_address,4.0,8,50.875,4.0,0.625,0.15625,0.15625,0.0,0.0936817672494812,1.0,0.9063182327505188,2.8203125
hotpotqa,exact->exact_new_address,5.0,4,47.0,4.0,0.0,0.0,0.0,0.0,0.08767942583732058,0.8,0.9123205741626794,0.0
hotpotqa,exact->exact_new_address,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,exact->exact_new_address,7.0,2,48.5,4.0,0.5,0.07142857142857142,0.125,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,0.8392857142857143
hotpotqa,exact->hybrid_state,3.0,1,48.0,4.0,1.0,0.3333333333333333,0.25,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,4.0
hotpotqa,exact->hybrid_state,4.0,8,50.875,4.0,0.75,0.1875,0.1875,0.0,0.0936817672494812,1.0,0.9063182327505188,3.046875
hotpotqa,exact->hybrid_state,5.0,4,47.0,4.0,0.0,0.0,0.0,0.0,0.08767942583732058,0.8,0.9123205741626794,0.0
hotpotqa,exact->hybrid_state,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,exact->hybrid_state,7.0,2,48.5,4.0,0.5,0.07142857142857142,0.125,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,0.8392857142857143
hotpotqa,exact->native_semantic,3.0,1,48.0,4.0,1.0,0.3333333333333333,0.25,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,4.0
hotpotqa,exact->native_semantic,4.0,8,50.875,4.0,0.625,0.15625,0.15625,0.0,0.0936817672494812,1.0,0.9063182327505188,2.0625
hotpotqa,exact->native_semantic,5.0,4,47.0,4.0,0.25,0.05,0.0625,0.0,0.08767942583732058,0.8,0.9123205741626794,0.6875000000000001
hotpotqa,exact->native_semantic,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,exact->native_semantic,7.0,2,48.5,4.0,1.0,0.14285714285714285,0.25,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,1.7321428571428572
hotpotqa,gist->bm25_state,3.0,1,48.0,4.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,0.0
hotpotqa,gist->bm25_state,4.0,8,50.875,4.0,0.25,0.0625,0.0625,0.0,0.0936817672494812,1.0,0.9063182327505188,1.2890625
hotpotqa,gist->bm25_state,5.0,4,47.0,4.0,0.25,0.05,0.0625,0.0,0.08767942583732058,0.8,0.9123205741626794,0.6875000000000001
hotpotqa,gist->bm25_state,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,gist->bm25_state,7.0,2,48.5,4.0,0.5,0.07142857142857142,0.125,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,0.8392857142857143
hotpotqa,gist->exact_new_address,3.0,1,48.0,4.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,0.0
hotpotqa,gist->exact_new_address,4.0,8,50.875,4.0,0.5,0.125,0.125,0.0,0.0936817672494812,1.0,0.9063182327505188,2.6484375
hotpotqa,gist->exact_new_address,5.0,4,47.0,4.0,0.25,0.05,0.0625,0.0,0.08767942583732058,0.8,0.9123205741626794,0.6875000000000001
hotpotqa,gist->exact_new_address,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,gist->exact_new_address,7.0,2,48.5,4.0,0.5,0.07142857142857142,0.125,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,0.8392857142857143
hotpotqa,gist->hybrid_state,3.0,1,48.0,4.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,0.0
hotpotqa,gist->hybrid_state,4.0,8,50.875,4.0,0.625,0.15625,0.15625,0.0,0.0936817672494812,1.0,0.9063182327505188,2.2890625
hotpotqa,gist->hybrid_state,5.0,4,47.0,4.0,0.0,0.0,0.0,0.0,0.08767942583732058,0.8,0.9123205741626794,0.0
hotpotqa,gist->hybrid_state,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,gist->hybrid_state,7.0,2,48.5,4.0,0.5,0.07142857142857142,0.125,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,0.8392857142857143
hotpotqa,gist->native_semantic,3.0,1,48.0,4.0,1.0,0.3333333333333333,0.25,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,4.0
hotpotqa,gist->native_semantic,4.0,8,50.875,4.0,0.5,0.125,0.125,0.0,0.0936817672494812,1.0,0.9063182327505188,1.921875
hotpotqa,gist->native_semantic,5.0,4,47.0,4.0,0.0,0.0,0.0,0.0,0.08767942583732058,0.8,0.9123205741626794,0.0
hotpotqa,gist->native_semantic,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,gist->native_semantic,7.0,2,48.5,4.0,1.0,0.14285714285714285,0.25,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,1.6785714285714286
hotpotqa,hybrid->bm25_state,3.0,1,48.0,4.0,0.0,0.0,0.0,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,0.0
hotpotqa,hybrid->bm25_state,4.0,8,50.875,4.0,0.5,0.125,0.125,0.0,0.0936817672494812,1.0,0.9063182327505188,1.828125
hotpotqa,hybrid->bm25_state,5.0,4,47.0,4.0,0.25,0.05,0.0625,0.0,0.08767942583732058,0.8,0.9123205741626794,0.5
hotpotqa,hybrid->bm25_state,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,hybrid->bm25_state,7.0,2,48.5,4.0,0.0,0.0,0.0,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,0.0
hotpotqa,hybrid->exact_new_address,3.0,1,48.0,4.0,1.0,0.3333333333333333,0.25,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,4.0
hotpotqa,hybrid->exact_new_address,4.0,8,50.875,4.0,0.625,0.15625,0.15625,0.0,0.0936817672494812,1.0,0.9063182327505188,2.8203125
hotpotqa,hybrid->exact_new_address,5.0,4,47.0,4.0,0.0,0.0,0.0,0.0,0.08767942583732058,0.8,0.9123205741626794,0.0
hotpotqa,hybrid->exact_new_address,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,hybrid->exact_new_address,7.0,2,48.5,4.0,0.5,0.07142857142857142,0.125,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,0.8392857142857143
hotpotqa,hybrid->hybrid_state,3.0,1,48.0,4.0,1.0,0.3333333333333333,0.25,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,4.0
hotpotqa,hybrid->hybrid_state,4.0,8,50.875,4.0,0.75,0.1875,0.1875,0.0,0.0936817672494812,1.0,0.9063182327505188,3.046875
hotpotqa,hybrid->hybrid_state,5.0,4,47.0,4.0,0.0,0.0,0.0,0.0,0.08767942583732058,0.8,0.9123205741626794,0.0
hotpotqa,hybrid->hybrid_state,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,hybrid->hybrid_state,7.0,2,48.5,4.0,0.5,0.07142857142857142,0.125,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,0.8392857142857143
hotpotqa,hybrid->native_semantic,3.0,1,48.0,4.0,1.0,0.3333333333333333,0.25,0.0,0.08333333333333333,1.3333333333333333,0.9166666666666666,4.0
hotpotqa,hybrid->native_semantic,4.0,8,50.875,4.0,0.5,0.125,0.125,0.0,0.0936817672494812,1.0,0.9063182327505188,1.75
hotpotqa,hybrid->native_semantic,5.0,4,47.0,4.0,0.25,0.05,0.0625,0.0,0.08767942583732058,0.8,0.9123205741626794,0.6875000000000001
hotpotqa,hybrid->native_semantic,6.0,1,62.0,4.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.6666666666666666,0.935483870967742,0.0
hotpotqa,hybrid->native_semantic,7.0,2,48.5,4.0,0.5,0.07142857142857142,0.125,0.0,0.0825531914893617,0.5714285714285714,0.9174468085106383,0.8392857142857143
musique,approx->bm25_state,10.0,2,73.0,4.0,0.5,0.05,0.125,0.0,0.05631629701060752,0.4,0.9436837029893925,0.7625
musique,approx->bm25_state,11.0,2,66.0,4.0,0.0,0.0,0.0,0.0,0.06066176470588235,0.36363636363636365,0.9393382352941176,0.0
musique,approx->bm25_state,12.0,4,76.5,4.0,0.75,0.0625,0.1875,0.0,0.05328631941535167,0.3333333333333333,0.9467136805846483,1.2395833333333333
musique,approx->bm25_state,14.0,2,81.0,4.0,1.0,0.07142857142857142,0.25,0.0,0.05,0.2857142857142857,0.95,1.4464285714285714
musique,approx->bm25_state,16.0,1,87.0,4.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.25,0.9540229885057472,0.0
musique,approx->bm25_state,26.0,2,91.0,4.0,1.5,0.057692307692307696,0.375,0.0,0.044003868471953575,0.15384615384615385,0.9559961315280465,1.2692307692307692
musique,approx->bm25_state,30.0,1,94.0,4.0,2.0,0.06666666666666667,0.5,0.0,0.0425531914893617,0.13333333333333333,0.9574468085106383,1.5666666666666667
musique,approx->bm25_state,32.0,1,94.0,4.0,1.0,0.03125,0.25,0.0,0.0425531914893617,0.125,0.9574468085106383,0.734375
musique,approx->bm25_state,7.0,2,78.0,4.0,0.5,0.07142857142857142,0.125,0.0,0.051587301587301584,0.5714285714285714,0.9484126984126984,1.2857142857142858
musique,approx->bm25_state,8.0,1,110.0,4.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.5,0.9636363636363636,0.0
musique,approx->exact_new_address,10.0,2,73.0,4.0,1.5,0.15000000000000002,0.375,0.0,0.05631629701060752,0.4,0.9436837029893925,2.5875
musique,approx->exact_new_address,11.0,2,66.0,4.0,0.0,0.0,0.0,0.0,0.06066176470588235,0.36363636363636365,0.9393382352941176,0.0
musique,approx->exact_new_address,12.0,4,76.5,4.0,0.5,0.041666666666666664,0.125,0.0,0.05328631941535167,0.3333333333333333,0.9467136805846483,0.78125
musique,approx->exact_new_address,14.0,2,81.0,4.0,1.5,0.10714285714285714,0.375,0.0,0.05,0.2857142857142857,0.95,2.25
musique,approx->exact_new_address,16.0,1,87.0,4.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.25,0.9540229885057472,0.0
musique,approx->exact_new_address,26.0,2,91.0,4.0,1.0,0.038461538461538464,0.25,0.0,0.044003868471953575,0.15384615384615385,0.9559961315280465,0.8461538461538461
musique,approx->exact_new_address,30.0,1,94.0,4.0,4.0,0.13333333333333333,1.0,0.0,0.0425531914893617,0.13333333333333333,0.9574468085106383,3.1333333333333333
musique,approx->exact_new_address,32.0,1,94.0,4.0,1.0,0.03125,0.25,0.0,0.0425531914893617,0.125,0.9574468085106383,0.734375
musique,approx->exact_new_address,7.0,2,78.0,4.0,0.0,0.0,0.0,0.0,0.051587301587301584,0.5714285714285714,0.9484126984126984,0.0
musique,approx->exact_new_address,8.0,1,110.0,4.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.5,0.9636363636363636,0.0
musique,approx->hybrid_state,10.0,2,73.0,4.0,1.0,0.1,0.25,0.0,0.05631629701060752,0.4,0.9436837029893925,1.825
musique,approx->hybrid_state,11.0,2,66.0,4.0,0.0,0.0,0.0,0.0,0.06066176470588235,0.36363636363636365,0.9393382352941176,0.0
musique,approx->hybrid_state,12.0,4,76.5,4.0,0.5,0.041666666666666664,0.125,0.0,0.05328631941535167,0.3333333333333333,0.9467136805846483,0.78125
musique,approx->hybrid_state,14.0,2,81.0,4.0,1.0,0.07142857142857142,0.25,0.0,0.05,0.2857142857142857,0.95,1.4464285714285714
musique,approx->hybrid_state,16.0,1,87.0,4.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.25,0.9540229885057472,0.0
musique,approx->hybrid_state,26.0,2,91.0,4.0,1.0,0.038461538461538464,0.25,0.0,0.044003868471953575,0.15384615384615385,0.9559961315280465,0.8461538461538461
musique,approx->hybrid_state,30.0,1,94.0,4.0,4.0,0.13333333333333333,1.0,0.0,0.0425531914893617,0.13333333333333333,0.9574468085106383,3.1333333333333333
musique,approx->hybrid_state,32.0,1,94.0,4.0,1.0,0.03125,0.25,0.0,0.0425531914893617,0.125,0.9574468085106383,0.734375
musique,approx->hybrid_state,7.0,2,78.0,4.0,0.0,0.0,0.0,0.0,0.051587301587301584,0.5714285714285714,0.9484126984126984,0.0
musique,approx->hybrid_state,8.0,1,110.0,4.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.5,0.9636363636363636,0.0
musique,approx->native_semantic,10.0,2,73.0,4.0,0.5,0.05,0.125,0.0,0.05631629701060752,0.4,0.9436837029893925,0.7625
musique,approx->native_semantic,11.0,2,66.0,4.0,0.0,0.0,0.0,0.0,0.06066176470588235,0.36363636363636365,0.9393382352941176,0.0
musique,approx->native_semantic,12.0,4,76.5,4.0,1.25,0.10416666666666666,0.3125,0.0,0.05328631941535167,0.3333333333333333,0.9467136805846483,2.03125
musique,approx->native_semantic,14.0,2,81.0,4.0,1.0,0.07142857142857142,0.25,0.0,0.05,0.2857142857142857,0.95,1.4464285714285714
musique,approx->native_semantic,16.0,1,87.0,4.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.25,0.9540229885057472,0.0
musique,approx->native_semantic,26.0,2,91.0,4.0,1.0,0.038461538461538464,0.25,0.0,0.044003868471953575,0.15384615384615385,0.9559961315280465,0.8461538461538461
musique,approx->native_semantic,30.0,1,94.0,4.0,2.0,0.06666666666666667,0.5,0.0,0.0425531914893617,0.13333333333333333,0.9574468085106383,1.5666666666666667
musique,approx->native_semantic,32.0,1,94.0,4.0,1.0,0.03125,0.25,0.0,0.0425531914893617,0.125,0.9574468085106383,0.734375
musique,approx->native_semantic,7.0,2,78.0,4.0,0.0,0.0,0.0,0.0,0.051587301587301584,0.5714285714285714,0.9484126984126984,0.0
musique,approx->native_semantic,8.0,1,110.0,4.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.5,0.9636363636363636,0.0
musique,bm25->bm25_state,10.0,2,73.0,4.0,1.5,0.15,0.375,0.0,0.05631629701060752,0.4,0.9436837029893925,2.2874999999999996
musique,bm25->bm25_state,11.0,2,66.0,4.0,0.5,0.045454545454545456,0.125,0.0,0.06066176470588235,0.36363636363636365,0.9393382352941176,0.7727272727272727
musique,bm25->bm25_state,12.0,4,76.5,4.0,0.75,0.0625,0.1875,0.0,0.05328631941535167,0.3333333333333333,0.9467136805846483,1.2395833333333333
musique,bm25->bm25_state,14.0,2,81.0,4.0,1.0,0.07142857142857142,0.25,0.0,0.05,0.2857142857142857,0.95,1.4464285714285714
musique,bm25->bm25_state,16.0,1,87.0,4.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.25,0.9540229885057472,0.0
musique,bm25->bm25_state,26.0,2,91.0,4.0,1.5,0.057692307692307696,0.375,0.0,0.044003868471953575,0.15384615384615385,0.9559961315280465,1.2980769230769231
musique,bm25->bm25_state,30.0,1,94.0,4.0,2.0,0.06666666666666667,0.5,0.0,0.0425531914893617,0.13333333333333333,0.9574468085106383,1.5666666666666667
musique,bm25->bm25_state,32.0,1,94.0,4.0,1.0,0.03125,0.25,0.0,0.0425531914893617,0.125,0.9574468085106383,0.734375
musique,bm25->bm25_state,7.0,2,78.0,4.0,0.5,0.07142857142857142,0.125,0.0,0.051587301587301584,0.5714285714285714,0.9484126984126984,1.2857142857142858
musique,bm25->bm25_state,8.0,1,110.0,4.0,2.0,0.25,0.5,0.0,0.03636363636363636,0.5,0.9636363636363636,6.875
musique,bm25->exact_new_address,10.0,2,73.0,4.0,2.0,0.2,0.5,0.0,0.05631629701060752,0.4,0.9436837029893925,3.3499999999999996
musique,bm25->exact_new_address,11.0,2,66.0,4.0,0.5,0.045454545454545456,0.125,0.0,0.06066176470588235,0.36363636363636365,0.9393382352941176,0.7727272727272727
musique,bm25->exact_new_address,12.0,4,76.5,4.0,1.0,0.08333333333333333,0.25,0.0,0.05328631941535167,0.3333333333333333,0.9467136805846483,1.6770833333333333
musique,bm25->exact_new_address,14.0,2,81.0,4.0,2.0,0.14285714285714285,0.5,0.0,0.05,0.2857142857142857,0.95,2.892857142857143
musique,bm25->exact_new_address,16.0,1,87.0,4.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.25,0.9540229885057472,0.0
musique,bm25->exact_new_address,26.0,2,91.0,4.0,2.0,0.07692307692307693,0.5,0.0,0.044003868471953575,0.15384615384615385,0.9559961315280465,1.7211538461538463
musique,bm25->exact_new_address,30.0,1,94.0,4.0,1.0,0.03333333333333333,0.25,0.0,0.0425531914893617,0.13333333333333333,0.9574468085106383,0.7833333333333333
musique,bm25->exact_new_address,32.0,1,94.0,4.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.125,0.9574468085106383,0.0
musique,bm25->exact_new_address,7.0,2,78.0,4.0,0.0,0.0,0.0,0.0,0.051587301587301584,0.5714285714285714,0.9484126984126984,0.0
musique,bm25->exact_new_address,8.0,1,110.0,4.0,2.0,0.25,0.5,0.0,0.03636363636363636,0.5,0.9636363636363636,6.875
musique,bm25->hybrid_state,10.0,2,73.0,4.0,2.0,0.2,0.5,0.0,0.05631629701060752,0.4,0.9436837029893925,3.3499999999999996
musique,bm25->hybrid_state,11.0,2,66.0,4.0,0.5,0.045454545454545456,0.125,0.0,0.06066176470588235,0.36363636363636365,0.9393382352941176,0.7727272727272727
musique,bm25->hybrid_state,12.0,4,76.5,4.0,1.0,0.08333333333333333,0.25,0.0,0.05328631941535167,0.3333333333333333,0.9467136805846483,1.6770833333333333
musique,bm25->hybrid_state,14.0,2,81.0,4.0,1.5,0.10714285714285714,0.375,0.0,0.05,0.2857142857142857,0.95,2.0892857142857144
musique,bm25->hybrid_state,16.0,1,87.0,4.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.25,0.9540229885057472,0.0
musique,bm25->hybrid_state,26.0,2,91.0,4.0,2.0,0.07692307692307693,0.5,0.0,0.044003868471953575,0.15384615384615385,0.9559961315280465,1.7211538461538463
musique,bm25->hybrid_state,30.0,1,94.0,4.0,1.0,0.03333333333333333,0.25,0.0,0.0425531914893617,0.13333333333333333,0.9574468085106383,0.7833333333333333
musique,bm25->hybrid_state,32.0,1,94.0,4.0,1.0,0.03125,0.25,0.0,0.0425531914893617,0.125,0.9574468085106383,0.734375
musique,bm25->hybrid_state,7.0,2,78.0,4.0,0.0,0.0,0.0,0.0,0.051587301587301584,0.5714285714285714,0.9484126984126984,0.0
musique,bm25->hybrid_state,8.0,1,110.0,4.0,1.0,0.125,0.25,0.0,0.03636363636363636,0.5,0.9636363636363636,3.4375
musique,bm25->native_semantic,10.0,2,73.0,4.0,1.5,0.15,0.375,0.0,0.05631629701060752,0.4,0.9436837029893925,2.2874999999999996
musique,bm25->native_semantic,11.0,2,66.0,4.0,0.5,0.045454545454545456,0.125,0.0,0.06066176470588235,0.36363636363636365,0.9393382352941176,0.7727272727272727
musique,bm25->native_semantic,12.0,4,76.5,4.0,1.0,0.08333333333333333,0.25,0.0,0.05328631941535167,0.3333333333333333,0.9467136805846483,1.6979166666666667
musique,bm25->native_semantic,14.0,2,81.0,4.0,1.0,0.07142857142857142,0.25,0.0,0.05,0.2857142857142857,0.95,1.4464285714285714
musique,bm25->native_semantic,16.0,1,87.0,4.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.25,0.9540229885057472,0.0
musique,bm25->native_semantic,26.0,2,91.0,4.0,2.5,0.09615384615384616,0.625,0.0,0.044003868471953575,0.15384615384615385,0.9559961315280465,2.1730769230769234
musique,bm25->native_semantic,30.0,1,94.0,4.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.13333333333333333,0.9574468085106383,0.0
musique,bm25->native_semantic,32.0,1,94.0,4.0,1.0,0.03125,0.25,0.0,0.0425531914893617,0.125,0.9574468085106383,0.734375
musique,bm25->native_semantic,7.0,2,78.0,4.0,0.0,0.0,0.0,0.0,0.051587301587301584,0.5714285714285714,0.9484126984126984,0.0
musique,bm25->native_semantic,8.0,1,110.0,4.0,1.0,0.125,0.25,0.0,0.03636363636363636,0.5,0.9636363636363636,3.4375
musique,exact->bm25_state,10.0,2,73.0,4.0,2.0,0.2,0.5,0.0,0.05631629701060752,0.4,0.9436837029893925,3.05
musique,exact->bm25_state,11.0,2,66.0,4.0,0.0,0.0,0.0,0.0,0.06066176470588235,0.36363636363636365,0.9393382352941176,0.0
musique,exact->bm25_state,12.0,4,76.5,4.0,0.75,0.0625,0.1875,0.0,0.05328631941535167,0.3333333333333333,0.9467136805846483,1.2395833333333333
musique,exact->bm25_state,14.0,2,81.0,4.0,1.0,0.07142857142857142,0.25,0.0,0.05,0.2857142857142857,0.95,1.4464285714285714
musique,exact->bm25_state,16.0,1,87.0,4.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.25,0.9540229885057472,0.0
musique,exact->bm25_state,26.0,2,91.0,4.0,1.5,0.057692307692307696,0.375,0.0,0.044003868471953575,0.15384615384615385,0.9559961315280465,1.2692307692307692
musique,exact->bm25_state,30.0,1,94.0,4.0,2.0,0.06666666666666667,0.5,0.0,0.0425531914893617,0.13333333333333333,0.9574468085106383,1.5666666666666667
musique,exact->bm25_state,32.0,1,94.0,4.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.125,0.9574468085106383,0.0
musique,exact->bm25_state,7.0,2,78.0,4.0,0.5,0.07142857142857142,0.125,0.0,0.051587301587301584,0.5714285714285714,0.9484126984126984,1.2857142857142858
musique,exact->bm25_state,8.0,1,110.0,4.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.5,0.9636363636363636,0.0
musique,exact->exact_new_address,10.0,2,73.0,4.0,2.5,0.25,0.625,0.0,0.05631629701060752,0.4,0.9436837029893925,4.1125
musique,exact->exact_new_address,11.0,2,66.0,4.0,0.0,0.0,0.0,0.0,0.06066176470588235,0.36363636363636365,0.9393382352941176,0.0
musique,exact->exact_new_address,12.0,4,76.5,4.0,0.5,0.041666666666666664,0.125,0.0,0.05328631941535167,0.3333333333333333,0.9467136805846483,0.78125
musique,exact->exact_new_address,14.0,2,81.0,4.0,1.5,0.10714285714285714,0.375,0.0,0.05,0.2857142857142857,0.95,2.25
musique,exact->exact_new_address,16.0,1,87.0,4.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.25,0.9540229885057472,0.0
musique,exact->exact_new_address,26.0,2,91.0,4.0,1.0,0.038461538461538464,0.25,0.0,0.044003868471953575,0.15384615384615385,0.9559961315280465,0.8461538461538461
musique,exact->exact_new_address,30.0,1,94.0,4.0,4.0,0.13333333333333333,1.0,0.0,0.0425531914893617,0.13333333333333333,0.9574468085106383,3.1333333333333333
musique,exact->exact_new_address,32.0,1,94.0,4.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.125,0.9574468085106383,0.0
musique,exact->exact_new_address,7.0,2,78.0,4.0,0.0,0.0,0.0,0.0,0.051587301587301584,0.5714285714285714,0.9484126984126984,0.0
musique,exact->exact_new_address,8.0,1,110.0,4.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.5,0.9636363636363636,0.0
musique,exact->hybrid_state,10.0,2,73.0,4.0,2.5,0.25,0.625,0.0,0.05631629701060752,0.4,0.9436837029893925,4.1125
musique,exact->hybrid_state,11.0,2,66.0,4.0,0.0,0.0,0.0,0.0,0.06066176470588235,0.36363636363636365,0.9393382352941176,0.0
musique,exact->hybrid_state,12.0,4,76.5,4.0,0.5,0.041666666666666664,0.125,0.0,0.05328631941535167,0.3333333333333333,0.9467136805846483,0.78125
musique,exact->hybrid_state,14.0,2,81.0,4.0,1.0,0.07142857142857142,0.25,0.0,0.05,0.2857142857142857,0.95,1.4464285714285714
musique,exact->hybrid_state,16.0,1,87.0,4.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.25,0.9540229885057472,0.0
musique,exact->hybrid_state,26.0,2,91.0,4.0,1.0,0.038461538461538464,0.25,0.0,0.044003868471953575,0.15384615384615385,0.9559961315280465,0.8461538461538461
musique,exact->hybrid_state,30.0,1,94.0,4.0,4.0,0.13333333333333333,1.0,0.0,0.0425531914893617,0.13333333333333333,0.9574468085106383,3.1333333333333333
musique,exact->hybrid_state,32.0,1,94.0,4.0,1.0,0.03125,0.25,0.0,0.0425531914893617,0.125,0.9574468085106383,0.734375
musique,exact->hybrid_state,7.0,2,78.0,4.0,0.0,0.0,0.0,0.0,0.051587301587301584,0.5714285714285714,0.9484126984126984,0.0
musique,exact->hybrid_state,8.0,1,110.0,4.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.5,0.9636363636363636,0.0
musique,exact->native_semantic,10.0,2,73.0,4.0,2.0,0.2,0.5,0.0,0.05631629701060752,0.4,0.9436837029893925,3.05
musique,exact->native_semantic,11.0,2,66.0,4.0,0.0,0.0,0.0,0.0,0.06066176470588235,0.36363636363636365,0.9393382352941176,0.0
musique,exact->native_semantic,12.0,4,76.5,4.0,1.25,0.10416666666666666,0.3125,0.0,0.05328631941535167,0.3333333333333333,0.9467136805846483,2.03125
musique,exact->native_semantic,14.0,2,81.0,4.0,1.0,0.07142857142857142,0.25,0.0,0.05,0.2857142857142857,0.95,1.4464285714285714
musique,exact->native_semantic,16.0,1,87.0,4.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.25,0.9540229885057472,0.0
