baseline,ci95_high,ci95_low,dataset,losses,m,mean_delta,objective,pairs,rank,ties,wins
QK_mean,0.10216666666666668,-0.1284345238095238,qasper,4,8,0.0030869963369963387,listwise,16,16,4,8
QK_key_only_m8,0.033264880952380955,-0.12199313186813185,qasper,7,8,-0.03820192307692307,listwise,16,16,2,7
B0_gist,0.12687500000000002,0.008464285714285718,qasper,3,8,0.06278937728937731,listwise,16,16,3,10
B1_bm25,0.13401785714285716,-0.019034111721611718,qasper,4,8,0.05909775641025642,listwise,16,16,2,10
B2_exact,0.0416304945054945,-0.20086996336996338,qasper,10,8,-0.07688438644688644,listwise,16,16,1,5
H5_iterative_hybrid,0.09088690476190475,-0.04902472527472526,qasper,4,8,0.019709020146520154,listwise,16,16,4,8
QK_mean,0.05133928571428571,-0.18645833333333334,qasper,4,4,-0.040119047619047644,listwise,16,32,6,6
QK_key_only_m8,0.004856913919413919,-0.19427083333333334,qasper,8,4,-0.08140796703296703,listwise,16,32,4,4
B0_gist,0.05645833333333333,-0.013571428571428571,qasper,3,4,0.019583333333333335,listwise,16,32,7,6
B1_bm25,0.08029761904761903,-0.052712912087912095,qasper,4,4,0.015891712454212458,listwise,16,32,6,6
B2_exact,-0.01948031135531136,-0.23334821428571426,qasper,10,4,-0.12009043040293041,listwise,16,32,2,4
H5_iterative_hybrid,0.03952380952380953,-0.09706845238095237,qasper,5,4,-0.023497023809523815,listwise,16,32,5,6
QK_mean,0.12499999999999997,-0.0988507326007326,qasper,4,8,0.01577106227106227,listwise,16,32,2,10
QK_key_only_m8,0.02138988095238096,-0.07546130952380954,qasper,7,8,-0.02551785714285714,listwise,16,32,3,6
B0_gist,0.17277472527472532,-0.00035073260073260285,qasper,4,8,0.07547344322344324,listwise,16,32,2,10
B1_bm25,0.1774862637362637,-0.025455357142857144,qasper,4,8,0.07178182234432234,listwise,16,32,1,11
B2_exact,0.07897619047619048,-0.19590865384615383,qasper,11,8,-0.06420032051282051,listwise,16,32,0,5
H5_iterative_hybrid,0.15131250000000002,-0.06727380952380954,qasper,6,8,0.032393086080586074,listwise,16,32,0,10
QK_mean,0.059916666666666674,-0.0220054945054945,qasper,3,4,0.018759386446886447,oracle_imitation,16,8,7,6
QK_key_only_m8,0.06370879120879121,-0.12061011904761908,qasper,5,4,-0.02252953296703297,oracle_imitation,16,8,7,4
B0_gist,0.21973557692307694,-0.01475595238095238,qasper,2,4,0.07846176739926741,oracle_imitation,16,8,7,7
B1_bm25,0.22711538461538464,-0.034436584249084246,qasper,3,4,0.07477014652014652,oracle_imitation,16,8,7,6
B2_exact,0.1231868131868132,-0.21205357142857137,qasper,9,4,-0.06121199633699633,oracle_imitation,16,8,5,2
H5_iterative_hybrid,0.19254807692307693,-0.07368750000000002,qasper,4,4,0.035381410256410256,oracle_imitation,16,8,7,5
QK_mean,0.10671130952380954,-0.02726991758241757,qasper,4,8,0.03631639194139195,oracle_imitation,16,8,4,8
QK_key_only_m8,0.045027472527472544,-0.06964285714285715,qasper,3,8,-0.004972527472527468,oracle_imitation,16,8,9,4
B0_gist,0.2160931776556777,0.004611950549450552,qasper,3,8,0.0960187728937729,oracle_imitation,16,8,4,9
B1_bm25,0.2192044413919414,-0.007910943223443222,qasper,4,8,0.09232715201465203,oracle_imitation,16,8,4,8
B2_exact,0.11724702380952381,-0.18353594322344322,qasper,9,8,-0.04365499084249084,oracle_imitation,16,8,5,2
H5_iterative_hybrid,0.18414262820512822,-0.051861263736263735,qasper,5,8,0.05293841575091577,oracle_imitation,16,8,5,6
QK_mean,0.08988438644688647,-0.019690018315018314,qasper,3,4,0.029670100732600735,oracle_imitation,16,16,6,7
QK_key_only_m8,0.06347619047619046,-0.08408905677655679,qasper,5,4,-0.01161881868131868,oracle_imitation,16,16,6,5
B0_gist,0.23263141025641024,-0.009648809523809523,qasper,2,4,0.0893724816849817,oracle_imitation,16,16,6,8
B1_bm25,0.23782142857142857,-0.032956730769230766,qasper,3,4,0.08568086080586082,oracle_imitation,16,16,5,8
B2_exact,0.1346153846153846,-0.20547985347985342,qasper,9,4,-0.050301282051282044,oracle_imitation,16,16,5,2
H5_iterative_hybrid,0.20778571428571427,-0.074,qasper,4,4,0.046292124542124564,oracle_imitation,16,16,5,7
QK_mean,0.14906021062271063,-0.02238324175824175,qasper,4,8,0.05374771062271063,oracle_imitation,16,16,4,8
QK_key_only_m8,0.055315934065934075,-0.028969780219780236,qasper,3,8,0.012458791208791209,oracle_imitation,16,16,8,5
B0_gist,0.2499679487179487,0.007125686813186816,qasper,3,8,0.11345009157509157,oracle_imitation,16,16,4,9
B1_bm25,0.245327380952381,-0.0016437728937728937,qasper,4,8,0.10975847069597071,oracle_imitation,16,16,3,9
B2_exact,0.14145833333333335,-0.17241758241758237,qasper,9,8,-0.026223672161172155,oracle_imitation,16,16,5,2
H5_iterative_hybrid,0.20678342490842488,-0.04410943223443224,qasper,5,8,0.07036973443223442,oracle_imitation,16,16,4,7
QK_mean,0.09442857142857145,-0.01997321428571428,qasper,3,4,0.031039835164835168,oracle_imitation,16,32,7,6
QK_key_only_m8,0.06634615384615386,-0.08135714285714286,qasper,5,4,-0.01024908424908425,oracle_imitation,16,32,8,3
B0_gist,0.24263392857142857,-0.008931547619047618,qasper,2,4,0.09074221611721613,oracle_imitation,16,32,7,7
B1_bm25,0.24308035714285714,-0.03236904761904762,qasper,2,4,0.08705059523809525,oracle_imitation,16,32,8,6
B2_exact,0.13588988095238097,-0.2077113095238095,qasper,8,4,-0.04893154761904761,oracle_imitation,16,32,6,2
H5_iterative_hybrid,0.2123910256410257,-0.07510897435897436,qasper,4,4,0.04766185897435897,oracle_imitation,16,32,6,6
QK_mean,0.10327724358974358,-0.058803571428571434,qasper,4,8,0.02532554945054945,oracle_imitation,16,32,5,7
QK_key_only_m8,0.026261904761904764,-0.07714285714285715,qasper,4,8,-0.015963369963369962,oracle_imitation,16,32,9,3
B0_gist,0.18434638278388277,0.003854166666666674,qasper,3,8,0.08502793040293041,oracle_imitation,16,32,4,9
B1_bm25,0.18327083333333333,-0.012529761904761901,qasper,3,8,0.08133630952380955,oracle_imitation,16,32,5,8
B2_exact,0.08316666666666667,-0.18302380952380948,qasper,8,8,-0.05464583333333333,oracle_imitation,16,32,6,2
H5_iterative_hybrid,0.14961309523809524,-0.04689171245421245,qasper,5,8,0.04194757326007328,oracle_imitation,16,32,5,6
