dataset,profile,geometry,layer,n,residual_divergence_mean,residual_divergence_sd
2wikimultihopqa,last_1,whole_parent,20,16,1.2665987014770508e-07,1.5752296531100552e-07
2wikimultihopqa,last_1,whole_parent,21,16,6.332993507385254e-08,8.551955434120444e-08
2wikimultihopqa,last_1,whole_parent,22,16,7.450580596923828e-08,9.996002811937585e-08
2wikimultihopqa,last_1,whole_parent,23,16,1.7881393432617188e-07,1.3978528260658472e-07
2wikimultihopqa,last_1,whole_parent,24,16,5.960464477539063e-08,9.8843121241194e-08
2wikimultihopqa,last_1,whole_parent,25,16,6.705522537231445e-08,1.02969072469214e-07
2wikimultihopqa,last_1,whole_parent,26,16,1.1920928955078125e-07,1.3493575361575808e-07
2wikimultihopqa,last_1,whole_parent,27,16,0.0006740093231201172,0.0007046894016031602
2wikimultihopqa,last_12,whole_parent,0,16,1.1920928955078125e-07,1.3160349229466688e-07
2wikimultihopqa,last_12,whole_parent,1,16,1.1920928955078125e-07,1.4292691717483756e-07
2wikimultihopqa,last_12,whole_parent,2,16,1.0803341865539551e-07,1.0790488390594898e-07
2wikimultihopqa,last_12,whole_parent,3,16,9.313225746154785e-08,9.416956201020284e-08
2wikimultihopqa,last_12,whole_parent,4,16,1.0803341865539551e-07,1.1584395025272826e-07
2wikimultihopqa,last_12,whole_parent,5,16,1.043081283569336e-07,1.255594160136038e-07
2wikimultihopqa,last_12,whole_parent,6,16,1.0803341865539551e-07,1.250610525279829e-07
2wikimultihopqa,last_12,whole_parent,7,16,6.332993507385254e-08,9.056363836782588e-08
2wikimultihopqa,last_12,whole_parent,8,16,7.82310962677002e-08,8.870572522126628e-08
2wikimultihopqa,last_12,whole_parent,9,16,7.82310962677002e-08,1.259456687001658e-07
2wikimultihopqa,last_12,whole_parent,10,16,8.568167686462402e-08,9.178135540153771e-08
2wikimultihopqa,last_12,whole_parent,11,16,1.043081283569336e-07,1.1638178938488147e-07
2wikimultihopqa,last_12,whole_parent,12,16,9.685754776000977e-08,1.1126089485785424e-07
2wikimultihopqa,last_12,whole_parent,13,16,1.4528632164001465e-07,1.172727066181391e-07
2wikimultihopqa,last_12,whole_parent,14,16,1.2665987014770508e-07,1.279679241576617e-07
2wikimultihopqa,last_12,whole_parent,15,16,8.940696716308594e-08,1.4901161193847656e-07
2wikimultihopqa,last_12,whole_parent,16,16,0.0018122568726539612,0.0016472177090518922
2wikimultihopqa,last_12,whole_parent,17,16,0.004474468529224396,0.0033314999767532897
2wikimultihopqa,last_12,whole_parent,18,16,0.005705602467060089,0.004167553319031435
2wikimultihopqa,last_12,whole_parent,19,16,0.006955273449420929,0.005538261916220871
2wikimultihopqa,last_12,whole_parent,20,16,0.008156292140483856,0.007159642071723551
