dataset,profile,geometry,n,gold_mean_logprob_delta_vs_none_mean,gold_mean_logprob_delta_vs_none_sd,gold_mean_logprob_delta_vs_none_ci_low,gold_mean_logprob_delta_vs_none_ci_high,gold_first_token_rank_mean,gold_first_token_rank_sd,evidence_attention_mass_mean,evidence_attention_mass_sd,memory_attention_mass_mean,memory_attention_mass_sd,residual_divergence_mean_mean,residual_divergence_mean_sd,residual_divergence_final_mean,residual_divergence_final_sd,native_kv_token_states_mean,native_kv_token_states_sd,native_kv_bytes_mean,native_kv_bytes_sd,materialized_unique_tokens_mean,materialized_unique_tokens_sd,teacher_forced_seconds_mean,teacher_forced_seconds_sd,consumer_layer_count,consumer_layer_fraction
2wikimultihopqa,last_14,full_selected_record,16,1.00975501400535,1.4271968202833314,0.34830185868486296,1.7359559731557965,26.875,55.763871592636036,0.13188311403791886,0.1666766698824497,0.27504512225849403,0.1986948362688615,0.005165279310728822,0.005040686141513291,0.027681637555360794,0.024969292198786124,2072.0,851.1263125999571,8486912.0,3486213.3764094245,148.0,60.794736614282655,0.3505440938024549,0.031519750469913024,14,0.5
2wikimultihopqa,last_14,whole_parent,16,1.00975501400535,1.4271968202833314,0.33045047109771986,1.7321258480515098,26.875,55.763871592636036,0.13188311403791886,0.1666766698824497,0.27504512225849403,0.1986948362688615,0.005165279310728822,0.005040686141513291,0.027681637555360794,0.024969292198786124,2072.0,851.1263125999571,8486912.0,3486213.3764094245,148.0,60.794736614282655,0.33816303123603575,0.030055673247737943,14,0.5
2wikimultihopqa,last_8,exact_core,16,0.9400929747207556,1.401709994622848,0.31680486651021056,1.6907147760357475,26.25,49.81277446599416,0.16074917173136782,0.20641628777328522,0.16074917173136782,0.20641628777328522,0.0013616188828434264,0.0014500769224740993,0.011278960853815079,0.010248442108027014,634.0,299.0585227008252,2596864.0,1224943.70898258,79.25,37.38231533760315,0.320448806261993,0.04434475702590392,8,0.2857142857142857
2wikimultihopqa,last_8,expanded_window,16,0.9772167592454934,1.3757412805401055,0.3455968643829692,1.6678761551447678,25.875,48.9168618678672,0.16031321231548645,0.20655781611224644,0.21230280128384038,0.2142857720252426,0.0014576202790652004,0.001397548653655874,0.012278012931346893,0.009720458013878755,708.0,321.22266420662163,2899968.0,1315728.0325903222,88.5,40.152833025827704,0.3420154124905821,0.07012479556806367,8,0.2857142857142857
2wikimultihopqa,last_8,full_selected_record,16,0.9488058405841002,1.4046169342895378,0.301878950529499,1.677924679388525,27.8125,57.33805319114,0.1447861737688072,0.18967801502457152,0.3016532247338546,0.2290136526392461,0.0018978516704269818,0.0016281342772427939,0.01580197364091873,0.011562768500474099,1184.0,486.35789291426124,4849664.0,1992121.929376814,148.0,60.794736614282655,0.3032796499901451,0.022363010317621328,8,0.2857142857142857
2wikimultihopqa,last_8,whole_parent,16,0.9488058405841002,1.4046169342895378,0.28792854929633904,1.6622755355056142,27.8125,57.33805319114,0.1447861737688072,0.18967801502457152,0.3016532247338546,0.2290136526392461,0.0018978516704269818,0.0016281342772427939,0.01580197364091873,0.011562768500474099,1184.0,486.35789291426124,4849664.0,1992121.929376814,148.0,60.794736614282655,0.2941396249952959,0.03549511284714725,8,0.2857142857142857
musique,all,exact_core,16,1.3258283082395792,4.297798194808479,-0.9344514757394791,3.029251592233777,7113.9375,27522.728170252194,0.6009952293076951,0.15062548166102394,0.6009952293076951,0.15062548166102394,0.07203780553702797,0.103969651338233,0.13578728586435318,0.17716127730123282,11597.25,6907.153787016762,47502336.0,28291701.911620658,414.1875,246.6840638220272,0.7725054624752374,0.12944081412407507,28,1.0
musique,all,expanded_window,16,1.2356798090040684,4.307492691459234,-1.222868762910366,2.972094088792801,7339.125,28396.16625504885,0.5947093584025944,0.14859679200879763,0.6026507527401139,0.14930554892483108,0.07283751546804394,0.10127571327532943,0.13772303238511086,0.17643732247907468,11905.25,6962.640837893335,48763904.0,28518976.8720111,425.1875,248.66574421047625,0.814165937496,0.15013658676446182,28,1.0
musique,all,full_selected_record,16,0.9574304223060608,4.2241982215863025,-1.3556858226656914,2.6353947035968304,7335.375,28369.767052434094,0.5204025915196065,0.16891059258863292,0.6167926037368099,0.1494523998824512,0.07486775051802397,0.09908600361112113,0.13806677237153053,0.17844894301844835,13616.75,7234.111171215161,55774208.0,29630919.3572973,486.3125,258.36111325768434,0.647926993726287,0.13438765858800852,28,1.0
musique,all,whole_parent,16,0.9574304223060608,4.2241982215863025,-1.403327003121376,2.6532168090343475,7335.375,28369.767052434094,0.5204025915196065,0.16891059258863292,0.6167926037368099,0.1494523998824512,0.07486775051802397,0.09908600361112113,0.13806677237153053,0.17844894301844835,13616.75,7234.111171215161,55774208.0,29630919.3572973,486.3125,258.36111325768434,0.6897832749673398,0.15122097630103662,28,1.0
