active_layer_tokens,address_index_bytes,address_layer_count,candidate,case_id,consumer_layer_count,consumer_layer_fraction,corrected_transport,delta_vs_full_context,delta_vs_no_memory,detail_kv_bytes,family,full_context_log_probability,full_context_target_rank,latency_seconds,materialization,max_abs_logit_error_vs_full,model_id,model_key,no_memory_log_probability,physical_layers,revision,target_log_probability,target_rank,workload
192,2048,1,last_24,code,24,0.8571428571428571,True,-0.40984758734703064,1.20237135887146,786432,qwen,-0.4479803144931793,1,0.3256194000132382,full_selected_record,3.35546875,Qwen/Qwen3-0.6B,qwen,-2.06019926071167,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-0.85782790184021,1,semantic_smoke
32,2048,1,even_4,code,4,0.14285714285714285,True,-7.227236360311508,-5.615017414093018,131072,qwen,-0.4479803144931793,1,0.2104327001143247,full_selected_record,26.548828125,Qwen/Qwen3-0.6B,qwen,-2.06019926071167,"[0, 9, 18, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-7.6752166748046875,129,semantic_smoke
64,2048,1,even_8,code,8,0.2857142857142857,True,-6.862880319356918,-5.250661373138428,262144,qwen,-0.4479803144931793,1,0.24766550003550947,full_selected_record,23.37109375,Qwen/Qwen3-0.6B,qwen,-2.06019926071167,"[0, 4, 8, 12, 15, 19, 23, 27]",c1899de289a04d12100db370d81485cdf75e47ca,-7.310860633850098,44,semantic_smoke
32,2048,1,early_4,code,4,0.14285714285714285,True,-14.29752692580223,-12.68530797958374,131072,qwen,-0.4479803144931793,1,0.22349909995682538,full_selected_record,22.951171875,Qwen/Qwen3-0.6B,qwen,-2.06019926071167,"[0, 1, 2, 3]",c1899de289a04d12100db370d81485cdf75e47ca,-14.74550724029541,9653,semantic_smoke
32,2048,1,middle_4,code,4,0.14285714285714285,True,-1.4713735282421112,0.1408454179763794,131072,qwen,-0.4479803144931793,1,0.22208460001274943,full_selected_record,4.130859375,Qwen/Qwen3-0.6B,qwen,-2.06019926071167,"[12, 13, 14, 15]",c1899de289a04d12100db370d81485cdf75e47ca,-1.9193538427352905,2,semantic_smoke
64,2048,1,early_8,code,8,0.2857142857142857,True,-7.442428678274155,-5.830209732055664,262144,qwen,-0.4479803144931793,1,0.22412579995580018,full_selected_record,25.703125,Qwen/Qwen3-0.6B,qwen,-2.06019926071167,"[0, 1, 2, 3, 4, 5, 6, 7]",c1899de289a04d12100db370d81485cdf75e47ca,-7.890408992767334,159,semantic_smoke
64,2048,1,middle_8,code,8,0.2857142857142857,True,-1.2916601598262787,0.3205587863922119,262144,qwen,-0.4479803144931793,1,0.24097680021077394,full_selected_record,4.01953125,Qwen/Qwen3-0.6B,qwen,-2.06019926071167,"[10, 11, 12, 13, 14, 15, 16, 17]",c1899de289a04d12100db370d81485cdf75e47ca,-1.739640474319458,1,semantic_smoke
112,4096,1,all_layers,capital,16,1.0,True,0.000640183687210083,0.18001502752304077,229376,llama,-0.2542991042137146,1,0.973513700067997,full_selected_record,0.0234375,unsloth/Llama-3.2-1B,llama,-0.4336739480495453,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-0.2536589205265045,1,semantic_smoke
7,4096,1,last_1,capital,1,0.0625,True,-0.29437440633773804,-0.11499956250190735,14336,llama,-0.2542991042137146,1,0.36853710003197193,full_selected_record,5.80859375,unsloth/Llama-3.2-1B,llama,-0.4336739480495453,[15],9535bd9b1d1dea6acafbdc4813b728796aeb28da,-0.5486735105514526,1,semantic_smoke
28,4096,1,last_4,capital,4,0.25,True,-0.49986129999160767,-0.320486456155777,57344,llama,-0.2542991042137146,1,0.26271039992570877,full_selected_record,5.3046875,unsloth/Llama-3.2-1B,llama,-0.4336739480495453,"[12, 13, 14, 15]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-0.7541604042053223,1,semantic_smoke
56,4096,1,last_8,capital,8,0.5,True,-0.3930548429489136,-0.21367999911308289,114688,llama,-0.2542991042137146,1,0.2917339999694377,full_selected_record,5.375,unsloth/Llama-3.2-1B,llama,-0.4336739480495453,"[8, 9, 10, 11, 12, 13, 14, 15]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-0.6473539471626282,1,semantic_smoke
84,4096,1,last_12,capital,12,0.75,True,-0.20474615693092346,-0.025371313095092773,172032,llama,-0.2542991042137146,1,0.3337252999190241,full_selected_record,4.6328125,unsloth/Llama-3.2-1B,llama,-0.4336739480495453,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-0.45904526114463806,1,semantic_smoke
98,4096,1,last_14,capital,14,0.875,True,-0.20483136177062988,-0.025456517934799194,200704,llama,-0.2542991042137146,1,0.33738670009188354,full_selected_record,4.0703125,unsloth/Llama-3.2-1B,llama,-0.4336739480495453,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-0.4591304659843445,1,semantic_smoke
112,4096,1,last_16,capital,16,1.0,True,0.000640183687210083,0.18001502752304077,229376,llama,-0.2542991042137146,1,0.36099680000916123,full_selected_record,0.0234375,unsloth/Llama-3.2-1B,llama,-0.4336739480495453,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-0.2536589205265045,1,semantic_smoke
28,4096,1,even_4,capital,4,0.25,True,-10.651826918125153,-10.472452074289322,57344,llama,-0.2542991042137146,1,0.2685552998445928,full_selected_record,13.171875,unsloth/Llama-3.2-1B,llama,-0.4336739480495453,"[0, 5, 10, 15]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-10.906126022338867,2549,semantic_smoke
56,4096,1,even_8,capital,8,0.5,True,-5.458434164524078,-5.279059320688248,114688,llama,-0.2542991042137146,1,0.32201649993658066,full_selected_record,9.7236328125,unsloth/Llama-3.2-1B,llama,-0.4336739480495453,"[0, 2, 4, 6, 9, 11, 13, 15]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-5.712733268737793,24,semantic_smoke
28,4096,1,early_4,capital,4,0.25,True,-7.3213730454444885,-7.141998201608658,57344,llama,-0.2542991042137146,1,0.2689437000080943,full_selected_record,12.677734375,unsloth/Llama-3.2-1B,llama,-0.4336739480495453,"[0, 1, 2, 3]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-7.575672149658203,62,semantic_smoke
28,4096,1,middle_4,capital,4,0.25,True,0.07337252795696259,0.2527473717927933,57344,llama,-0.2542991042137146,1,0.27452900004573166,full_selected_record,5.4140625,unsloth/Llama-3.2-1B,llama,-0.4336739480495453,"[6, 7, 8, 9]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-0.18092657625675201,1,semantic_smoke
56,4096,1,early_8,capital,8,0.5,True,-7.1630406975746155,-6.983665853738785,114688,llama,-0.2542991042137146,1,0.30972909997217357,full_selected_record,11.986328125,unsloth/Llama-3.2-1B,llama,-0.4336739480495453,"[0, 1, 2, 3, 4, 5, 6, 7]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-7.41733980178833,57,semantic_smoke
56,4096,1,middle_8,capital,8,0.5,True,0.05805467069149017,0.23742951452732086,114688,llama,-0.2542991042137146,1,0.28867630008608103,full_selected_record,4.99609375,unsloth/Llama-3.2-1B,llama,-0.4336739480495453,"[4, 5, 6, 7, 8, 9, 10, 11]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-0.19624443352222443,1,semantic_smoke
96,4096,1,all_layers,color,16,1.0,True,-0.011824488639831543,3.198346257209778,196608,llama,-1.5892353057861328,2,0.3263502998743206,full_selected_record,0.015625,unsloth/Llama-3.2-1B,llama,-4.799406051635742,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-1.6010597944259644,2,semantic_smoke
6,4096,1,last_1,color,1,0.0625,True,-3.133913993835449,0.07625675201416016,12288,llama,-1.5892353057861328,2,0.24654079996980727,full_selected_record,6.41015625,unsloth/Llama-3.2-1B,llama,-4.799406051635742,[15],9535bd9b1d1dea6acafbdc4813b728796aeb28da,-4.723149299621582,19,semantic_smoke
24,4096,1,last_4,color,4,0.25,True,-2.789534568786621,0.4206361770629883,49152,llama,-1.5892353057861328,2,0.26681409985758364,full_selected_record,6.15625,unsloth/Llama-3.2-1B,llama,-4.799406051635742,"[12, 13, 14, 15]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-4.378769874572754,13,semantic_smoke
48,4096,1,last_8,color,8,0.5,True,-2.313382148742676,0.8967885971069336,98304,llama,-1.5892353057861328,2,0.30212830007076263,full_selected_record,6.44921875,unsloth/Llama-3.2-1B,llama,-4.799406051635742,"[8, 9, 10, 11, 12, 13, 14, 15]",9535bd9b1d1dea6acafbdc4813b728796aeb28da,-3.9026174545288086,5,semantic_smoke
