dataset,chunk_size,K,B,complete_recovery,node_recall,selected_source_fraction,evidence_density,nodes_expanded
2wikimultihopqa,32,2,16,0.4166666666666667,0.7270833333333333,0.12874564892880833,0.25723898515077165,5.0
2wikimultihopqa,32,2,none,0.4166666666666667,0.7270833333333333,0.12874564892880833,0.25723898515077165,5.0
2wikimultihopqa,32,4,6,0.4583333333333333,0.75625,0.1553758069573605,0.2283675297401884,2.5416666666666665
2wikimultihopqa,32,4,16,0.4583333333333333,0.7666666666666666,0.19631817050601533,0.19022952413182556,7.375
2wikimultihopqa,32,4,none,0.4583333333333333,0.7666666666666666,0.19631817050601533,0.19022952413182556,7.375
2wikimultihopqa,32,6,6,0.4583333333333333,0.75625,0.1553758069573605,0.22988662696241066,2.0
2wikimultihopqa,32,6,16,0.7083333333333334,0.8666666666666667,0.301908458556589,0.14791148615215835,10.875
2wikimultihopqa,32,6,none,0.7083333333333334,0.8666666666666667,0.301908458556589,0.14791148615215835,11.041666666666666
2wikimultihopqa,32,8,6,0.4583333333333333,0.75625,0.1553758069573605,0.22988662696241066,2.0
2wikimultihopqa,32,8,16,0.7916666666666666,0.8958333333333334,0.4056724305865817,0.11577394685507315,8.458333333333334
2wikimultihopqa,32,8,none,0.875,0.9375,0.47510669764853697,0.10646255417900237,17.791666666666668
2wikimultihopqa,64,1,6,0.5416666666666666,0.7770833333333332,0.2036594666572621,0.2097856502653568,3.8333333333333335
2wikimultihopqa,64,1,16,0.5416666666666666,0.7770833333333332,0.2036594666572621,0.2097856502653568,3.8333333333333335
2wikimultihopqa,64,1,none,0.5416666666666666,0.7770833333333332,0.2036594666572621,0.2097856502653568,3.8333333333333335
2wikimultihopqa,64,2,6,0.5416666666666666,0.7875,0.2603362736989769,0.16595601442512412,4.5
2wikimultihopqa,64,2,16,0.5416666666666666,0.7875,0.26286152622422937,0.1646812475253572,5.041666666666667
2wikimultihopqa,64,2,none,0.5416666666666666,0.7875,0.26286152622422937,0.1646812475253572,5.041666666666667
2wikimultihopqa,64,4,6,0.625,0.8375,0.3074281241201777,0.1556059569943927,2.6666666666666665
2wikimultihopqa,64,4,16,0.625,0.8375,0.34729817571162885,0.13918775260130384,6.75
2wikimultihopqa,64,4,none,0.625,0.8375,0.34729817571162885,0.13918775260130384,6.75
2wikimultihopqa,64,6,6,0.6666666666666666,0.8479166666666668,0.30782244588673924,0.15931429032772604,2.0
