dataset,example_id,partition,seed,root_mode,R_root,K,H,B,correct_root_present,oracle_node_recall,complete_graph,conditional_complete_graph,visited_count,nodes_expanded,search_comparisons,search_seconds
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,53,bounded_contextual_facets,1,6,4,16,0,1.0,1,,7,2,12,0.0013959999778307974
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,53,bounded_contextual_facets,2,6,4,16,0,1.0,1,,7,2,12,0.0011574000236578286
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,53,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,7,2,12,0.0009607999818399549
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,71,bounded_contextual_facets,1,6,4,16,0,1.0,1,,7,2,12,0.0013864999637007713
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,71,bounded_contextual_facets,2,6,4,16,0,1.0,1,,7,2,12,0.00105929997516796
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,71,bounded_contextual_facets,4,6,4,16,0,1.0,1,,7,2,12,0.0008474000496789813
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,11,bounded_contextual_facets,1,6,4,16,0,1.0,1,,8,8,48,0.002944100007880479
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,11,bounded_contextual_facets,2,6,4,16,0,1.0,1,,8,8,48,0.0029107999871484935
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,11,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,9,9,54,0.00548940000589937
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,23,bounded_contextual_facets,1,6,4,16,0,1.0,1,,9,9,54,0.006018899963237345
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,23,bounded_contextual_facets,2,6,4,16,0,1.0,1,,9,9,54,0.005797199963126332
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,23,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,9,9,54,0.006804400007240474
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,37,bounded_contextual_facets,1,6,4,16,0,1.0,1,,8,8,48,0.005335399997420609
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,37,bounded_contextual_facets,2,6,4,16,0,1.0,1,,8,8,48,0.0034408000065013766
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,37,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,9,9,54,0.005813000025227666
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,53,bounded_contextual_facets,1,6,4,16,0,1.0,1,,8,8,48,0.0029420999926514924
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,53,bounded_contextual_facets,2,6,4,16,0,1.0,1,,9,9,54,0.0031864999909885228
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,53,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,9,9,54,0.003027800004929304
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,71,bounded_contextual_facets,1,6,4,16,0,1.0,1,,8,8,48,0.004459299962036312
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,71,bounded_contextual_facets,2,6,4,16,0,1.0,1,,9,9,54,0.003414899983908981
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,71,bounded_contextual_facets,4,6,4,16,0,1.0,1,,10,10,60,0.0035499000223353505
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,11,bounded_contextual_facets,1,6,4,16,0,1.0,1,,6,2,10,0.0009609999833628535
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,11,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,6,2,10,0.0008815000182949007
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,11,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,6,2,10,0.0007367999642156065
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,23,bounded_contextual_facets,1,6,4,16,0,1.0,1,,6,2,10,0.0009526999783702195
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,23,bounded_contextual_facets,2,6,4,16,1,1.0,1,1,6,2,10,0.000874800025485456
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,23,bounded_contextual_facets,4,6,4,16,1,1.0,1,1,6,2,10,0.0007371000247076154
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,37,bounded_contextual_facets,1,6,4,16,0,1.0,1,,6,2,10,0.0013630999601446092
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,37,bounded_contextual_facets,2,6,4,16,0,1.0,1,,6,2,10,0.0018754999618977308
