active_memory_fraction,any_evidence,chain_completion,compression_ms,dataset,evidence_normalized_overhead,evidence_precision,evidence_recall,exact_identity,identities,kendall,kl,m,mae,materialized_kv_tokens,method,mrr,native_dots,rmse,rows,spearman,split,teacher_top1_overlap,teacher_top2_overlap,teacher_top4_overlap,teacher_top8_overlap
0.08933341034341385,0.4375,0.0,32.749121251981705,hotpotqa,0.919182505916293,0.109375,0.09791666666666671,0.0,16,0.3371136803578637,1.1715673446655273,1,1.177487627416849,128.0,learned,0.27604166666666663,802.0,1.3391998395323754,80,0.4676901279017329,test,0.25,0.4375,0.75,0.7890625
0.08933341034341385,0.55,0.0625,35.49452250008471,hotpotqa,0.919182505916293,0.1375,0.1266369047619047,0.0,16,0.3926973725703303,0.2340022698044777,2,0.9041612930595875,128.0,learned,0.365625,1604.0,1.0032615572214127,80,0.5336848851293325,test,0.275,0.45625,0.734375,0.7984375
0.08933341034341385,0.525,0.0625,35.08881125890184,hotpotqa,0.919182505916293,0.13125,0.1216369047619047,0.0,16,0.46569264478221867,0.03876864406047389,4,0.9504653930664062,128.0,learned,0.2937499999999999,3208.0,0.9918894365429878,80,0.6203332047909498,test,0.25,0.50625,0.740625,0.8140625
0.08933341034341385,0.5375,0.0625,35.832373730954714,hotpotqa,0.919182505916293,0.134375,0.12392857142857136,0.0,16,0.6309476705965438,0.012838959757937118,8,0.4145019754767418,128.0,learned,0.2666666666666665,6416.0,0.4444957945495844,80,0.7889270350337029,test,0.375,0.5875,0.834375,0.8453125
0.08801806750566779,0.4375,0.125,3.3215500006917864,hotpotqa,0.9040457871662935,0.125,0.12351190476190475,0.0,16,0.5707996768744243,0.05869426787830889,1,1.5497989431023598,126.0625,mean,0.27083333333333337,802.0,1.5788810476660728,16,0.7501339055597782,test,0.4375,0.375,0.59375,0.6640625
0.08877552070752284,0.3875,0.1125,34.592267515836284,hotpotqa,0.9141697586298786,0.128125,0.10752976190476193,0.0,16,0.15029105293936634,0.4618898579850793,1,1.5570364221930504,127.2,random,0.2302083333333333,802.0,1.7450619861483574,80,0.22255803995067253,test,0.1,0.14375,0.18125,0.265625
0.0887480707129392,0.475,0.0875,35.14449124922976,hotpotqa,0.9126816633917834,0.14375,0.12377976190476195,0.0,16,0.2097541379194178,0.2191771469078958,2,1.547179566323757,127.125,random,0.2989583333333333,1604.0,1.6650768861174583,80,0.30497977752238514,test,0.075,0.1875,0.240625,0.3359375
0.08880727320831541,0.4,0.0375,36.335286250687204,hotpotqa,0.913127818416293,0.10625,0.09517857142857146,0.0,16,0.2778421249599484,0.127500825189054,4,1.5473223343491553,127.225,random,0.19479166666666667,3208.0,1.6187515243887902,80,0.40413951392984016,test,0.125,0.2125,0.284375,0.3734375
0.08928349591101226,0.45,0.0875,37.85487751301844,hotpotqa,0.9186106104914564,0.134375,0.11791666666666667,0.0,16,0.4647245169008337,0.07557928506284953,8,0.8062725327908993,127.9125,random,0.25937499999999997,6416.0,0.8739152751863003,80,0.634070498496294,test,0.2125,0.3375,0.4125,0.503125
0.03257254954938655,0.5,0.5,93.6023437534459,qasper,1.0285164835164837,0.125,0.11799221611721612,0.0,16,0.40268957356074425,0.10420335177332163,1,0.8893785178661346,128.0,farthest,0.27604166666666663,2282.0,0.9740667827427387,16,0.5626299567520618,test,0.0,0.15625,0.265625,0.3359375
0.03257254954938655,0.5,0.5,96.8219875212526,qasper,1.0285164835164837,0.125,0.13026900183150183,0.0,16,0.3991285148168218,0.47236892953515053,2,1.3749173134565353,128.0,farthest,0.28124999999999994,4564.0,1.4859619438648224,16,0.5523403491824865,test,0.0,0.34375,0.421875,0.6015625
0.03257254954938655,0.25,0.25,94.40099998028018,qasper,1.0285164835164837,0.0625,0.030194597069597068,0.0,16,0.42474302094374305,0.0806115404702723,4,1.5460619553923607,128.0,farthest,0.20833333333333331,9128.0,1.6014160737395287,16,0.5875803120434284,test,0.1875,0.1875,0.421875,0.5390625
0.03257254954938655,0.25,0.25,101.33561873226427,qasper,1.0285164835164837,0.0625,0.03319940476190476,0.0,16,0.5765478020107191,0.023580478853546083,8,0.6874944753944874,128.0,farthest,0.14583333333333331,18256.0,0.7232973799109459,16,0.7526052594184875,test,0.25,0.375,0.515625,0.640625
0.03257254954938655,0.5,0.5,0.057649987866170704,qasper,1.0285164835164837,0.140625,0.12522435897435896,0.0,16,1.0,0.0,0,0.0,128.0,full_k,0.40625,72892.6875,0.0,16,0.9999999850988388,test,1.0,1.0,1.0,1.0
0.03257254954938655,0.4375,0.4375,91.98161875247024,qasper,1.0285164835164837,0.125,0.05156364468864469,0.0,16,0.619098747916999,0.08709334954619408,1,0.3656878415495157,128.0,greedy_oracle,0.19270833333333334,2282.0,0.48593731224536896,16,0.8120386451482773,test,0.125,0.125,0.1875,0.2109375
0.03257254954938655,0.4375,0.4375,95.50556876638439,qasper,1.0285164835164837,0.125,0.05342376373626374,0.0,16,0.7540329844577685,0.11266482574865222,2,0.3588076066225767,128.0,greedy_oracle,0.22916666666666669,4564.0,0.38962933979928493,16,0.9099044539034367,test,0.3125,0.34375,0.59375,0.7109375
0.03257254954938655,0.5,0.5,97.62285625038203,qasper,1.0285164835164837,0.140625,0.17782852564102564,0.0,16,0.812887399134761,0.002647066314239055,4,0.40456813760101795,128.0,greedy_oracle,0.23958333333333334,9128.0,0.4113490078598261,16,0.9456463158130646,test,0.4375,0.53125,0.703125,0.875
0.03257254954938655,0.5625,0.5625,100.24143125338014,qasper,1.0285164835164837,0.15625,0.13564102564102565,0.0,16,0.8944797550912141,0.0009429992060177028,8,0.13633793080225587,128.0,greedy_oracle,0.3958333333333333,18256.0,0.1428877729922533,16,0.9813161231577396,test,0.5625,0.78125,0.8125,0.9296875
0.03257254954938655,0.4375,0.4375,101.9770187267568,qasper,1.0285164835164837,0.140625,0.056905906593406594,0.0,16,0.21649377074937112,0.22942258976399899,1,1.273089312016964,128.0,last,0.25,2282.0,1.4426632821559906,16,0.3158915126696229,test,0.0625,0.15625,0.09375,0.140625
0.03257254954938655,0.4375,0.4375,96.46161874115933,qasper,1.0285164835164837,0.140625,0.06078983516483516,0.0,16,0.2547023971961874,0.1889334013685584,2,1.2655450105667114,128.0,last,0.25520833333333337,4564.0,1.3969613909721375,16,0.3707946268841624,test,0.0625,0.1875,0.109375,0.1484375
0.03257254954938655,0.3125,0.3125,95.71348756435327,qasper,1.0285164835164837,0.09375,0.022917811355311353,0.0,16,0.28405244841955674,0.1593769360333681,4,1.2674438878893852,128.0,last,0.203125,9128.0,1.3687366023659706,16,0.40647922083735466,test,0.0625,0.25,0.1875,0.171875
0.03257254954938655,0.25,0.25,98.20513124577701,qasper,1.0285164835164837,0.0625,0.033645833333333326,0.0,16,0.3952698083886121,0.11636325903236866,8,0.7326143644750118,128.0,last,0.11458333333333333,18256.0,0.8373009338974953,16,0.5568035058677197,test,0.125,0.15625,0.1875,0.203125
0.03257254954938653,0.3125,0.3125,93.66845749900676,qasper,1.0285164835164833,0.078125,0.05324519230769231,0.0,16,0.3846984640419046,1.189268557727337,1,1.0499702602624894,128.0,learned,0.17708333333333331,2282.0,1.233480091392994,80,0.5377856891602277,test,0.0625,0.25,0.34375,0.5078125
0.03257254954938653,0.5875,0.5875,94.88900374562945,qasper,1.0285164835164833,0.146875,0.081264880952381,0.0,16,0.44400225581811964,0.21106141712516546,2,0.7959266416728497,128.0,learned,0.4031249999999999,4564.0,0.8608189016580582,80,0.6038831129670144,test,0.125,0.23125,0.375,0.55
0.03257254954938653,0.6,0.6,96.05955999868456,qasper,1.0285164835164833,0.1625,0.08327083333333338,0.0,16,0.49974424303536624,0.02649160602595657,4,0.8403129450976848,128.0,learned,0.37187499999999984,9128.0,0.8710699573159217,80,0.6705002956092357,test,0.1875,0.21875,0.421875,0.6203125
0.032565266581820004,0.4875,0.4875,102.20191250264179,qasper,1.0282821085164833,0.1375,0.13893772893772888,0.0,16,0.657264678137339,0.008930780953960493,8,0.40547645278275013,127.9625,learned,0.2260416666666667,18256.0,0.4266579248011112,80,0.8318574495613575,test,0.225,0.28125,0.553125,0.69375
0.03257254954938655,0.3125,0.3125,7.129293764592148,qasper,1.0285164835164837,0.09375,0.09764880952380951,0.0,16,0.612112958800501,0.06597241922281682,1,1.2294222116470337,128.0,mean,0.21875,2282.0,1.2644882202148438,16,0.7921178564429283,test,0.375,0.375,0.515625,0.625
0.032565266581820004,0.35,0.35,92.70114249375183,qasper,1.028426339285714,0.090625,0.05596199633699635,0.0,16,0.2349221902494488,0.36180314514786005,1,1.2501075863838196,127.9625,random,0.19895833333333335,2282.0,1.411486305296421,80,0.33950903341174127,test,0.025,0.125,0.16875,0.215625
0.032565266581820004,0.2625,0.2625,95.51333124400117,qasper,1.028426339285714,0.075,0.042646062271062275,0.0,16,0.294276168493078,0.17416342608630658,2,1.235790103673935,127.9625,random,0.13541666666666669,4564.0,1.3391717329621315,80,0.4223481897264719,test,0.0375,0.1375,0.159375,0.2484375
0.03255798361425349,0.3125,0.3125,98.036877476261,qasper,1.028191964285714,0.09375,0.06708974358974361,0.0,16,0.3673587943485814,0.11388998571783304,4,1.2301838219165802,127.925,random,0.18020833333333333,9128.0,1.3000894114375114,80,0.5178694114089012,test,0.075,0.15,0.259375,0.3265625
0.03255798361425349,0.2875,0.2875,101.66162374953274,qasper,1.028191964285714,0.071875,0.05626533882783884,0.0,16,0.5599164035793304,0.07396455681882799,8,0.6533536598086357,127.925,random,0.15520833333333334,18256.0,0.7231358759105205,80,0.7433660507202149,test,0.1,0.15,0.29375,0.4515625
